Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ABEV3;04/12/2000;08/12/2000;4d;500;C;0,82;0,86;18,85;4,59;18,85; - 
 - ;ABEV3;29/01/2001;30/01/2001;1d;500;C;0,99;1,06;35,80;7,25;54,65;1m26d
 - ;ABEV3;19/02/2001;08/03/2001;17d;500;C;0,99;1,02;18,40;3,73;73,05;21d
 - ;ABEV3;02/04/2001;20/04/2001;18d;500;C;0,98;0,93;-25,35;-5,19;47,70;1m12d
 - ;ABEV3;07/05/2001;11/05/2001;4d;500;C;1,04;1,09;26,15;5,03;73,85;1m5d
 - ;ABEV3;17/01/2002;29/01/2002;12d;500;C;0,94;0,92;-13,85;-2,93;60,00;8m15d
 - ;ABEV3;23/10/2002;24/10/2002;1d;500;C;0,86;0,96;46,95;10,86;106,95;9m9d
 - ;ABEV3;09/12/2002;11/12/2002;2d;500;C;1,07;1,08;8,15;1,53;115,10;1m17d
 - ;ABEV3;09/01/2003;10/01/2003;1d;500;C;1,06;1,09;11,05;2,08;126,15;1m1d
 - ;ABEV3;16/01/2003;17/01/2003;1d;500;C;1,04;1,02;-13,35;-2,56;112,80;7d
 - ;ABEV3;16/05/2003;19/05/2003;3d;500;C;1,25;1,21;-18,90;-3,03;93,90;3m30d
 - ;ABEV3;04/06/2003;23/06/2003;19d;500;C;1,22;1,18;-16,85;-2,77;77,05;19d
 - ;ABEV3;02/07/2003;15/07/2003;13d;500;C;1,21;1,24;16,40;2,71;93,45;28d
 - ;ABEV3;31/07/2003;01/08/2003;1d;500;C;1,22;1,19;-13,75;-2,25;79,70;29d
 - ;ABEV3;14/10/2003;16/10/2003;2d;500;C;1,34;1,30;-22,25;-3,31;57,45;2m15d
 - ;ABEV3;21/10/2003;28/10/2003;7d;500;C;1,30;1,33;14,45;2,22;71,90;7d
 - ;ABEV3;10/12/2003;30/12/2003;20d;500;C;1,43;1,52;49,20;6,91;121,10;1m20d
 - ;ABEV3;23/01/2004;26/01/2004;3d;500;C;1,52;1,58;29,95;3,95;151,05;1m14d
 - ;ABEV3;09/02/2004;27/02/2004;18d;500;C;1,48;1,55;36,15;4,90;187,20;17d
 - ;ABEV3;09/08/2004;10/08/2004;1d;500;C;1,29;1,31;12,55;1,95;199,75;5m32d
 - ;ABEV3;16/11/2004;24/11/2004;8d;500;C;1,44;1,47;13,70;1,90;213,45;3m9d
 - ;ABEV3;13/01/2005;14/01/2005;1d;500;C;1,54;1,56;14,15;1,84;227,60;1m28d
 - ;ABEV3;28/03/2005;29/03/2005;1d;500;C;1,65;1,62;-18,20;-2,20;209,40;2m14d
 - ;ABEV3;31/03/2005;04/04/2005;4d;500;C;1,66;1,60;-26,85;-3,24;182,55;3d
 - ;ABEV3;27/07/2005;03/08/2005;7d;500;C;1,91;1,96;24,30;2,54;206,85;3m28d
 - ;ABEV3;21/09/2005;28/09/2005;7d;500;C;2,12;2,18;27,70;2,61;234,55;1m26d
 - ;ABEV3;18/10/2005;19/10/2005;1d;500;C;2,09;2,03;-28,75;-2,75;205,80;27d
 - ;ABEV3;08/11/2005;17/11/2005;9d;500;C;2,14;2,19;26,20;2,45;232,00;21d
 - ;ABEV3;12/12/2005;21/12/2005;9d;500;C;2,25;2,32;35,45;3,15;267,45;1m4d
 - ;ABEV3;11/01/2006;23/01/2006;12d;500;C;2,48;2,38;-46,75;-3,77;220,70;30d
 - ;ABEV3;09/02/2006;10/02/2006;1d;500;C;2,34;2,40;32,50;2,78;253,20;29d
 - ;ABEV3;15/02/2006;17/02/2006;2d;500;C;2,40;2,46;31,85;2,66;285,05;6d
 - ;ABEV3;23/03/2006;24/03/2006;1d;500;C;2,46;2,39;-32,35;-2,63;252,70;1m6d
 - ;ABEV3;30/03/2006;06/04/2006;7d;500;C;2,48;2,64;77,45;6,24;330,15;7d
 - ;ABEV3;25/09/2006;02/10/2006;7d;500;C;2,61;2,70;47,10;3,61;377,25;5m29d
 - ;ABEV3;24/10/2006;25/10/2006;1d;500;C;2,62;2,56;-30,30;-2,32;346,95;29d
 - ;ABEV3;07/11/2006;09/11/2006;2d;500;C;2,60;2,67;32,55;2,50;379,50;14d
 - ;ABEV3;05/01/2007;08/01/2007;3d;500;C;2,88;2,84;-21,30;-1,48;358,20;1m29d
 - ;ABEV3;11/01/2007;12/01/2007;1d;500;C;2,84;2,89;25,80;1,82;384,00;6d
 - ;ABEV3;31/01/2007;14/02/2007;14d;500;C;2,97;3,03;32,05;2,16;416,05;20d
 - ;ABEV3;02/03/2007;09/03/2007;7d;500;C;2,90;3,06;80,65;5,57;496,70;30d
 - ;ABEV3;09/05/2007;10/05/2007;1d;500;C;3,41;3,48;37,90;2,22;534,60;2m8d
 - ;ABEV3;28/06/2007;02/07/2007;4d;500;C;3,66;3,77;53,40;2,92;588,00;1m20d
 - ;ABEV3;19/01/2009;20/01/2009;1d;500;C;2,82;2,72;-49,25;-3,50;538,75;1y6m391d
 - ;ABEV3;22/01/2009;04/02/2009;13d;500;C;2,71;2,81;52,20;3,85;590,95;3d
 - ;ABEV3;15/05/2009;18/05/2009;3d;500;C;3,47;3,54;34,30;1,98;625,25;3m23d
 - ;ABEV3;18/06/2009;23/06/2009;5d;500;C;3,64;3,54;-50,45;-2,77;574,80;1m4d
 - ;ABEV3;25/06/2009;26/06/2009;1d;500;C;3,59;3,66;32,95;1,83;607,75;7d
 - ;ABEV3;01/07/2009;02/07/2009;1d;500;C;3,63;3,56;-34,90;-1,92;572,85;6d
 - ;ABEV3;03/07/2009;06/07/2009;3d;500;C;3,58;3,51;-31,90;-1,78;540,95;2d
 - ;ABEV3;07/07/2009;15/07/2009;8d;500;C;3,61;3,71;51,00;2,82;591,95;4d
 - ;ABEV3;20/08/2009;21/08/2009;1d;500;C;3,90;3,97;34,10;1,75;626,05;1m14d
 - ;ABEV3;27/11/2009;30/11/2009;3d;500;C;4,81;4,88;34,55;1,44;660,60;3m9d
 - ;ABEV3;02/02/2010;03/02/2010;1d;500;C;5,11;5,17;33,10;1,30;693,70;2m7d
 - ;ABEV3;26/02/2010;09/03/2010;11d;500;C;5,14;4,97;-85,65;-3,33;608,05;24d
 - ;ABEV3;28/06/2010;30/06/2010;2d;500;C;5,46;5,35;-54,80;-2,01;553,25;4m2d
 - ;ABEV3;14/07/2010;16/07/2010;2d;500;C;5,36;5,46;46,60;1,74;599,85;16d
 - ;ABEV3;13/08/2010;16/08/2010;3d;500;C;5,34;5,44;48,05;1,80;647,90;30d
 - ;ABEV3;23/09/2010;29/09/2010;6d;500;C;6,00;6,16;77,45;2,58;725,35;1m11d
 - ;ABEV3;06/06/2011;29/06/2011;23d;500;C;7,59;7,86;135,40;3,57;860,75;8m16d
 - ;ABEV3;14/07/2011;15/07/2011;1d;500;C;7,67;7,48;-92,70;-2,42;768,05;1m8d
 - ;ABEV3;19/07/2011;20/07/2011;1d;500;C;7,53;7,68;76,35;2,03;844,40;5d
 - ;ABEV3;01/11/2011;16/11/2011;15d;500;C;9,01;9,17;82,10;1,82;926,50;3m15d
 - ;ABEV3;26/12/2011;02/01/2012;7d;500;C;10,45;10,62;82,90;1,59;1.009,40;1m25d
 - ;ABEV3;31/01/2012;03/02/2012;3d;500;C;10,01;10,28;139,25;2,78;1.148,65;1m6d
 - ;ABEV3;10/02/2012;16/02/2012;6d;500;C;10,04;10,23;93,10;1,85;1.241,75;10d
