Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ALPA4;03/08/2000;07/08/2000;4d;500;C;0,14;0,14;0;0;0,00; - 
 - ;ALPA4;02/05/2002;07/05/2002;5d;500;C;0,13;0,13;-2,45;-3,69;-2,45;1y8m397d
 - ;ALPA4;30/05/2003;16/07/2003;1m17d;500;C;0,25;0,27;9,75;7,89;7,30;1y393d
 - ;ALPA4;19/01/2004;23/01/2004;4d;500;C;0,33;0,33;-2,05;-1,24;5,25;7m24d
 - ;ALPA4;26/01/2004;27/01/2004;1d;500;C;0,33;0,34;3,25;1,95;8,50;7d
 - ;ALPA4;30/11/2004;01/12/2004;1d;500;C;0,50;0,51;2,20;0,87;10,70;10m9d
 - ;ALPA4;28/07/2005;16/08/2005;19d;500;C;0,64;0,66;9,45;2,94;20,15;7m30d
 - ;ALPA4;07/10/2005;31/10/2005;24d;500;C;0,83;0,86;18,35;4,44;38,50;2m11d
 - ;ALPA4;19/01/2006;20/01/2006;1d;500;C;1,46;1,47;4,85;0,66;43,35;3m14d
 - ;ALPA4;16/02/2006;17/02/2006;1d;500;C;1,59;1,56;-17,75;-2,23;25,60;28d
 - ;ALPA4;15/03/2006;16/03/2006;1d;500;C;1,83;1,84;2,90;0,32;28,50;27d
 - ;ALPA4;12/04/2006;13/04/2006;1d;500;C;1,70;1,73;10,80;1,27;39,30;28d
 - ;ALPA4;08/01/2007;09/01/2007;1d;500;C;2,63;2,64;7,05;0,54;46,35;8m31d
 - ;ALPA4;15/01/2007;17/01/2007;2d;500;C;2,62;2,65;15,10;1,15;61,45;7d
 - ;ALPA4;13/02/2007;14/02/2007;1d;500;C;2,61;2,63;10,05;0,77;71,50;29d
 - ;ALPA4;16/02/2007;23/02/2007;7d;500;C;2,61;2,57;-23,25;-1,78;48,25;3d
 - ;ALPA4;29/03/2007;30/03/2007;1d;500;C;2,68;2,71;15,10;1,13;63,35;1m11d
 - ;ALPA4;31/05/2007;01/06/2007;1d;500;C;3,21;3,12;-44,50;-2,77;18,85;2m3d
 - ;ALPA4;11/06/2007;22/06/2007;11d;500;C;3,19;3,08;-53,60;-3,36;-34,75;11d
 - ;ALPA4;19/09/2007;26/09/2007;7d;500;C;3,37;3,46;48,95;2,91;14,20;3m10d
 - ;ALPA4;25/10/2007;13/11/2007;19d;500;C;3,32;3,15;-84,55;-5,09;-70,35;1m6d
 - ;ALPA4;01/04/2009;02/04/2009;1d;500;C;1,13;1,17;19,65;3,48;-50,70;1y5m374d
 - ;ALPA4;19/05/2009;06/07/2009;1m18d;500;C;1,79;1,65;-68,55;-7,67;-119,25;1m18d
 - ;ALPA4;14/07/2009;20/07/2009;6d;500;C;1,62;1,57;-24,05;-2,97;-143,30;1m26d
