Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ALSO3;31/03/2011;14/04/2011;14d;500;C;19,66;19,02;-318,85;-3,24;-318,85; - 
 - ;ALSO3;13/07/2011;26/07/2011;13d;500;C;21,12;20,19;-466,35;-4,42;-785,20;3m14d
 - ;ALSO3;16/01/2012;19/01/2012;3d;500;C;19,70;19,42;-140,00;-1,42;-925,20;6m7d
 - ;ALSO3;23/01/2012;24/01/2012;1d;500;C;19,70;20,11;205,55;2,09;-719,65;7d
 - ;ALSO3;19/04/2012;20/04/2012;1d;500;C;24,84;25,40;282,65;2,28;-437,00;2m27d
 - ;ALSO3;25/05/2012;29/05/2012;4d;500;C;25,24;25,94;350,60;2,78;-86,40;1m6d
 - ;ALSO3;24/09/2012;25/09/2012;1d;500;C;26,81;27,53;359,25;2,68;272,85;4m2d
 - ;ALSO3;19/10/2012;22/10/2012;3d;500;C;29,00;29,32;160,15;1,10;433,00;25d
 - ;ALSO3;15/05/2014;16/05/2014;1d;500;C;16,18;16,01;-83,00;-1,03;350,00;1y6m393d
 - ;ALSO3;27/05/2014;28/05/2014;1d;500;C;16,09;15,81;-141,20;-1,76;208,80;12d
 - ;ALSO3;03/10/2014;06/10/2014;3d;500;C;16,30;16,63;166,40;2,04;375,20;4m9d
 - ;ALSO3;08/04/2015;13/04/2015;5d;500;C;17,02;17,39;188,90;2,22;564,10;6m7d
 - ;ALSO3;14/05/2015;20/05/2015;6d;500;C;18,68;17,88;-399,40;-4,28;164,70;1m6d
 - ;ALSO3;28/05/2015;15/06/2015;18d;500;C;18,38;17,32;-532,00;-5,79;-367,30;14d
 - ;ALSO3;30/11/2015;03/12/2015;3d;500;C;15,19;15,44;124,10;1,63;-243,20;6m6d
 - ;ALSO3;09/12/2015;29/12/2015;20d;500;C;15,53;14,98;-276,20;-3,56;-519,40;9d
 - ;ALSO3;23/05/2016;31/05/2016;8d;500;C;16,21;15,58;-317,10;-3,91;-836,50;5m16d
 - ;ALSO3;03/06/2016;07/06/2016;4d;500;C;15,49;16,19;349,55;4,51;-486,95;11d
 - ;ALSO3;15/06/2016;17/06/2016;2d;500;C;16,02;16,41;193,65;2,42;-293,30;12d
 - ;ALSO3;23/06/2016;27/06/2016;4d;500;C;16,16;15,82;-166,30;-2,06;-459,60;8d
 - ;ALSO3;06/07/2016;08/07/2016;2d;500;C;16,33;15,98;-175,95;-2,15;-635,55;13d
 - ;ALSO3;12/07/2016;18/07/2016;6d;500;C;16,06;16,28;108,65;1,35;-526,90;6d
 - ;ALSO3;27/03/2017;05/04/2017;9d;500;C;21,18;20,55;-313,90;-2,96;-840,80;8m18d
 - ;ALSO3;13/10/2017;17/10/2017;4d;500;C;27,48;27,16;-159,50;-1,16;-1.000,30;6m20d
 - ;ALSO3;25/10/2017;30/10/2017;5d;500;C;27,31;26,77;-269,95;-1,98;-1.270,25;12d
 - ;ALSO3;12/02/2019;18/02/2019;6d;500;C;28,60;29,62;511,95;3,58;-758,30;1y3m385d
 - ;ALSO3;07/08/2019;08/08/2019;1d;500;C;36,15;37,90;875,00;4,84;116,70;5m26d
 - ;ALSO3;14/08/2019;15/08/2019;1d;500;C;36,92;36,03;-445,15;-2,41;-328,45;7d
 - ;ALSO3;21/08/2019;23/08/2019;2d;500;C;37,11;35,11;-999,00;-5,38;-1.327,45;7d
 - ;ALSO3;13/12/2019;16/12/2019;3d;500;C;44,15;45,15;500,00;2,27;-827,45;3m24d
 - ;ALSO3;17/08/2020;19/08/2020;2d;500;C;28,78;26,92;-928,75;-6,45;-1.756,20;8m8d
 - ;ALSO3;21/08/2020;27/08/2020;6d;500;C;28,06;26,15;-952,75;-6,79;-2.708,95;4d
