Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;AMAR3;29/10/2007;30/10/2007;1d;500;C;8,84;9,20;181,65;4,11;181,65; - 
 - ;AMAR3;15/01/2008;16/01/2008;1d;500;C;5,84;5,44;-200,60;-6,86;-18,95;2m18d
 - ;AMAR3;07/02/2008;14/02/2008;7d;500;C;4,84;5,23;193,75;8,00;174,80;23d
 - ;AMAR3;25/02/2009;26/02/2009;1d;500;C;2,85;2,95;48,65;3,41;223,45;1y384d
 - ;AMAR3;11/03/2009;17/03/2009;6d;500;C;2,88;2,73;-76,40;-5,31;147,05;14d
 - ;AMAR3;19/06/2009;22/06/2009;3d;500;C;4,25;4,04;-103,05;-4,85;44,00;3m10d
 - ;AMAR3;08/07/2009;14/07/2009;6d;500;C;4,08;4,16;37,10;1,82;81,10;19d
 - ;AMAR3;14/08/2009;17/08/2009;3d;500;C;6,47;6,29;-90,35;-2,79;-9,25;1m7d
 - ;AMAR3;01/09/2009;08/09/2009;7d;500;C;6,57;6,75;90,75;2,76;81,50;18d
 - ;AMAR3;30/09/2009;05/10/2009;5d;500;C;6,85;7,01;78,35;2,29;159,85;29d
 - ;AMAR3;22/10/2009;29/10/2009;7d;500;C;7,13;6,79;-169,35;-4,75;-9,50;22d
 - ;AMAR3;30/10/2009;09/11/2009;10d;500;C;7,17;7,59;206,15;5,75;196,65;8d
 - ;AMAR3;16/11/2009;30/11/2009;14d;500;C;7,79;8,11;156,70;4,02;353,35;17d
 - ;AMAR3;15/12/2009;22/12/2009;7d;500;C;8,45;8,74;144,30;3,41;497,65;29d
 - ;AMAR3;26/01/2010;27/01/2010;1d;500;C;10,81;10,20;-308,00;-5,70;189,65;1m12d
 - ;AMAR3;25/02/2010;01/03/2010;4d;500;C;11,82;12,29;237,25;4,01;426,90;30d
 - ;AMAR3;05/05/2010;06/05/2010;1d;500;C;14,80;14,28;-256,70;-3,47;170,20;2m9d
