Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ANIM3;01/11/2013;04/11/2013;3d;500;C;18,01;18,95;470,95;5,23;470,95; - 
 - ;ANIM3;27/11/2013;05/12/2013;8d;500;C;20,18;18,80;-690,40;-6,84;-219,45;26d
 - ;ANIM3;09/01/2014;10/01/2014;1d;500;C;18,96;18,23;-363,75;-3,84;-583,20;1m13d
 - ;ANIM3;27/01/2014;29/01/2014;2d;500;C;17,90;17,28;-306,10;-3,42;-889,30;18d
 - ;ANIM3;12/05/2014;13/05/2014;1d;500;C;25,15;25,99;421,50;3,35;-467,80;3m15d
 - ;ANIM3;25/06/2014;03/07/2014;8d;500;C;28,18;26,84;-670,60;-4,76;-1.138,40;1m14d
 - ;ANIM3;23/07/2014;24/07/2014;1d;500;C;26,38;27,46;543,30;4,12;-595,10;28d
 - ;ANIM3;31/07/2014;04/08/2014;4d;500;C;26,18;27,26;538,60;4,11;-56,50;8d
 - ;ANIM3;02/12/2015;14/12/2015;12d;500;C;12,56;10,98;-791,45;-12,60;-847,95;1y4m369d
 - ;ANIM3;29/07/2016;05/08/2016;7d;500;C;14,66;13,93;-361,75;-4,94;-1.209,70;7m30d
 - ;ANIM3;17/08/2016;24/08/2016;7d;500;C;13,06;14,19;560,70;8,58;-649,00;19d
 - ;ANIM3;01/09/2016;02/09/2016;1d;500;C;13,90;13,56;-169,45;-2,44;-818,45;15d
 - ;ANIM3;22/09/2016;23/09/2016;1d;500;C;13,38;13,81;216,40;3,23;-602,05;21d
 - ;ANIM3;02/03/2017;06/03/2017;4d;500;C;13,78;14,37;295,10;4,28;-306,95;5m11d
 - ;ANIM3;14/06/2017;20/06/2017;6d;500;C;16,50;15,99;-257,20;-3,12;-564,15;3m14d
 - ;ANIM3;03/08/2017;22/08/2017;19d;500;C;16,45;17,19;365,65;4,44;-198,50;1m20d
 - ;ANIM3;13/10/2017;16/10/2017;3d;500;C;23,77;22,82;-473,30;-3,98;-671,80;2m11d
 - ;ANIM3;25/10/2017;26/10/2017;1d;500;C;23,08;23,97;444,70;3,85;-227,10;12d
 - ;ANIM3;07/02/2018;22/03/2018;1m13d;500;C;27,11;25,28;-916,15;-6,76;-1.143,25;3m15d
 - ;ANIM3;06/12/2018;10/12/2018;4d;500;C;16,94;16,63;-155,75;-1,84;-1.299,00;9m32d
 - ;ANIM3;19/12/2018;21/12/2018;2d;500;C;16,86;17,31;224,90;2,67;-1.074,10;13d
 - ;ANIM3;15/01/2019;22/01/2019;7d;500;C;18,94;19,68;369,90;3,91;-704,20;27d
 - ;ANIM3;15/02/2019;18/02/2019;3d;500;C;18,44;18,00;-222,50;-2,41;-926,70;1m1d
 - ;ANIM3;22/02/2019;25/02/2019;3d;500;C;18,09;18,74;324,90;3,59;-601,80;7d
 - ;ANIM3;11/03/2019;09/04/2019;29d;500;C;18,95;20,46;754,75;7,96;152,95;17d
 - ;ANIM3;18/06/2019;19/06/2019;1d;500;C;19,28;18,85;-213,60;-2,22;-60,65;3m9d
 - ;ANIM3;21/06/2019;25/06/2019;4d;500;C;19,22;18,70;-258,45;-2,69;-319,10;3d
 - ;ANIM3;01/08/2019;02/08/2019;1d;500;C;21,64;20,90;-371,20;-3,43;-690,30;1m11d
 - ;ANIM3;19/08/2019;20/08/2019;1d;500;C;19,70;19,03;-333,85;-3,39;-1.024,15;18d
 - ;ANIM3;21/08/2019;22/08/2019;1d;500;C;19,67;20,49;410,00;4,17;-614,15;2d
 - ;ANIM3;04/12/2019;05/12/2019;1d;500;C;22,78;23,36;290,00;2,55;-324,15;3m15d
 - ;ANIM3;14/01/2020;15/01/2020;1d;500;C;32,14;32,65;255,00;1,59;-69,15;1m11d
 - ;ANIM3;29/01/2020;30/01/2020;1d;500;C;36,95;37,55;300,00;1,62;230,85;15d
 - ;ANIM3;10/07/2020;13/07/2020;3d;500;C;25,14;26,01;435,00;3,46;665,85;5m13d
 - ;ANIM3;27/07/2020;29/07/2020;2d;500;C;25,92;27,29;685,00;5,29;1.350,85;17d
 - ;ANIM3;14/08/2020;27/08/2020;13d;500;C;27,65;29,31;830,00;6,00;2.180,85;18d
 - ;ANIM3;03/09/2020;09/09/2020;6d;500;C;30,36;31,71;675,00;4,45;2.855,85;20d
 - ;ANIM3;22/09/2020;28/09/2020;6d;500;C;29,42;27,40;-1.009,35;-6,86;1.846,50;19d
 - ;ANIM3;20/10/2020;21/10/2020;1d;500;C;29,75;30,70;475,00;3,19;2.321,50;28d
