Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;AZUL4;05/06/2017;13/06/2017;8d;500;C;23,67;22,67;-498,40;-4,21;-498,40; - 
 - ;AZUL4;20/06/2017;21/06/2017;1d;500;C;22,70;23,03;165,00;1,45;-333,40;15d
 - ;AZUL4;30/06/2017;04/07/2017;4d;500;C;23,35;23,90;275,00;2,36;-58,40;10d
 - ;AZUL4;24/07/2017;31/07/2017;7d;500;C;26,25;27,15;450,00;3,43;391,60;24d
 - ;AZUL4;01/09/2017;06/09/2017;5d;500;C;26,60;27,70;550,00;4,14;941,60;1m9d
 - ;AZUL4;09/05/2018;10/05/2018;1d;500;C;33,31;32,42;-445,60;-2,68;496,00;8m10d
 - ;AZUL4;26/09/2018;01/10/2018;5d;500;C;23,86;23,00;-428,85;-3,59;67,15;4m20d
 - ;AZUL4;28/11/2018;30/11/2018;2d;500;C;33,82;34,83;505,00;2,99;572,15;2m3d
 - ;AZUL4;19/12/2018;21/12/2018;2d;500;C;33,32;34,93;805,00;4,83;1.377,15;21d
 - ;AZUL4;18/01/2019;21/01/2019;3d;500;C;37,40;36,21;-595,40;-3,18;781,75;30d
 - ;AZUL4;26/07/2019;01/08/2019;6d;500;C;50,89;53,69;1.400,00;5,50;2.181,75;6m9d
 - ;AZUL4;24/01/2020;27/01/2020;3d;500;C;61,23;57,72;-1.757,30;-5,74;424,45;5m32d
 - ;AZUL4;15/07/2020;24/07/2020;9d;500;C;22,05;20,58;-735,80;-6,67;-311,35;5m23d
 - ;AZUL4;31/07/2020;03/08/2020;3d;500;C;21,28;20,47;-405,65;-3,81;-717,00;16d
 - ;AZUL4;21/08/2020;25/08/2020;4d;500;C;21,74;22,75;505,00;4,65;-212,00;21d
 - ;AZUL4;01/10/2020;06/10/2020;5d;500;C;25,04;26,38;670,00;5,35;458,00;1m11d
