Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;B3SA3;10/12/2007;13/12/2007;3d;500;C;14,61;15,07;233,55;3,20;233,55; - 
 - ;B3SA3;14/12/2007;17/12/2007;3d;500;C;15,19;14,30;-444,60;-5,85;-211,05;4d
 - ;B3SA3;18/01/2008;23/01/2008;5d;500;C;10,21;9,13;-537,80;-10,54;-748,85;1m5d
 - ;B3SA3;25/05/2009;28/05/2009;3d;500;C;6,70;7,11;206,05;6,15;-542,80;1y4m373d
 - ;B3SA3;20/08/2009;01/09/2009;12d;500;C;7,87;7,48;-197,40;-5,02;-740,20;2m27d
 - ;B3SA3;26/08/2010;08/09/2010;13d;500;C;8,61;8,99;188,45;4,38;-551,75;1y371d
 - ;B3SA3;21/09/2010;22/09/2010;1d;500;C;9,56;9,83;134,60;2,82;-417,15;26d
 - ;B3SA3;27/10/2010;04/11/2010;8d;500;C;9,53;9,89;178,40;3,74;-238,75;1m6d
 - ;B3SA3;30/11/2011;01/12/2011;1d;500;C;7,11;7,72;307,70;8,66;68,95;1y1m369d
 - ;B3SA3;02/04/2012;05/04/2012;3d;500;C;8,49;8,20;-143,55;-3,38;-74,60;4m4d
 - ;B3SA3;10/08/2012;17/08/2012;7d;500;C;8,90;9,15;123,60;2,78;49,00;4m10d
 - ;B3SA3;02/10/2012;11/10/2012;9d;500;C;9,39;9,69;151,40;3,23;200,40;1m23d
 - ;B3SA3;05/11/2012;13/11/2012;8d;500;C;10,22;9,78;-220,45;-4,31;-20,05;1m4d
 - ;B3SA3;29/11/2012;10/12/2012;11d;500;C;9,77;10,13;179,55;3,67;159,50;24d
 - ;B3SA3;09/01/2013;15/01/2013;6d;500;C;10,71;10,40;-154,40;-2,88;5,10;1m11d
 - ;B3SA3;04/04/2013;12/04/2013;8d;500;C;10,50;10,11;-192,25;-3,66;-187,15;2m25d
 - ;B3SA3;04/07/2014;14/07/2014;10d;500;C;9,38;9,72;170,75;3,64;-16,40;1y2m396d
 - ;B3SA3;04/08/2014;08/08/2014;4d;500;C;10,06;9,73;-162,65;-3,23;-179,05;1m1d
 - ;B3SA3;27/03/2015;01/04/2015;5d;500;C;9,23;9,60;186,60;4,04;7,55;7m25d
 - ;B3SA3;15/05/2015;20/05/2015;5d;500;C;10,19;10,45;133,80;2,63;141,35;1m19d
 - ;B3SA3;02/06/2015;22/07/2015;1m20d;500;C;9,88;9,35;-265,20;-5,37;-123,85;18d
 - ;B3SA3;02/12/2015;03/12/2015;1d;500;C;10,08;10,42;168,70;3,35;44,85;6m3d
 - ;B3SA3;17/12/2015;18/12/2015;1d;500;C;10,24;9,90;-170,95;-3,34;-126,10;15d
 - ;B3SA3;23/12/2015;28/12/2015;5d;500;C;9,85;9,67;-87,00;-1,77;-213,10;6d
 - ;B3SA3;27/04/2016;28/04/2016;1d;500;C;14,85;15,85;497,65;6,70;284,55;4m6d
 - ;B3SA3;31/08/2016;01/09/2016;1d;500;C;16,13;15,45;-339,90;-4,21;-55,35;4m6d
 - ;B3SA3;02/05/2017;03/05/2017;1d;500;C;17,23;17,64;208,00;2,41;152,65;8m4d
 - ;B3SA3;11/07/2017;12/07/2017;1d;500;C;17,74;18,03;145,15;1,64;297,80;2m10d
 - ;B3SA3;18/10/2017;25/10/2017;7d;500;C;21,87;22,60;363,40;3,32;661,20;3m9d
 - ;B3SA3;14/11/2017;16/11/2017;2d;500;C;20,76;21,33;286,20;2,76;947,40;27d
 - ;B3SA3;05/03/2018;09/03/2018;4d;500;C;23,89;24,74;423,35;3,54;1.370,75;3m21d
 - ;B3SA3;29/03/2018;17/04/2018;19d;500;C;24,21;23,10;-553,55;-4,57;817,20;24d
 - ;B3SA3;18/04/2018;25/04/2018;7d;500;C;23,79;22,86;-465,80;-3,92;351,40;20d
 - ;B3SA3;23/08/2018;24/08/2018;1d;500;C;20,91;19,68;-610,45;-5,84;-259,05;4m7d
 - ;B3SA3;13/11/2018;16/11/2018;3d;500;C;24,38;25,29;455,00;3,73;195,95;2m22d
 - ;B3SA3;12/12/2018;14/12/2018;2d;500;C;26,51;25,56;-477,60;-3,60;-281,65;29d
 - ;B3SA3;28/12/2018;02/01/2019;5d;500;C;24,84;25,50;325,80;2,62;44,15;16d
 - ;B3SA3;15/02/2019;15/03/2019;28d;500;C;30,57;32,14;788,50;5,16;832,65;1m19d
 - ;B3SA3;05/04/2019;11/04/2019;6d;500;C;31,07;29,70;-687,25;-4,42;145,40;1m19d
 - ;B3SA3;16/04/2019;18/04/2019;2d;500;C;29,61;30,53;460,25;3,11;605,65;11d
 - ;B3SA3;28/06/2019;04/07/2019;6d;500;C;35,96;37,21;624,25;3,47;1.229,90;2m13d
 - ;B3SA3;16/07/2019;17/07/2019;1d;500;C;38,48;39,27;396,60;2,06;1.626,50;18d
 - ;B3SA3;17/09/2019;18/09/2019;1d;500;C;41,45;42,19;367,90;1,78;1.994,40;2m3d
 - ;B3SA3;04/10/2019;11/10/2019;7d;500;C;41,94;43,00;533,85;2,55;2.528,25;17d
 - ;B3SA3;22/11/2019;26/11/2019;4d;500;C;47,02;45,61;-701,60;-2,98;1.826,65;1m19d
 - ;B3SA3;04/12/2019;05/12/2019;1d;500;C;46,27;47,32;524,20;2,27;2.350,85;12d
