Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BBAS3;03/10/2000;04/10/2000;1d;500;C;0,70;0,68;-11,95;-3,39;-11,95; - 
 - ;BBAS3;20/03/2001;21/03/2001;1d;500;C;0,86;0,82;-18,10;-4,21;-30,05;5m18d
 - ;BBAS3;24/04/2001;25/05/2001;1m1d;500;C;1,00;0,89;-58,05;-11,58;-88,10;1m5d
 - ;BBAS3;01/08/2001;02/08/2001;1d;500;C;1,01;1,02;7,40;1,47;-80,70;3m9d
 - ;BBAS3;15/08/2001;17/08/2001;2d;500;C;1,13;1,06;-34,35;-6,10;-115,05;14d
 - ;BBAS3;17/01/2002;21/01/2002;4d;500;C;1,20;1,13;-33,10;-5,52;-148,15;5m5d
 - ;BBAS3;24/05/2002;28/05/2002;4d;500;C;1,46;1,50;19,50;2,68;-128,65;4m7d
 - ;BBAS3;07/01/2003;09/01/2003;2d;500;C;1,22;1,25;13,50;2,21;-115,15;7m18d
 - ;BBAS3;30/01/2003;06/02/2003;7d;500;C;1,21;1,12;-46,80;-7,71;-161,95;23d
 - ;BBAS3;14/04/2003;15/04/2003;1d;500;C;1,55;1,63;41,40;5,35;-120,55;2m14d
 - ;BBAS3;29/04/2003;08/05/2003;9d;500;C;1,65;1,74;46,55;5,65;-74,00;15d
 - ;BBAS3;21/05/2003;28/05/2003;7d;500;C;1,76;1,85;42,10;4,77;-31,90;22d
 - ;BBAS3;27/06/2003;30/06/2003;3d;500;C;1,72;1,62;-49,20;-5,72;-81,10;1m7d
 - ;BBAS3;01/07/2003;04/07/2003;3d;500;C;1,68;1,76;38,25;4,55;-42,85;4d
 - ;BBAS3;18/07/2003;30/07/2003;12d;500;C;1,85;1,74;-55,75;-6,04;-98,60;17d
 - ;BBAS3;18/09/2003;19/09/2003;1d;500;C;2,27;2,21;-29,00;-2,55;-127,60;2m2d
 - ;BBAS3;26/09/2003;29/09/2003;3d;500;C;2,18;2,13;-25,60;-2,34;-153,20;8d
 - ;BBAS3;17/10/2003;21/10/2003;4d;500;C;2,34;2,44;48,55;4,15;-104,65;21d
 - ;BBAS3;31/10/2003;17/11/2003;17d;500;C;2,56;2,65;45,90;3,59;-58,75;14d
 - ;BBAS3;10/12/2003;29/12/2003;19d;500;C;3,23;3,08;-76,00;-4,71;-134,75;1m10d
 - ;BBAS3;02/01/2004;05/01/2004;3d;500;C;3,15;3,24;47,90;3,04;-86,85;23d
 - ;BBAS3;26/01/2004;29/01/2004;3d;500;C;3,08;2,99;-45,70;-2,97;-132,55;24d
 - ;BBAS3;09/02/2004;08/03/2004;28d;500;C;2,94;3,20;131,20;8,93;-1,35;14d
 - ;BBAS3;13/08/2004;16/08/2004;3d;500;C;2,99;3,02;17,50;1,17;16,15;6m6d
 - ;BBAS3;24/09/2004;28/09/2004;4d;500;C;3,48;3,35;-62,20;-3,58;-46,05;1m12d
 - ;BBAS3;29/09/2004;04/10/2004;5d;500;C;3,48;3,62;74,55;4,29;28,50;5d
 - ;BBAS3;27/10/2004;28/10/2004;1d;500;C;3,91;3,96;27,60;1,41;56,10;28d
 - ;BBAS3;10/11/2004;11/11/2004;1d;500;C;4,15;4,26;55,90;2,69;112,00;14d
 - ;BBAS3;13/12/2004;14/12/2004;1d;500;C;4,44;4,58;68,35;3,08;180,35;1m3d
 - ;BBAS3;12/01/2005;18/01/2005;6d;500;C;4,28;4,40;58,60;2,74;238,95;30d
 - ;BBAS3;21/12/2005;23/12/2005;2d;500;C;6,04;6,17;64,00;2,12;302,95;11m13d
 - ;BBAS3;10/02/2006;13/02/2006;3d;500;C;8,20;8,67;237,95;5,81;540,90;1m21d
 - ;BBAS3;06/03/2006;07/03/2006;1d;500;C;8,19;7,91;-138,45;-3,38;402,45;24d
 - ;BBAS3;09/03/2006;13/03/2006;4d;500;C;8,02;8,28;131,50;3,28;533,95;3d
 - ;BBAS3;07/04/2006;10/04/2006;3d;500;C;7,92;7,61;-154,95;-3,91;379,00;29d
 - ;BBAS3;18/04/2006;19/04/2006;1d;500;C;7,69;8,17;241,80;6,29;620,80;11d
 - ;BBAS3;07/06/2006;08/06/2006;1d;500;C;8,77;8,23;-268,90;-6,13;351,90;1m20d
 - ;BBAS3;24/10/2006;01/11/2006;8d;500;C;7,66;7,94;139,80;3,65;491,70;4m19d
 - ;BBAS3;20/12/2006;28/12/2006;8d;500;C;9,51;9,76;126,20;2,65;617,90;1m27d
 - ;BBAS3;30/03/2007;03/04/2007;4d;500;C;10,29;10,60;153,80;2,99;771,70;3m10d
 - ;BBAS3;16/04/2007;17/04/2007;1d;500;C;10,53;10,82;146,05;2,77;917,75;17d
 - ;BBAS3;22/06/2007;27/06/2007;5d;500;C;13,26;12,77;-248,65;-3,75;669,10;2m7d
 - ;BBAS3;19/12/2007;03/01/2008;15d;500;C;14,46;13,80;-333,50;-4,61;335,60;5m30d
 - ;BBAS3;18/02/2008;19/02/2008;1d;500;C;13,80;14,27;237,05;3,44;572,65;2m1d
 - ;BBAS3;17/06/2008;18/06/2008;1d;500;C;14,29;13,75;-270,00;-3,78;302,65;3m30d
 - ;BBAS3;25/06/2008;27/06/2008;2d;500;C;13,31;12,81;-248,40;-3,73;54,25;8d
 - ;BBAS3;12/05/2009;13/05/2009;1d;500;C;10,56;10,19;-185,95;-3,52;-131,70;10m21d
 - ;BBAS3;15/05/2009;20/05/2009;5d;500;C;10,45;11,19;367,00;7,02;235,30;3d
 - ;BBAS3;05/06/2009;17/06/2009;12d;500;C;11,64;10,90;-371,80;-6,39;-136,50;21d
 - ;BBAS3;24/06/2009;25/06/2009;1d;500;C;10,80;11,04;120,45;2,23;-16,05;19d
 - ;BBAS3;11/08/2009;13/08/2009;2d;500;C;12,91;13,32;204,25;3,16;188,20;1m18d
 - ;BBAS3;19/08/2009;21/08/2009;2d;500;C;13,24;13,69;224,25;3,39;412,45;8d
 - ;BBAS3;04/09/2009;08/09/2009;4d;500;C;13,61;14,24;316,55;4,65;729,00;16d
 - ;BBAS3;30/11/2009;17/12/2009;17d;500;C;16,41;15,80;-302,30;-3,68;426,70;2m27d
 - ;BBAS3;28/12/2009;04/01/2010;7d;500;C;15,73;16,06;169,00;2,15;595,70;28d
 - ;BBAS3;30/08/2010;31/08/2010;1d;500;C;15,84;15,55;-145,65;-1,84;450,05;8m5d
 - ;BBAS3;09/09/2010;10/09/2010;1d;500;C;15,96;15,66;-148,60;-1,86;301,45;10d
 - ;BBAS3;29/11/2010;02/12/2010;3d;500;C;18,85;19,31;232,60;2,47;534,05;2m21d
 - ;BBAS3;13/03/2012;14/03/2012;1d;500;C;17,86;18,26;203,90;2,28;737,95;1y3m380d
 - ;BBAS3;27/09/2012;28/09/2012;1d;500;C;16,68;16,12;-275,50;-3,30;462,45;6m18d
 - ;BBAS3;15/03/2013;19/03/2013;4d;500;C;17,75;17,35;-199,60;-2,25;262,85;5m19d
 - ;BBAS3;20/03/2013;28/03/2013;8d;500;C;17,81;18,26;228,20;2,56;491,05;5d
 - ;BBAS3;08/04/2013;09/04/2013;1d;500;C;18,00;18,52;261,75;2,91;752,80;19d
 - ;BBAS3;02/10/2013;09/10/2013;7d;500;C;18,68;19,08;200,30;2,14;953,10;5m27d
 - ;BBAS3;23/05/2014;06/06/2014;14d;500;C;17,02;18,19;589,05;6,92;1.542,15;7m23d
 - ;BBAS3;04/07/2014;08/07/2014;4d;500;C;18,62;19,05;215,10;2,31;1.757,25;1m12d
 - ;BBAS3;05/08/2014;06/08/2014;1d;500;C;20,85;21,35;252,85;2,43;2.010,10;1m2d
 - ;BBAS3;14/08/2014;19/08/2014;5d;500;C;21,57;22,55;494,40;4,59;2.504,50;9d
 - ;BBAS3;04/05/2015;07/05/2015;3d;500;C;20,97;21,77;397,85;3,79;2.902,35;8m23d
 - ;BBAS3;05/05/2016;06/05/2016;1d;500;C;17,86;17,23;-311,70;-3,49;2.590,65;1y367d
 - ;BBAS3;28/09/2016;05/10/2016;7d;500;C;20,05;20,62;283,95;2,83;2.874,60;4m26d
 - ;BBAS3;16/11/2016;17/11/2016;1d;500;C;21,62;23,09;733,95;6,79;3.608,55;1m19d
 - ;BBAS3;17/01/2017;20/01/2017;3d;500;C;25,36;25,86;250,50;1,98;3.859,05;2m2d
 - ;BBAS3;24/04/2017;26/04/2017;2d;500;C;28,07;28,78;356,80;2,54;4.215,85;3m7d
 - ;BBAS3;10/05/2017;11/05/2017;1d;500;C;29,03;29,73;348,00;2,40;4.563,85;16d
 - ;BBAS3;25/10/2017;26/10/2017;1d;500;C;32,81;33,48;335,70;2,05;4.899,55;5m18d
 - ;BBAS3;05/03/2018;06/03/2018;1d;500;C;38,46;39,56;548,65;2,85;5.448,20;4m11d
 - ;BBAS3;21/03/2018;23/03/2018;2d;500;C;37,98;37,21;-387,25;-2,04;5.060,95;16d
 - ;BBAS3;12/11/2018;19/11/2018;7d;500;C;38,66;40,54;943,95;4,88;6.004,90;7m26d
 - ;BBAS3;07/12/2018;10/12/2018;3d;500;C;41,40;40,09;-652,00;-3,15;5.352,90;25d
 - ;BBAS3;12/12/2018;17/12/2018;5d;500;C;40,63;41,63;499,15;2,46;5.852,05;5d
 - ;BBAS3;27/12/2018;28/12/2018;1d;500;C;41,51;42,76;626,65;3,02;6.478,70;15d
 - ;BBAS3;08/02/2019;15/02/2019;7d;500;C;49,35;51,83;1.243,95;5,04;7.722,65;1m13d
 - ;BBAS3;22/02/2019;25/02/2019;3d;500;C;50,40;49,35;-524,85;-2,08;7.197,80;14d
 - ;BBAS3;11/03/2019;22/03/2019;11d;500;C;49,43;45,10;-2.163,30;-8,75;5.034,50;17d
 - ;BBAS3;05/04/2019;12/04/2019;7d;500;C;46,57;45,18;-695,55;-2,99;4.338,95;25d
 - ;BBAS3;30/07/2019;31/07/2019;1d;500;C;48,41;47,51;-451,50;-1,87;3.887,45;3m26d
 - ;BBAS3;04/02/2020;05/02/2020;1d;500;C;47,87;48,98;550,45;2,30;4.437,90;6m9d
