Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BBDC4;27/07/2000;09/08/2000;13d;500;C;0,88;0,93;27,45;6,25;27,45; - 
 - ;BBDC4;18/08/2000;21/08/2000;3d;500;C;0,98;0,94;-19,70;-4,00;7,75;22d
 - ;BBDC4;22/08/2000;23/08/2000;1d;500;C;0,95;0,96;8,45;1,78;16,20;4d
 - ;BBDC4;25/09/2000;13/10/2000;18d;500;C;0,97;0,89;-37,20;-7,70;-21,00;1m4d
 - ;BBDC4;16/10/2000;18/10/2000;2d;500;C;0,93;0,88;-26,55;-5,71;-47,55;21d
 - ;BBDC4;08/02/2001;12/02/2001;4d;500;C;1,02;0,98;-21,10;-4,14;-68,65;3m25d
 - ;BBDC4;21/02/2001;28/02/2001;7d;500;C;0,95;0,92;-16,70;-3,51;-85,35;13d
 - ;BBDC4;13/06/2001;18/06/2001;5d;500;C;1,06;1,00;-30,60;-5,78;-115,95;3m22d
 - ;BBDC4;13/07/2001;16/07/2001;3d;500;C;0,94;0,99;26,70;5,70;-89,25;30d
 - ;BBDC4;29/01/2002;30/01/2002;1d;500;C;1,08;1,04;-21,30;-3,95;-110,55;6m20d
 - ;BBDC4;05/02/2002;14/02/2002;9d;500;C;1,05;1,09;17,00;3,23;-93,55;7d
 - ;BBDC4;21/02/2002;25/02/2002;4d;500;C;1,12;1,16;17,40;3,10;-76,15;16d
 - ;BBDC4;07/03/2002;15/03/2002;8d;500;C;1,18;1,23;20,90;3,53;-55,25;14d
 - ;BBDC4;01/04/2002;02/04/2002;1d;500;C;1,24;1,26;10,90;1,76;-44,35;25d
 - ;BBDC4;05/04/2002;10/04/2002;5d;500;C;1,26;1,30;17,45;2,76;-26,90;4d
 - ;BBDC4;23/04/2002;25/04/2002;2d;500;C;1,26;1,28;8,75;1,38;-18,15;18d
 - ;BBDC4;30/12/2002;02/01/2003;3d;500;C;0,97;1,04;33,95;6,97;15,80;8m11d
 - ;BBDC4;30/01/2003;18/02/2003;19d;500;C;0,97;1,00;15,10;3,12;30,90;1m1d
 - ;BBDC4;24/02/2003;26/02/2003;2d;500;C;0,96;0,98;10,70;2,24;41,60;25d
 - ;BBDC4;13/03/2003;14/03/2003;1d;500;C;1,04;1,08;21,50;4,13;63,10;17d
 - ;BBDC4;14/04/2003;15/04/2003;1d;500;C;1,13;1,16;14,65;2,59;77,75;1m2d
 - ;BBDC4;29/04/2003;09/05/2003;10d;500;C;1,20;1,14;-29,80;-4,96;47,95;15d
 - ;BBDC4;12/05/2003;19/05/2003;7d;500;C;1,18;1,12;-27,85;-4,72;20,10;13d
 - ;BBDC4;11/09/2003;19/09/2003;8d;500;C;1,29;1,24;-24,25;-3,77;-4,15;4m2d
 - ;BBDC4;30/09/2003;02/10/2003;2d;500;C;1,19;1,23;17,65;2,96;13,50;19d
 - ;BBDC4;27/10/2003;21/11/2003;25d;500;C;1,23;1,29;30,30;4,91;43,80;27d
 - ;BBDC4;14/01/2004;15/01/2004;1d;500;C;1,64;1,60;-19,35;-2,36;24,45;2m19d
 - ;BBDC4;03/02/2004;05/02/2004;2d;500;C;1,56;1,45;-54,35;-6,99;-29,90;20d
 - ;BBDC4;09/02/2004;11/02/2004;2d;500;C;1,47;1,55;36,85;5,00;6,95;6d
 - ;BBDC4;25/02/2004;08/03/2004;12d;500;C;1,53;1,66;65,25;8,56;72,20;16d
 - ;BBDC4;19/03/2004;22/03/2004;3d;500;C;1,58;1,51;-31,50;-3,99;40,70;23d
 - ;BBDC4;29/09/2004;01/10/2004;2d;500;C;1,61;1,67;25,40;3,15;66,10;6m14d
 - ;BBDC4;10/01/2005;12/01/2005;2d;500;C;2,13;2,06;-33,35;-3,13;32,75;3m13d
 - ;BBDC4;23/02/2005;24/02/2005;1d;500;C;2,67;2,82;70,60;5,28;103,35;1m14d
 - ;BBDC4;17/03/2005;21/03/2005;4d;500;C;2,87;2,76;-53,45;-3,72;49,90;22d
 - ;BBDC4;01/12/2005;02/12/2005;1d;500;C;4,84;4,98;70,90;2,93;120,80;8m19d
 - ;BBDC4;16/12/2005;19/12/2005;3d;500;C;4,92;5,01;45,75;1,86;166,55;15d
 - ;BBDC4;13/03/2006;16/03/2006;3d;500;C;5,89;6,15;133,40;4,53;299,95;2m27d
 - ;BBDC4;23/03/2006;24/03/2006;1d;500;C;6,03;5,86;-85,85;-2,85;214,10;10d
 - ;BBDC4;25/09/2006;28/09/2006;3d;500;C;5,09;5,25;76,20;2,99;290,30;6m6d
 - ;BBDC4;13/11/2006;14/11/2006;1d;500;C;5,69;5,82;67,20;2,36;357,50;1m19d
 - ;BBDC4;31/01/2007;01/02/2007;1d;500;C;6,46;6,34;-56,35;-1,75;301,15;2m19d
 - ;BBDC4;14/02/2007;15/02/2007;1d;500;C;6,23;6,33;52,50;1,69;353,65;14d
