Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BBSE3;27/05/2013;07/06/2013;11d;500;C;10,69;10,40;-143,45;-2,68;-143,45; - 
 - ;BBSE3;10/06/2013;11/06/2013;1d;500;C;10,66;10,36;-152,25;-2,86;-295,70;14d
 - ;BBSE3;25/07/2013;29/07/2013;4d;500;C;10,70;10,86;82,95;1,55;-212,75;1m15d
 - ;BBSE3;25/09/2013;27/09/2013;2d;500;C;13,09;13,42;166,65;2,55;-46,10;2m2d
 - ;BBSE3;25/10/2013;01/11/2013;7d;500;C;14,54;14,89;175,80;2,42;129,70;30d
 - ;BBSE3;11/11/2013;14/11/2013;3d;500;C;14,21;14,67;230,30;3,24;360,00;17d
 - ;BBSE3;23/05/2014;03/06/2014;11d;500;C;17,58;18,21;313,60;3,57;673,60;6m13d
 - ;BBSE3;04/08/2014;06/08/2014;2d;500;C;21,32;20,30;-509,85;-4,78;163,75;2m13d
 - ;BBSE3;04/09/2014;08/09/2014;4d;500;C;22,16;21,58;-289,35;-2,61;-125,60;1m1d
 - ;BBSE3;10/04/2015;13/04/2015;3d;500;C;22,26;22,82;279,15;2,51;153,55;7m8d
 - ;BBSE3;04/05/2015;07/05/2015;3d;500;C;22,88;23,62;370,00;3,23;523,55;24d
 - ;BBSE3;02/06/2015;03/06/2015;1d;500;C;21,99;22,50;253,15;2,30;776,70;29d
 - ;BBSE3;02/07/2015;03/07/2015;1d;500;C;22,46;21,86;-300,05;-2,67;476,65;30d
 - ;BBSE3;27/04/2016;28/04/2016;1d;500;C;21,87;21,12;-375,50;-3,43;101,15;9m30d
 - ;BBSE3;10/05/2016;17/05/2016;7d;500;C;19,56;18,17;-693,10;-7,09;-591,95;13d
 - ;BBSE3;22/09/2016;23/09/2016;1d;500;C;21,55;22,21;330,35;3,07;-261,60;4m15d
 - ;BBSE3;28/09/2016;30/09/2016;2d;500;C;22,06;21,34;-360,65;-3,27;-622,25;6d
 - ;BBSE3;03/03/2017;08/03/2017;5d;500;C;21,26;20,49;-387,75;-3,65;-1.010,00;5m6d
 - ;BBSE3;15/03/2017;16/03/2017;1d;500;C;21,58;22,16;292,60;2,71;-717,40;12d
 - ;BBSE3;29/03/2017;02/05/2017;1m4d;500;C;21,18;21,91;365,70;3,45;-351,70;14d
 - ;BBSE3;14/02/2018;15/02/2018;1d;500;C;23,21;23,71;248,90;2,14;-102,80;10m22d
 - ;BBSE3;21/02/2018;15/03/2018;22d;500;C;23,11;22,21;-446,40;-3,86;-549,20;7d
 - ;BBSE3;22/11/2018;28/11/2018;6d;500;C;21,84;22,62;386,10;3,53;-163,10;9m4d
 - ;BBSE3;12/12/2018;13/12/2018;1d;500;C;23,22;22,63;-293,80;-2,53;-456,90;20d
 - ;BBSE3;14/12/2018;19/12/2018;5d;500;C;23,17;22,52;-327,95;-2,83;-784,85;2d
 - ;BBSE3;11/02/2019;12/02/2019;1d;500;C;25,72;24,42;-650,20;-5,06;-1.435,05;1m29d
 - ;BBSE3;28/02/2019;01/03/2019;1d;500;C;24,07;23,49;-288,90;-2,40;-1.723,95;17d
 - ;BBSE3;27/06/2019;04/07/2019;7d;500;C;28,09;28,71;311,40;2,22;-1.412,55;3m29d
 - ;BBSE3;17/07/2019;18/07/2019;1d;500;C;29,13;29,64;255,15;1,75;-1.157,40;20d
 - ;BBSE3;23/07/2019;25/07/2019;2d;500;C;28,73;28,06;-333,55;-2,32;-1.490,95;6d
 - ;BBSE3;29/08/2019;12/09/2019;14d;500;C;29,18;30,19;505,85;3,47;-985,10;1m7d
 - ;BBSE3;28/11/2019;03/12/2019;5d;500;C;30,60;31,37;386,05;2,52;-599,05;2m31d
 - ;BBSE3;21/01/2020;23/01/2020;2d;500;C;33,51;32,98;-266,75;-1,59;-865,80;1m24d
 - ;BBSE3;24/01/2020;27/01/2020;3d;500;C;33,36;32,44;-459,30;-2,75;-1.325,10;3d
 - ;BBSE3;29/01/2020;30/01/2020;1d;500;C;32,44;32,89;225,40;1,39;-1.099,70;5d
 - ;BBSE3;04/02/2020;11/02/2020;7d;500;C;32,63;33,60;487,65;2,99;-612,05;6d
 - ;BBSE3;27/07/2020;28/07/2020;1d;500;C;27,40;27,96;281,25;2,05;-330,80;5m24d
