Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BEEF3;13/08/2007;15/08/2007;2d;500;C;16,31;15,45;-431,30;-5,29;-431,30; - 
 - ;BEEF3;30/08/2007;31/08/2007;1d;500;C;15,41;15,98;288,35;3,74;-142,95;17d
 - ;BEEF3;25/09/2007;26/09/2007;1d;500;C;15,46;14,88;-290,55;-3,76;-433,50;26d
 - ;BEEF3;23/06/2008;25/06/2008;2d;500;C;8,31;7,75;-281,10;-6,77;-714,60;8m32d
 - ;BEEF3;22/05/2009;02/06/2009;11d;500;C;3,05;3,30;125,25;8,22;-589,35;10m33d
 - ;BEEF3;24/06/2009;16/07/2009;22d;500;C;2,91;3,26;175,35;12,04;-414,00;1m3d
 - ;BEEF3;26/08/2009;27/08/2009;1d;500;C;4,28;4,42;66,80;3,12;-347,20;2m3d
 - ;BEEF3;11/09/2009;14/09/2009;3d;500;C;4,80;4,91;55,15;2,30;-292,05;16d
 - ;BEEF3;26/02/2010;03/03/2010;5d;500;C;6,16;5,99;-85,60;-2,78;-377,65;5m18d
 - ;BEEF3;01/04/2010;27/04/2010;26d;500;C;6,98;6,68;-150,80;-4,32;-528,45;1m4d
 - ;BEEF3;25/08/2010;26/08/2010;1d;500;C;6,25;6,06;-94,90;-3,04;-623,35;4m26d
 - ;BEEF3;27/08/2010;30/08/2010;3d;500;C;6,19;6,42;114,85;3,71;-508,50;2d
 - ;BEEF3;08/09/2010;09/09/2010;1d;500;C;6,20;6,29;45,95;1,48;-462,55;12d
 - ;BEEF3;13/01/2012;18/01/2012;5d;500;C;4,69;4,56;-66,10;-2,82;-528,65;1y4m372d
 - ;BEEF3;28/02/2012;06/03/2012;7d;500;C;5,95;6,24;148,65;5,00;-380,00;1m16d
 - ;BEEF3;30/03/2012;02/04/2012;3d;500;C;6,81;7,19;189,75;5,57;-190,25;1m1d
 - ;BEEF3;30/04/2012;08/05/2012;8d;500;C;8,37;8,03;-170,60;-4,08;-360,85;1m1d
 - ;BEEF3;10/05/2012;11/05/2012;1d;500;C;8,01;7,69;-160,45;-4,01;-521,30;10d
 - ;BEEF3;31/05/2012;01/06/2012;1d;500;C;7,53;7,24;-145,30;-3,86;-666,60;21d
 - ;BEEF3;08/06/2012;14/06/2012;6d;500;C;7,16;7,40;121,60;3,40;-545,00;8d
 - ;BEEF3;29/06/2012;02/07/2012;3d;500;C;7,83;8,17;170,30;4,35;-374,70;21d
 - ;BEEF3;06/09/2012;12/09/2012;6d;500;C;10,41;10,09;-158,60;-3,05;-533,30;2m9d
 - ;BEEF3;03/10/2012;08/10/2012;5d;500;C;11,33;11,75;214,05;3,78;-319,25;27d
