Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BOBR4;07/07/2000;10/07/2000;3d;500;C;14,44;14,78;167,40;2,32;167,40; - 
 - ;BOBR4;31/07/2000;06/12/2000;4m8d;500;C;16,74;15,30;-717,45;-8,57;-550,05;24d
 - ;BOBR4;09/03/2001;19/03/2001;10d;500;C;19,02;18,80;-109,65;-1,15;-659,70;7m11d
 - ;BOBR4;22/03/2001;09/04/2001;18d;500;C;18,93;18,15;-391,00;-4,13;-1.050,70;13d
 - ;BOBR4;02/07/2001;03/07/2001;1d;500;C;17,60;17,07;-265,90;-3,02;-1.316,60;3m12d
 - ;BOBR4;10/07/2001;25/07/2001;15d;500;C;18,09;15,77;-1.164,05;-12,87;-2.480,65;8d
 - ;BOBR4;18/12/2001;20/12/2001;2d;500;C;8,12;7,90;-107,70;-2,65;-2.588,35;5m11d
 - ;BOBR4;07/01/2002;08/01/2002;1d;500;C;8,02;7,82;-97,85;-2,44;-2.686,20;20d
 - ;BOBR4;26/09/2002;30/09/2002;4d;500;C;8,10;7,44;-329,30;-8,13;-3.015,50;8m22d
 - ;BOBR4;09/10/2002;10/10/2002;1d;500;C;8,30;8,85;275,00;6,63;-2.740,50;13d
 - ;BOBR4;23/08/2004;26/08/2004;3d;500;C;3,90;3,76;-69,70;-3,57;-2.810,20;1y10m384d
 - ;BOBR4;06/09/2004;08/09/2004;2d;500;C;3,85;4,11;130,00;6,75;-2.680,20;14d
 - ;BOBR4;20/09/2004;21/09/2004;1d;500;C;4,12;3,95;-84,95;-4,12;-2.765,15;14d
 - ;BOBR4;28/09/2004;18/10/2004;20d;500;C;4,05;3,91;-69,90;-3,45;-2.835,05;8d
 - ;BOBR4;09/12/2004;27/12/2004;18d;500;C;5,80;6,10;150,00;5,17;-2.685,05;2m12d
 - ;BOBR4;28/12/2004;29/12/2004;1d;500;C;6,20;6,60;200,00;6,45;-2.485,05;19d
 - ;BOBR4;13/01/2005;14/01/2005;1d;500;C;6,19;6,38;95,00;3,07;-2.390,05;16d
 - ;BOBR4;19/01/2005;20/01/2005;1d;500;C;6,40;6,60;100,00;3,12;-2.290,05;6d
 - ;BOBR4;31/01/2005;01/02/2005;1d;500;C;7,11;7,37;130,00;3,66;-2.160,05;12d
 - ;BOBR4;08/04/2005;11/04/2005;3d;500;C;9,60;9,18;-211,50;-4,41;-2.371,55;2m7d
 - ;BOBR4;18/04/2005;22/04/2005;4d;500;C;9,47;8,98;-246,25;-5,20;-2.617,80;10d
 - ;BOBR4;28/04/2005;03/05/2005;5d;500;C;9,00;8,48;-260,65;-5,79;-2.878,45;10d
 - ;BOBR4;27/01/2006;01/02/2006;5d;500;C;8,05;7,73;-159,70;-3,97;-3.038,15;9m4d
 - ;BOBR4;20/12/2006;21/12/2006;1d;500;C;12,75;12,56;-95,75;-1,50;-3.133,90;10m27d
 - ;BOBR4;11/06/2007;12/06/2007;1d;500;C;17,38;16,96;-211,25;-2,43;-3.345,15;5m23d
 - ;BOBR4;19/06/2009;07/07/2009;18d;500;C;5,80;5,40;-201,75;-6,96;-3.546,90;2y739d
 - ;BOBR4;30/07/2009;10/08/2009;11d;500;C;5,75;6,00;125,00;4,35;-3.421,90;1m11d
 - ;BOBR4;28/08/2009;31/08/2009;3d;500;C;5,90;6,25;175,00;5,93;-3.246,90;29d
 - ;BOBR4;15/09/2009;18/09/2009;3d;500;C;7,67;7,00;-333,80;-8,70;-3.580,70;18d
 - ;BOBR4;04/11/2009;05/11/2009;1d;500;C;6,81;6,93;60,00;1,76;-3.520,70;1m20d
 - ;BOBR4;24/02/2010;25/02/2010;1d;500;C;9,70;9,28;-211,60;-4,36;-3.732,30;3m22d
 - ;BOBR4;01/04/2010;05/04/2010;4d;500;C;9,25;9,30;25,00;0,54;-3.707,30;1m6d
 - ;BOBR4;02/12/2010;07/12/2010;5d;500;C;9,04;9,12;40,00;0,88;-3.667,30;8m5d
 - ;BOBR4;16/12/2010;28/12/2010;12d;500;C;9,20;9,40;100,00;2,17;-3.567,30;14d
 - ;BOBR4;28/03/2011;31/03/2011;3d;500;C;10,20;9,61;-295,00;-5,78;-3.862,30;3m12d
 - ;BOBR4;11/04/2011;25/04/2011;14d;500;C;9,90;9,42;-241,80;-4,88;-4.104,10;14d
 - ;BOBR4;08/01/2013;16/01/2013;8d;500;C;7,95;7,01;-470,00;-11,82;-4.574,10;1y8m398d
 - ;BOBR4;15/02/2013;19/02/2013;4d;500;C;7,80;7,48;-159,35;-4,09;-4.733,45;1m8d
 - ;BOBR4;12/08/2016;15/08/2016;3d;500;C;3,49;4,17;340,00;19,48;-4.393,45;3y5m1124d
 - ;BOBR4;01/06/2017;02/06/2017;1d;500;C;3,75;3,60;-74,50;-3,97;-4.467,95;9m23d
 - ;BOBR4;31/07/2017;01/08/2017;1d;500;C;3,87;3,96;45,00;2,33;-4.422,95;1m30d
 - ;BOBR4;15/08/2017;16/08/2017;1d;500;C;4,81;5,46;325,00;13,51;-4.097,95;15d
 - ;BOBR4;08/09/2017;14/09/2017;6d;500;C;5,09;4,80;-146,00;-5,74;-4.243,95;24d
 - ;BOBR4;05/01/2018;08/01/2018;3d;500;C;4,98;5,56;290,00;11,65;-3.953,95;3m29d
 - ;BOBR4;19/01/2018;22/01/2018;3d;500;C;5,53;5,43;-51,80;-1,87;-4.005,75;14d
 - ;BOBR4;19/02/2018;23/02/2018;4d;500;C;5,31;5,09;-111,35;-4,19;-4.117,10;1m1d
 - ;BOBR4;26/02/2018;05/03/2018;7d;500;C;5,29;5,56;135,00;5,10;-3.982,10;7d
 - ;BOBR4;02/07/2020;03/07/2020;1d;500;C;2,34;2,48;70,00;5,98;-3.912,10;2y4m737d
 - ;BOBR4;10/08/2020;11/08/2020;1d;500;C;2,16;2,21;25,00;2,31;-3.887,10;1m9d
 - ;BOBR4;21/08/2020;26/08/2020;5d;500;C;2,16;2,09;-32,60;-3,02;-3.919,70;11d
