Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BOVA11;15/12/2008;23/12/2008;8d;5;C;39,28;36,91;-11,86;-6,04;-11,86; - 
 - ;BOVA11;16/01/2009;23/01/2009;7d;5;C;39,36;36,84;-12,61;-6,41;-24,47;1m2d
 - ;BOVA11;24/06/2009;25/06/2009;1d;5;C;49,75;50,71;4,80;1,93;-19,67;5m9d
 - ;BOVA11;14/07/2009;15/07/2009;1d;5;C;49,37;50,71;6,70;2,71;-12,97;20d
 - ;BOVA11;04/09/2009;08/09/2009;4d;5;C;55,70;57,63;9,65;3,46;-3,32;1m22d
 - ;BOVA11;28/09/2009;30/09/2009;2d;5;C;60,10;61,00;4,50;1,50;1,18;24d
 - ;BOVA11;05/10/2009;06/10/2009;1d;5;C;60,99;62,75;8,80;2,89;9,98;7d
 - ;BOVA11;04/11/2009;09/11/2009;5d;5;C;62,60;64,93;11,65;3,72;21,63;30d
 - ;BOVA11;16/11/2009;17/11/2009;1d;5;C;65,24;66,82;7,90;2,42;29,53;12d
 - ;BOVA11;30/11/2009;04/12/2009;4d;5;C;66,60;69,15;12,75;3,83;42,28;14d
 - ;BOVA11;23/12/2009;30/12/2009;7d;5;C;67,00;68,39;6,95;2,07;49,23;23d
 - ;BOVA11;26/02/2010;03/03/2010;5d;5;C;66,00;68,00;10,00;3,03;59,23;2m5d
 - ;BOVA11;23/04/2010;27/04/2010;4d;5;C;68,80;67,30;-7,49;-2,18;51,73;1m26d
 - ;BOVA11;29/04/2010;04/05/2010;5d;5;C;66,65;65,25;-7,02;-2,11;44,72;6d
 - ;BOVA11;02/01/2012;03/01/2012;1d;5;C;56,14;58,40;11,30;4,03;56,02;1y8m373d
 - ;BOVA11;21/09/2012;25/09/2012;4d;5;C;60,94;59,72;-6,10;-2,00;49,92;8m23d
 - ;BOVA11;09/10/2012;16/10/2012;7d;5;C;58,25;59,50;6,25;2,15;56,17;18d
 - ;BOVA11;01/02/2013;06/02/2013;5d;5;C;58,69;57,84;-4,27;-1,46;51,89;3m25d
 - ;BOVA11;02/10/2013;08/10/2013;6d;5;C;51,96;50,85;-5,54;-2,13;46,36;7m33d
 - ;BOVA11;09/10/2013;10/10/2013;1d;5;C;51,34;51,90;2,80;1,09;49,16;7d
 - ;BOVA11;23/05/2014;30/05/2014;7d;5;C;51,54;50,62;-4,58;-1,78;44,57;7m16d
 - ;BOVA11;04/07/2014;14/07/2014;10d;5;C;52,48;54,29;9,05;3,45;53,62;1m12d
 - ;BOVA11;04/08/2014;05/08/2014;1d;5;C;54,56;55,31;3,75;1,37;57,37;1m1d
 - ;BOVA11;31/03/2015;02/04/2015;2d;5;C;49,84;51,26;7,10;2,85;64,47;7m29d
 - ;BOVA11;15/05/2015;18/05/2015;3d;5;C;55,35;54,35;-4,98;-1,80;59,49;1m15d
 - ;BOVA11;02/06/2015;03/06/2015;1d;5;C;51,76;52,38;3,10;1,20;62,59;18d
 - ;BOVA11;05/05/2016;06/05/2016;1d;5;C;51,19;50,20;-4,93;-1,93;57,66;11m8d
 - ;BOVA11;02/06/2016;03/06/2016;1d;5;C;47,62;49,10;7,40;3,11;65,06;28d
 - ;BOVA11;14/06/2016;15/06/2016;1d;5;C;48,31;47,03;-6,39;-2,65;58,67;12d
 - ;BOVA11;16/06/2016;20/06/2016;4d;5;C;47,91;49,11;6,00;2,50;64,67;2d
 - ;BOVA11;28/09/2016;05/10/2016;7d;5;C;56,72;57,82;5,50;1,94;70,17;3m14d
 - ;BOVA11;16/11/2016;22/11/2016;6d;5;C;58,10;59,72;8,10;2,79;78,27;1m19d
 - ;BOVA11;16/03/2017;17/03/2017;1d;5;C;64,21;62,30;-9,53;-2,97;68,74;3m30d
 - ;BOVA11;23/03/2017;29/03/2017;6d;5;C;61,72;62,93;6,05;1,96;74,79;7d
 - ;BOVA11;06/11/2017;07/11/2017;1d;5;C;71,76;70,46;-6,48;-1,81;68,31;7m18d
 - ;BOVA11;14/11/2017;16/11/2017;2d;5;C;70,48;69,19;-6,47;-1,84;61,84;8d
 - ;BOVA11;13/12/2017;27/12/2017;14d;5;C;71,40;73,42;10,10;2,83;71,94;29d
 - ;BOVA11;05/03/2018;19/03/2018;14d;5;C;82,95;80,86;-10,46;-2,52;61,48;2m22d
 - ;BOVA11;17/09/2018;18/09/2018;1d;5;C;73,05;74,29;6,20;1,70;67,68;6m16d
 - ;BOVA11;26/09/2018;02/10/2018;6d;5;C;75,92;78,78;14,30;3,77;81,98;9d
 - ;BOVA11;12/12/2018;20/12/2018;8d;5;C;84,40;82,28;-10,58;-2,51;71,40;2m17d
 - ;BOVA11;11/02/2019;14/02/2019;3d;5;C;92,14;94,20;10,30;2,24;81,70;2m1d
 - ;BOVA11;15/02/2019;01/03/2019;14d;5;C;94,54;91,22;-16,59;-3,51;65,10;4d
 - ;BOVA11;08/03/2019;11/03/2019;3d;5;C;91,25;92,14;4,45;0,98;69,55;21d
 - ;BOVA11;26/03/2019;27/03/2019;1d;5;C;91,04;89,46;-7,92;-1,74;61,63;18d
 - ;BOVA11;29/07/2019;31/07/2019;2d;5;C;99,55;98,20;-6,73;-1,35;54,90;4m5d
 - ;BOVA11;28/11/2019;04/12/2019;6d;5;C;104,00;105,71;8,55;1,64;63,45;4m2d
 - ;BOVA11;17/01/2020;20/01/2020;3d;5;C;112,89;114,15;6,30;1,12;69,75;1m20d
 - ;BOVA11;19/02/2020;21/02/2020;2d;5;C;111,14;109,04;-10,52;-1,89;59,24;1m3d
 - ;BOVA11;27/07/2020;28/07/2020;1d;5;C;98,93;100,77;9,20;1,86;68,44;5m9d
 - ;BOVA11;11/08/2020;12/08/2020;1d;5;C;100,00;97,24;-13,82;-2,76;54,62;15d
 - ;BOVA11;13/08/2020;14/08/2020;1d;5;C;99,24;96,66;-12,91;-2,60;41,71;2d
