Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BPAN4;28/11/2007;06/12/2007;8d;500;C;7,76;8,35;295,95;7,63;295,95; - 
 - ;BPAN4;10/01/2008;11/01/2008;1d;500;C;6,24;7,61;686,60;22,01;982,55;1m13d
 - ;BPAN4;23/01/2008;24/01/2008;1d;500;C;7,03;7,37;167,45;4,76;1.150,00;13d
 - ;BPAN4;12/02/2008;14/02/2008;2d;500;C;6,74;6,51;-112,85;-3,35;1.037,15;20d
 - ;BPAN4;04/03/2008;17/03/2008;13d;500;C;7,57;7,18;-193,25;-5,11;843,90;21d
 - ;BPAN4;13/02/2009;16/02/2009;3d;500;C;2,69;2,78;43,40;3,23;887,30;11m16d
 - ;BPAN4;01/06/2009;05/06/2009;4d;500;C;3,74;3,91;83,55;4,47;970,85;3m18d
 - ;BPAN4;05/10/2009;06/10/2009;1d;500;C;6,20;6,33;66,90;2,16;1.037,75;4m6d
 - ;BPAN4;08/02/2010;17/03/2010;1m7d;500;C;9,49;10,26;388,50;8,19;1.426,25;4m6d
 - ;BPAN4;07/04/2011;14/04/2011;7d;500;C;5,31;5,20;-56,40;-2,12;1.369,85;1y1m393d
 - ;BPAN4;28/04/2011;05/05/2011;7d;500;C;5,08;4,96;-60,65;-2,39;1.309,20;21d
 - ;BPAN4;09/05/2011;14/06/2011;1m6d;500;C;5,04;5,31;136,10;5,40;1.445,30;11d
 - ;BPAN4;23/11/2011;25/11/2011;2d;500;C;5,72;6,03;158,80;5,56;1.604,10;6m18d
 - ;BPAN4;13/03/2012;15/03/2012;2d;500;C;6,21;6,32;56,25;1,81;1.660,35;3m21d
 - ;BPAN4;27/03/2012;28/03/2012;1d;500;C;6,47;6,27;-101,65;-3,14;1.558,70;14d
 - ;BPAN4;30/03/2012;17/04/2012;18d;500;C;6,42;6,19;-115,60;-3,60;1.443,10;3d
 - ;BPAN4;25/10/2012;29/10/2012;4d;500;C;4,44;4,32;-61,70;-2,78;1.381,40;6m29d
 - ;BPAN4;21/03/2013;22/03/2013;1d;500;C;6,56;6,65;42,20;1,29;1.423,60;4m27d
 - ;BPAN4;03/04/2013;04/04/2013;1d;500;C;6,55;6,31;-117,20;-3,58;1.306,40;13d
 - ;BPAN4;09/04/2013;18/04/2013;9d;500;C;6,18;6,01;-87,25;-2,82;1.219,15;6d
 - ;BPAN4;29/04/2013;30/04/2013;1d;500;C;6,38;6,47;46,90;1,47;1.266,05;20d
 - ;BPAN4;04/08/2014;05/08/2014;1d;500;C;3,31;3,43;61,45;3,72;1.327,50;1y3m372d
 - ;BPAN4;14/01/2016;20/01/2016;6d;500;C;1,69;1,80;52,00;6,14;1.379,50;1y5m378d
 - ;BPAN4;26/01/2016;27/01/2016;1d;500;C;1,77;1,70;-35,20;-3,98;1.344,30;12d
 - ;BPAN4;17/02/2016;19/02/2016;2d;500;C;1,74;1,66;-39,95;-4,58;1.304,35;22d
 - ;BPAN4;21/09/2016;29/09/2016;8d;500;C;1,48;1,40;-39,65;-5,36;1.264,70;7m7d
 - ;BPAN4;01/03/2017;08/03/2017;7d;500;C;2,56;2,29;-135,55;-10,60;1.129,15;5m11d
 - ;BPAN4;03/04/2017;06/04/2017;3d;500;C;2,12;1,96;-83,00;-7,82;1.046,15;1m3d
 - ;BPAN4;19/09/2017;25/09/2017;6d;500;C;1,86;1,93;37,95;4,09;1.084,10;5m19d
 - ;BPAN4;11/10/2017;13/10/2017;2d;500;C;1,77;1,74;-16,40;-1,85;1.067,70;22d
 - ;BPAN4;07/12/2018;10/12/2018;3d;500;C;1,88;1,85;-16,95;-1,80;1.050,75;1y1m392d
 - ;BPAN4;29/04/2019;30/04/2019;1d;500;C;3,17;3,25;43,85;2,77;1.094,60;4m23d
 - ;BPAN4;29/07/2019;05/08/2019;7d;500;C;9,61;10,00;192,25;4,00;1.286,85;2m31d
 - ;BPAN4;21/08/2019;26/08/2019;5d;500;C;9,63;8,29;-670,95;-13,93;615,90;23d
 - ;BPAN4;16/01/2020;20/01/2020;4d;500;C;11,49;11,18;-152,05;-2,65;463,85;4m28d
 - ;BPAN4;19/02/2020;20/02/2020;1d;500;C;10,29;9,89;-202,30;-3,93;261,55;1m4d
 - ;BPAN4;22/07/2020;23/07/2020;1d;500;C;10,12;9,78;-172,25;-3,40;89,30;5m4d
 - ;BPAN4;29/07/2020;30/07/2020;1d;500;C;9,58;9,86;140,00;2,92;229,30;7d
 - ;BPAN4;28/08/2020;31/08/2020;3d;500;C;8,63;8,34;-145,45;-3,37;83,85;30d
 - ;BPAN4;15/09/2020;17/09/2020;2d;500;C;8,82;8,46;-180,60;-4,10;-96,75;18d
