Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BRAP4;14/09/2000;18/09/2000;4d;500;C;4,37;4,19;-88,70;-4,06;-88,70; - 
 - ;BRAP4;25/09/2000;13/10/2000;18d;500;C;4,14;3,93;-105,00;-5,08;-193,70;11d
 - ;BRAP4;10/11/2000;14/11/2000;4d;500;C;3,64;3,53;-54,45;-2,99;-248,15;1m16d
 - ;BRAP4;20/11/2000;21/11/2000;1d;500;C;3,44;3,57;66,75;3,88;-181,40;10d
 - ;BRAP4;05/02/2001;07/02/2001;2d;500;C;3,97;3,86;-54,90;-2,77;-236,30;2m17d
 - ;BRAP4;26/12/2001;28/12/2001;2d;500;C;2,90;2,73;-86,80;-5,98;-323,10;10m24d
 - ;BRAP4;14/02/2002;22/02/2002;8d;500;C;2,44;2,60;83,40;6,85;-239,70;1m20d
 - ;BRAP4;07/01/2003;17/01/2003;10d;500;C;1,97;1,90;-35,75;-3,63;-275,45;10m27d
 - ;BRAP4;20/01/2003;22/01/2003;2d;500;C;1,97;2,07;50,05;5,08;-225,40;13d
 - ;BRAP4;30/01/2003;06/02/2003;7d;500;C;1,97;2,10;66,70;6,78;-158,70;10d
 - ;BRAP4;21/02/2003;25/02/2003;4d;500;C;2,07;2,14;33,35;3,22;-125,35;22d
 - ;BRAP4;12/03/2003;17/03/2003;5d;500;C;2,27;2,16;-52,80;-4,65;-178,15;19d
 - ;BRAP4;21/03/2003;01/04/2003;11d;500;C;2,14;2,30;83,40;7,81;-94,75;9d
 - ;BRAP4;07/04/2003;08/04/2003;1d;500;C;2,27;2,16;-52,80;-4,65;-147,55;17d
 - ;BRAP4;11/04/2003;15/04/2003;4d;500;C;2,20;2,27;33,40;3,03;-114,15;4d
 - ;BRAP4;16/04/2003;20/05/2003;1m4d;500;C;2,30;2,13;-86,05;-7,48;-200,20;5d
 - ;BRAP4;02/09/2003;03/09/2003;1d;500;C;2,60;2,70;50,05;3,85;-150,15;4m19d
 - ;BRAP4;18/09/2003;19/09/2003;1d;500;C;2,60;2,77;83,45;6,41;-66,70;16d
 - ;BRAP4;30/09/2003;02/10/2003;2d;500;C;2,57;2,67;50,05;3,90;-16,65;12d
 - ;BRAP4;17/10/2003;23/10/2003;6d;500;C;2,87;2,80;-36,90;-2,57;-53,55;17d
 - ;BRAP4;27/10/2003;20/11/2003;24d;500;C;2,87;2,97;50,05;3,49;-3,50;10d
 - ;BRAP4;03/12/2003;08/12/2003;5d;500;C;3,20;3,47;133,50;8,34;130,00;1m7d
 - ;BRAP4;26/01/2004;29/01/2004;3d;500;C;4,34;4,16;-88,65;-4,09;41,35;1m24d
 - ;BRAP4;03/02/2004;04/02/2004;1d;500;C;4,04;4,34;150,15;7,44;191,50;8d
 - ;BRAP4;17/02/2004;18/02/2004;1d;500;C;4,37;4,26;-55,40;-2,53;136,10;14d
 - ;BRAP4;25/02/2004;01/03/2004;5d;500;C;4,24;4,44;100,10;4,72;236,20;8d
 - ;BRAP4;19/04/2004;20/04/2004;1d;500;C;4,44;4,29;-72,10;-3,25;164,10;1m24d
 - ;BRAP4;13/09/2004;15/09/2004;2d;500;C;5,27;5,47;99,80;3,79;263,90;4m27d
 - ;BRAP4;29/09/2004;07/10/2004;8d;500;C;5,54;5,33;-103,15;-3,72;160,75;16d
 - ;BRAP4;22/10/2004;26/10/2004;4d;500;C;4,64;4,74;53,05;2,29;213,80;23d
 - ;BRAP4;24/01/2005;11/02/2005;18d;500;C;6,22;5,83;-194,80;-6,27;19,00;3m4d
 - ;BRAP4;14/02/2005;22/02/2005;8d;500;C;6,08;6,34;131,50;4,33;150,50;21d
