Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BRFS3;15/08/2000;16/08/2000;1d;500;C;1,51;1,49;-11,60;-1,53;-11,60; - 
 - ;BRFS3;18/08/2000;26/09/2000;1m9d;500;C;1,53;1,64;57,45;7,52;45,85;3d
 - ;BRFS3;29/01/2001;31/01/2001;2d;500;C;1,83;1,86;11,70;1,28;57,55;5m14d
 - ;BRFS3;13/02/2001;14/02/2001;1d;500;C;1,88;1,93;23,35;2,48;80,90;15d
 - ;BRFS3;20/12/2001;21/12/2001;1d;500;C;1,88;1,83;-27,60;-2,93;53,30;10m10d
 - ;BRFS3;26/12/2001;03/01/2002;8d;500;C;1,85;1,97;63,25;6,85;116,55;6d
 - ;BRFS3;28/03/2002;01/04/2002;4d;500;C;2,02;2,11;46,05;4,56;162,60;3m2d
 - ;BRFS3;22/04/2002;23/04/2002;1d;500;C;2,10;2,12;12,80;1,22;175,40;25d
 - ;BRFS3;04/06/2003;05/06/2003;1d;500;C;1,69;1,66;-14,85;-1,76;160,55;1y1m378d
 - ;BRFS3;07/07/2003;08/07/2003;1d;500;C;1,55;1,52;-11,50;-1,49;149,05;1m3d
 - ;BRFS3;11/09/2003;18/09/2003;7d;500;C;2,35;2,27;-40,55;-3,45;108,50;2m6d
 - ;BRFS3;30/09/2003;01/10/2003;1d;500;C;2,17;2,24;31,95;2,94;140,45;19d
 - ;BRFS3;12/11/2003;13/11/2003;1d;500;C;2,37;2,30;-34,85;-2,95;105,60;1m13d
 - ;BRFS3;19/01/2004;23/01/2004;4d;500;C;3,71;3,90;98,60;5,32;204,20;2m8d
 - ;BRFS3;09/02/2004;10/02/2004;1d;500;C;4,09;3,84;-123,90;-6,06;80,30;21d
 - ;BRFS3;03/03/2004;04/03/2004;1d;500;C;4,06;4,22;79,40;3,91;159,70;23d
 - ;BRFS3;07/04/2004;08/04/2004;1d;500;C;3,98;3,87;-57,15;-2,87;102,55;1m5d
 - ;BRFS3;13/04/2004;14/04/2004;1d;500;C;3,90;3,80;-53,60;-2,75;48,95;6d
 - ;BRFS3;29/09/2004;04/10/2004;5d;500;C;6,32;6,15;-83,20;-2,63;-34,25;5m19d
 - ;BRFS3;21/07/2005;03/08/2005;13d;500;C;8,07;8,47;199,00;4,93;164,75;9m25d
 - ;BRFS3;27/10/2005;30/11/2005;1m4d;500;C;8,81;9,81;496,75;11,27;661,50;3m8d
 - ;BRFS3;09/02/2006;13/02/2006;4d;500;C;11,80;11,25;-274,50;-4,65;387,00;3m15d
 - ;BRFS3;23/02/2006;24/02/2006;1d;500;C;10,70;11,35;326,90;6,11;713,90;14d
 - ;BRFS3;27/12/2006;28/12/2006;1d;500;C;12,45;12,84;195,25;3,14;909,15;10m7d
 - ;BRFS3;05/01/2007;08/01/2007;3d;500;C;12,97;12,46;-255,80;-3,94;653,35;9d
 - ;BRFS3;11/01/2007;16/01/2007;5d;500;C;12,73;11,98;-377,50;-5,93;275,85;6d
 - ;BRFS3;19/01/2007;29/01/2007;10d;500;C;11,90;11,50;-200,00;-3,36;75,85;8d
 - ;BRFS3;30/05/2007;01/06/2007;2d;500;C;14,82;15,42;301,60;4,07;377,45;4m11d
 - ;BRFS3;11/06/2007;26/06/2007;15d;500;C;15,24;16,21;485,15;6,37;862,60;12d
 - ;BRFS3;07/08/2007;10/08/2007;3d;500;C;15,52;14,65;-433,85;-5,59;428,75;1m27d
 - ;BRFS3;19/11/2007;21/11/2007;2d;500;C;20,25;18,15;-1.048,60;-10,36;-619,85;3m14d
 - ;BRFS3;04/01/2008;07/01/2008;3d;500;C;19,22;18,65;-287,00;-2,99;-906,85;1m16d
 - ;BRFS3;15/04/2008;16/04/2008;1d;500;C;17,77;18,61;420,90;4,74;-485,95;3m12d
 - ;BRFS3;17/06/2008;18/06/2008;1d;500;C;22,15;21,13;-509,10;-4,60;-995,05;2m3d
 - ;BRFS3;22/06/2009;24/06/2009;2d;500;C;16,61;17,06;225,65;2,72;-769,40;1y370d
 - ;BRFS3;01/07/2009;02/07/2009;1d;500;C;16,82;17,17;174,25;2,07;-595,15;9d
 - ;BRFS3;28/09/2009;01/10/2009;3d;500;C;20,96;20,47;-244,60;-2,33;-839,75;2m29d
 - ;BRFS3;27/10/2009;28/10/2009;1d;500;C;20,21;19,71;-252,60;-2,50;-1.092,35;29d
 - ;BRFS3;02/03/2010;03/03/2010;1d;500;C;20,08;20,62;269,50;2,68;-822,85;4m6d
 - ;BRFS3;10/03/2010;12/03/2010;2d;500;C;20,28;19,77;-253,85;-2,50;-1.076,70;8d
 - ;BRFS3;23/03/2010;29/03/2010;6d;500;C;19,97;20,34;184,20;1,84;-892,50;13d
 - ;BRFS3;11/08/2010;12/08/2010;1d;500;C;21,50;20,77;-368,20;-3,42;-1.260,70;4m21d
 - ;BRFS3;10/12/2010;15/12/2010;5d;500;C;23,48;23,99;252,10;2,15;-1.008,60;3m31d
 - ;BRFS3;26/01/2011;27/01/2011;1d;500;C;26,09;25,42;-336,15;-2,58;-1.344,75;1m17d
 - ;BRFS3;04/02/2011;09/02/2011;5d;500;C;25,19;24,65;-271,60;-2,16;-1.616,35;9d
 - ;BRFS3;04/05/2011;05/05/2011;1d;500;C;28,22;27,58;-316,20;-2,24;-1.932,55;2m29d
 - ;BRFS3;06/05/2011;11/05/2011;5d;500;C;28,18;26,87;-655,95;-4,66;-2.588,50;2d
 - ;BRFS3;13/05/2011;18/05/2011;5d;500;C;27,57;26,11;-727,65;-5,28;-3.316,15;7d
 - ;BRFS3;16/12/2011;19/12/2011;3d;500;C;33,78;33,05;-368,00;-2,18;-3.684,15;7m7d
 - ;BRFS3;22/12/2011;29/12/2011;7d;500;C;33,18;34,10;460,00;2,77;-3.224,15;6d
 - ;BRFS3;19/01/2012;07/02/2012;19d;500;C;32,88;31,64;-620,90;-3,78;-3.845,05;28d
 - ;BRFS3;03/12/2012;12/12/2012;9d;500;C;36,62;37,71;546,15;2,98;-3.298,90;10m19d
 - ;BRFS3;17/01/2013;18/01/2013;1d;500;C;41,42;42,78;680,10;3,28;-2.618,80;1m15d
 - ;BRFS3;13/03/2013;02/04/2013;20d;500;C;41,21;43,33;1.060,00;5,14;-1.558,80;1m25d
 - ;BRFS3;15/05/2013;22/05/2013;7d;500;C;47,04;45,73;-653,60;-2,78;-2.212,40;2m3d
 - ;BRFS3;21/06/2013;01/07/2013;10d;500;C;43,99;46,28;1.145,65;5,21;-1.066,75;1m7d
 - ;BRFS3;08/07/2013;01/08/2013;24d;500;C;45,51;46,83;662,95;2,91;-403,80;17d
 - ;BRFS3;29/08/2013;30/08/2013;1d;500;C;50,46;51,29;412,00;1,63;8,20;1m22d
 - ;BRFS3;05/09/2013;09/09/2013;4d;500;C;52,93;54,94;1.003,90;3,79;1.012,10;7d
 - ;BRFS3;16/09/2013;17/09/2013;1d;500;C;54,46;53,80;-327,85;-1,20;684,25;11d
 - ;BRFS3;07/10/2013;22/10/2013;15d;500;C;51,82;53,44;809,75;3,13;1.494,00;21d
 - ;BRFS3;23/05/2014;28/05/2014;5d;500;C;48,52;47,16;-680,05;-2,80;813,95;7m18d
 - ;BRFS3;25/06/2014;10/07/2014;15d;500;C;51,11;52,90;897,90;3,51;1.711,85;1m3d
 - ;BRFS3;01/09/2014;02/09/2014;1d;500;C;57,76;56,25;-754,00;-2,61;957,85;2m8d
 - ;BRFS3;19/09/2014;22/09/2014;3d;500;C;56,49;54,73;-882,05;-3,12;75,80;18d
 - ;BRFS3;17/11/2014;19/11/2014;2d;500;C;62,66;64,94;1.136,00;3,63;1.211,80;1m29d
 - ;BRFS3;13/01/2015;14/01/2015;1d;500;C;60,73;59,02;-859,55;-2,83;352,25;1m27d
 - ;BRFS3;25/03/2015;27/03/2015;2d;500;C;61,97;60,47;-749,85;-2,42;-397,60;2m11d
 - ;BRFS3;29/07/2015;31/07/2015;2d;500;C;66,76;68,69;961,55;2,88;563,95;4m6d
 - ;BRFS3;14/09/2015;17/09/2015;3d;500;C;68,58;69,79;605,25;1,77;1.169,20;1m17d
 - ;BRFS3;23/09/2015;30/09/2015;7d;500;C;67,52;68,91;698,00;2,07;1.867,20;9d
 - ;BRFS3;24/08/2016;25/08/2016;1d;500;C;53,90;55,05;575,00;2,13;2.442,20;11m6d
 - ;BRFS3;19/09/2016;30/09/2016;11d;500;C;53,46;55,57;1.055,00;3,95;3.497,20;26d
 - ;BRFS3;21/10/2016;26/10/2016;5d;500;C;53,96;52,44;-760,70;-2,82;2.736,50;1m2d
 - ;BRFS3;06/06/2017;09/06/2017;3d;500;C;43,02;41,76;-632,35;-2,94;2.104,15;7m18d
 - ;BRFS3;26/10/2017;30/10/2017;4d;500;C;45,11;43,61;-749,65;-3,32;1.354,50;4m22d
 - ;BRFS3;15/02/2019;18/02/2019;3d;500;C;22,95;22,15;-397,75;-3,47;956,75;1y3m387d
 - ;BRFS3;25/02/2019;26/02/2019;1d;500;C;22,29;21,89;-202,40;-1,82;754,35;10d
 - ;BRFS3;23/05/2019;24/05/2019;1d;500;C;30,72;31,57;425,00;2,77;1.179,35;2m27d
 - ;BRFS3;07/06/2019;10/06/2019;3d;500;C;27,45;26,77;-338,55;-2,47;840,80;15d
 - ;BRFS3;11/06/2019;14/06/2019;3d;500;C;27,36;28,85;745,00;5,45;1.585,80;4d
 - ;BRFS3;28/06/2019;01/07/2019;3d;500;C;29,14;30,18;520,00;3,57;2.105,80;17d
 - ;BRFS3;18/07/2019;19/07/2019;1d;500;C;32,99;33,47;240,00;1,45;2.345,80;20d
 - ;BRFS3;25/07/2019;26/07/2019;1d;500;C;34,18;33,48;-351,95;-2,06;1.993,85;7d
 - ;BRFS3;28/08/2019;29/08/2019;1d;500;C;38,35;39,33;490,00;2,56;2.483,85;1m4d
 - ;BRFS3;11/09/2019;24/09/2019;13d;500;C;38,25;40,23;990,00;5,18;3.473,85;14d
 - ;BRFS3;07/10/2019;15/10/2019;8d;500;C;37,62;35,93;-845,00;-4,49;2.628,85;26d
 - ;BRFS3;25/10/2019;28/10/2019;3d;500;C;37,24;36,27;-485,45;-2,61;2.143,40;18d
 - ;BRFS3;15/07/2020;17/07/2020;2d;500;C;20,41;20,97;280,00;2,74;2.423,40;8m24d
