Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BRKM3;29/09/2004;04/10/2004;5d;500;C;8,96;9,44;239,50;5,34;239,50; - 
 - ;BRKM3;26/11/2004;02/12/2004;6d;500;C;11,15;11,36;102,65;1,84;342,15;1m28d
 - ;BRKM3;18/03/2005;22/03/2005;4d;500;C;13,16;12,85;-153,95;-2,34;188,20;3m22d
 - ;BRKM3;29/03/2005;06/04/2005;8d;500;C;12,61;11,50;-551,05;-8,74;-362,85;11d
 - ;BRKM3;03/04/2007;24/04/2007;21d;500;C;8,43;8,79;178,10;4,23;-184,75;2y735d
 - ;BRKM3;31/05/2007;14/06/2007;14d;500;C;9,59;9,74;74,25;1,55;-110,50;1m28d
 - ;BRKM3;02/08/2007;08/08/2007;6d;500;C;9,50;9,97;237,45;5,00;126,95;2m3d
 - ;BRKM3;27/05/2008;28/05/2008;1d;500;C;8,31;8,52;108,85;2,62;235,80;9m29d
 - ;BRKM3;05/06/2008;12/06/2008;7d;500;C;8,77;9,13;183,50;4,19;419,30;9d
 - ;BRKM3;26/06/2008;01/07/2008;5d;500;C;8,96;8,35;-305,95;-6,83;113,35;21d
 - ;BRKM3;18/08/2009;25/08/2009;7d;500;C;5,60;6,03;214,65;7,67;328,00;1y1m388d
 - ;BRKM3;21/12/2009;22/12/2009;1d;500;C;7,37;7,59;108,90;2,95;436,90;4m5d
 - ;BRKM3;29/01/2010;05/02/2010;7d;500;C;7,85;7,60;-127,70;-3,25;309,20;1m9d
 - ;BRKM3;23/09/2010;24/09/2010;1d;500;C;8,37;8,72;177,30;4,24;486,50;7m27d
 - ;BRKM3;01/06/2011;02/06/2011;1d;500;C;12,64;12,98;171,30;2,71;657,80;8m11d
 - ;BRKM3;28/03/2012;29/03/2012;1d;500;C;8,91;8,33;-291,20;-6,54;366,60;9m31d
 - ;BRKM3;25/04/2012;30/04/2012;5d;500;C;8,42;8,65;116,50;2,77;483,10;28d
 - ;BRKM3;10/05/2012;11/05/2012;1d;500;C;8,51;8,11;-197,30;-4,64;285,80;15d
 - ;BRKM3;10/06/2013;11/06/2013;1d;500;C;9,47;9,11;-180,60;-3,81;105,20;1y1m366d
 - ;BRKM3;20/06/2013;25/06/2013;5d;500;C;8,90;9,29;197,95;4,45;303,15;10d
 - ;BRKM3;18/12/2013;19/12/2013;1d;500;C;10,15;11,16;503,85;9,93;807,00;5m31d
 - ;BRKM3;13/01/2014;15/01/2014;2d;500;C;11,52;11,80;144,00;2,50;951,00;26d
 - ;BRKM3;31/01/2014;03/02/2014;3d;500;C;10,36;10,05;-152,95;-2,95;798,05;18d
 - ;BRKM3;19/11/2014;08/12/2014;19d;500;C;10,07;9,78;-148,00;-2,94;650,05;9m22d
 - ;BRKM3;03/06/2015;19/06/2015;16d;500;C;8,46;8,05;-203,85;-4,82;446,20;6m16d
 - ;BRKM3;03/07/2015;10/07/2015;7d;500;C;7,83;8,07;121,10;3,09;567,30;30d
 - ;BRKM3;09/11/2015;10/11/2015;1d;500;C;11,87;11,56;-155,75;-2,62;411,55;4m9d
 - ;BRKM3;01/03/2016;04/03/2016;3d;500;C;13,31;12,92;-193,75;-2,91;217,80;3m23d
 - ;BRKM3;01/11/2016;03/11/2016;2d;500;C;22,10;21,85;-122,80;-1,11;95,00;8m5d
 - ;BRKM3;07/11/2016;11/11/2016;4d;500;C;22,26;23,16;449,95;4,04;544,95;6d
 - ;BRKM3;14/12/2016;16/12/2016;2d;500;C;25,90;27,36;731,70;5,65;1.276,65;1m7d
 - ;BRKM3;31/01/2017;01/02/2017;1d;500;C;27,62;27,98;177,20;1,28;1.453,85;1m18d
 - ;BRKM3;13/02/2017;02/03/2017;17d;500;C;28,63;27,65;-489,15;-3,42;964,70;13d
 - ;BRKM3;15/08/2017;16/08/2017;1d;500;C;33,63;34,36;363,60;2,16;1.328,30;6m3d
 - ;BRKM3;20/10/2017;24/10/2017;4d;500;C;42,71;41,70;-506,70;-2,37;821,60;2m6d
 - ;BRKM3;01/08/2018;15/08/2018;14d;500;C;51,58;53,51;963,85;3,74;1.785,45;9m15d
 - ;BRKM3;13/09/2018;14/09/2018;1d;500;C;56,47;56,95;243,40;0,86;2.028,85;1m13d
 - ;BRKM3;15/03/2019;21/03/2019;6d;500;C;53,11;51,49;-809,35;-3,05;1.219,50;6m3d
 - ;BRKM3;12/12/2019;13/12/2019;1d;500;C;29,69;29,88;95,00;0,64;1.314,50;8m32d
 - ;BRKM3;30/06/2020;02/07/2020;2d;500;C;24,66;25,26;300,00;2,43;1.614,50;6m21d
 - ;BRKM3;16/07/2020;24/07/2020;8d;500;C;24,72;23,84;-439,85;-3,56;1.174,65;16d
