Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;BTOW3;07/07/2005;11/07/2005;4d;500;C;15,62;16,38;380,00;4,87;380,00; - 
 - ;BTOW3;18/10/2005;03/11/2005;16d;500;C;25,81;27,86;1.021,70;7,92;1.401,70;3m13d
 - ;BTOW3;16/03/2006;17/03/2006;1d;500;C;43,05;41,52;-761,30;-3,54;640,40;4m29d
 - ;BTOW3;26/09/2006;27/09/2006;1d;500;C;35,29;37,49;1.097,70;6,22;1.738,10;6m14d
 - ;BTOW3;31/01/2007;01/02/2007;1d;500;C;53,53;55,13;797,90;2,98;2.536,00;4m7d
 - ;BTOW3;15/02/2007;21/02/2007;6d;500;C;59,02;56,77;-1.126,60;-3,82;1.409,40;15d
 - ;BTOW3;22/02/2007;01/03/2007;7d;500;C;59,95;56,26;-1.843,70;-6,15;-434,30;7d
 - ;BTOW3;15/03/2007;23/03/2007;8d;500;C;58,51;61,30;1.393,20;4,76;958,90;21d
 - ;BTOW3;30/03/2007;03/04/2007;4d;500;C;58,09;60,19;1.051,20;3,62;2.010,10;15d
 - ;BTOW3;21/05/2007;24/05/2007;3d;500;C;66,28;64,04;-1.123,05;-3,39;887,05;1m22d
 - ;BTOW3;25/05/2007;28/05/2007;3d;500;C;65,86;69,24;1.688,75;5,13;2.575,80;4d
 - ;BTOW3;11/06/2007;15/06/2007;4d;500;C;67,03;69,86;1.418,55;4,23;3.994,35;17d
 - ;BTOW3;02/08/2007;08/08/2007;6d;500;C;68,96;73,24;2.140,50;6,21;6.134,85;1m22d
 - ;BTOW3;12/05/2009;14/05/2009;2d;500;C;28,96;27,56;-699,00;-4,83;5.435,85;1y9m379d
 - ;BTOW3;15/05/2009;18/05/2009;3d;500;C;30,00;32,56;1.282,15;8,55;6.718,00;3d
 - ;BTOW3;27/05/2009;28/05/2009;1d;500;C;31,31;33,63;1.158,65;7,40;7.876,65;12d
 - ;BTOW3;17/06/2009;22/06/2009;5d;500;C;32,02;30,85;-588,15;-3,67;7.288,50;21d
 - ;BTOW3;07/07/2009;10/07/2009;3d;500;C;31,43;30,59;-417,45;-2,66;6.871,05;20d
 - ;BTOW3;14/07/2009;15/07/2009;1d;500;C;30,93;32,03;549,50;3,55;7.420,55;7d
 - ;BTOW3;28/08/2009;01/09/2009;4d;500;C;42,16;41,30;-430,90;-2,04;6.989,65;1m15d
 - ;BTOW3;15/09/2009;17/09/2009;2d;500;C;41,48;42,66;592,10;2,85;7.581,75;18d
 - ;BTOW3;25/09/2009;30/09/2009;5d;500;C;41,40;42,30;447,30;2,16;8.029,05;10d
 - ;BTOW3;11/11/2010;17/11/2010;6d;500;C;26,58;27,37;392,95;2,96;8.422,00;1y1m382d
 - ;BTOW3;24/11/2010;03/12/2010;9d;500;C;27,35;28,68;662,05;4,84;9.084,05;13d
