Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CESP6;25/08/2006;20/09/2006;26d;500;C;9,69;9,21;-241,15;-4,98;-241,15; - 
 - ;CESP6;25/09/2006;27/09/2006;2d;500;C;9,12;9,46;170,90;3,75;-70,25;1m1d
 - ;CESP6;16/10/2006;18/10/2006;2d;500;C;10,66;10,33;-166,00;-3,11;-236,25;21d
 - ;CESP6;19/10/2006;10/11/2006;22d;500;C;10,56;10,03;-267,65;-5,07;-503,90;3d
 - ;CESP6;26/12/2006;27/12/2006;1d;500;C;12,24;12,49;127,55;2,08;-376,35;2m8d
 - ;CESP6;14/02/2007;15/02/2007;1d;500;C;11,84;13,14;650,45;10,99;274,10;1m20d
 - ;CESP6;22/03/2007;27/03/2007;5d;500;C;13,85;14,31;229,55;3,31;503,65;1m6d
 - ;CESP6;09/04/2007;11/04/2007;2d;500;C;14,36;14,05;-155,35;-2,16;348,30;18d
 - ;CESP6;22/05/2007;25/05/2007;3d;500;C;16,02;16,86;418,35;5,22;766,65;1m13d
 - ;CESP6;21/06/2007;27/06/2007;6d;500;C;18,26;17,56;-353,60;-3,87;413,05;30d
 - ;CESP6;29/06/2007;11/07/2007;12d;500;C;17,96;18,49;267,85;2,98;680,90;8d
 - ;CESP6;19/07/2007;24/07/2007;5d;500;C;18,29;17,64;-325,65;-3,56;355,25;20d
 - ;CESP6;23/10/2007;25/10/2007;2d;500;C;17,17;16,49;-339,55;-3,96;15,70;3m6d
 - ;CESP6;28/11/2007;03/12/2007;5d;500;C;15,82;16,63;405,60;5,13;421,30;1m6d
 - ;CESP6;14/02/2008;20/02/2008;6d;500;C;23,06;24,38;660,70;5,73;1.082,00;2m18d
 - ;CESP6;23/07/2008;24/07/2008;1d;500;C;15,21;14,87;-169,20;-2,23;912,80;5m10d
 - ;CESP6;28/07/2008;01/08/2008;4d;500;C;14,95;15,36;201,65;2,70;1.114,45;5d
 - ;CESP6;04/08/2008;08/08/2008;4d;500;C;15,36;14,77;-296,75;-3,86;817,70;7d
 - ;CESP6;04/02/2009;05/02/2009;1d;500;C;6,23;6,40;84,65;2,72;902,35;6m4d
 - ;CESP6;08/05/2009;14/05/2009;6d;500;C;8,40;8,87;236,00;5,62;1.138,35;3m3d
 - ;CESP6;22/05/2009;01/06/2009;10d;500;C;8,72;8,98;128,60;2,95;1.266,95;14d
 - ;CESP6;24/06/2009;25/06/2009;1d;500;C;9,57;9,76;95,15;1,99;1.362,10;1m3d
 - ;CESP6;13/08/2009;17/08/2009;4d;500;C;10,24;9,88;-182,15;-3,56;1.179,95;1m20d
 - ;CESP6;20/08/2009;25/08/2009;5d;500;C;9,94;9,64;-146,80;-2,95;1.033,15;7d
 - ;CESP6;26/08/2009;28/08/2009;2d;500;C;9,80;10,00;98,45;2,01;1.131,60;6d
 - ;CESP6;05/10/2009;26/10/2009;21d;500;C;11,78;10,97;-402,35;-6,83;729,25;1m10d
 - ;CESP6;27/10/2009;28/10/2009;1d;500;C;11,21;10,88;-166,45;-2,97;562,80;22d
 - ;CESP6;23/11/2009;26/11/2009;3d;500;C;11,16;10,87;-146,40;-2,62;416,40;27d
 - ;CESP6;30/11/2009;01/12/2009;1d;500;C;11,04;11,38;169,20;3,07;585,60;7d
 - ;CESP6;08/02/2010;09/02/2010;1d;500;C;12,63;13,17;273,35;4,33;858,95;2m10d
 - ;CESP6;16/03/2010;17/03/2010;1d;500;C;12,58;12,78;98,90;1,57;957,85;1m6d
 - ;CESP6;30/08/2010;03/09/2010;4d;500;C;13,63;13,00;-313,00;-4,59;644,85;5m17d
 - ;CESP6;22/09/2010;24/09/2010;2d;500;C;13,33;13,06;-137,15;-2,06;507,70;23d
 - ;CESP6;17/11/2010;18/11/2010;1d;500;C;14,62;14,95;165,40;2,26;673,10;1m26d
 - ;CESP6;20/12/2010;21/12/2010;1d;500;C;14,63;14,41;-110,25;-1,51;562,85;1m3d
 - ;CESP6;04/05/2011;05/05/2011;1d;500;C;16,03;16,35;163,45;2,04;726,30;4m15d
 - ;CESP6;17/05/2011;18/05/2011;1d;500;C;16,38;16,06;-159,55;-1,95;566,75;13d
 - ;CESP6;09/06/2011;10/06/2011;1d;500;C;16,14;15,96;-92,40;-1,14;474,35;23d
 - ;CESP6;12/12/2011;15/12/2011;3d;500;C;16,96;17,45;248,20;2,93;722,55;6m6d
 - ;CESP6;13/01/2012;16/01/2012;3d;500;C;17,58;16,95;-312,60;-3,56;409,95;1m2d
 - ;CESP6;20/03/2012;27/03/2012;7d;500;C;20,07;19,51;-280,70;-2,80;129,25;2m7d
 - ;CESP6;13/04/2012;10/05/2012;27d;500;C;19,82;20,65;415,40;4,19;544,65;24d
 - ;CESP6;10/08/2012;14/08/2012;4d;500;C;20,70;21,55;425,15;4,11;969,80;3m29d
 - ;CESP6;27/03/2013;05/04/2013;9d;500;C;11,48;12,10;306,90;5,35;1.276,70;7m19d
 - ;CESP6;30/04/2013;22/05/2013;22d;500;C;12,57;13,25;340,05;5,41;1.616,75;1m4d
 - ;CESP6;01/10/2013;03/10/2013;2d;500;C;14,24;13,78;-228,00;-3,20;1.388,75;5m4d
 - ;CESP6;15/10/2013;31/10/2013;16d;500;C;13,62;14,07;225,80;3,32;1.614,55;14d
 - ;CESP6;27/11/2013;29/11/2013;2d;500;C;13,85;14,10;120,45;1,74;1.735,00;1m13d
 - ;CESP6;02/12/2013;03/12/2013;1d;500;C;14,14;13,64;-251,95;-3,56;1.483,05;5d
 - ;CESP6;13/12/2013;26/12/2013;13d;500;C;14,08;13,57;-254,85;-3,62;1.228,20;11d
 - ;CESP6;20/05/2014;21/05/2014;1d;500;C;18,28;17,85;-217,85;-2,38;1.010,35;5m8d
 - ;CESP6;10/06/2014;11/06/2014;1d;500;C;17,46;17,95;245,20;2,81;1.255,55;21d
 - ;CESP6;01/07/2014;03/07/2014;2d;500;C;18,61;18,95;172,30;1,85;1.427,85;21d
 - ;CESP6;15/08/2014;21/08/2014;6d;500;C;19,49;20,29;400,95;4,11;1.828,80;1m15d
 - ;CESP6;15/05/2015;20/05/2015;5d;500;C;17,64;18,17;266,20;3,02;2.095,00;8m33d
 - ;CESP6;08/06/2015;12/06/2015;4d;500;C;17,24;16,70;-270,20;-3,14;1.824,80;24d
 - ;CESP6;16/06/2015;23/06/2015;7d;500;C;17,16;17,76;299,95;3,50;2.124,75;8d
 - ;CESP6;13/04/2016;20/04/2016;7d;500;C;13,54;12,81;-362,45;-5,36;1.762,30;9m32d
 - ;CESP6;03/10/2016;17/10/2016;14d;500;C;12,68;12,21;-236,35;-3,73;1.525,95;5m23d
 - ;CESP6;06/03/2017;09/03/2017;3d;500;C;15,78;15,36;-206,55;-2,62;1.319,40;5m4d
 - ;CESP6;27/04/2017;28/04/2017;1d;500;C;15,39;15,70;152,45;1,98;1.471,85;1m22d
 - ;CESP6;26/02/2018;27/02/2018;1d;500;C;13,82;13,58;-124,35;-1,80;1.347,50;10m5d
 - ;CESP6;09/03/2018;15/03/2018;6d;500;C;13,53;14,00;237,15;3,51;1.584,65;11d
 - ;CESP6;11/04/2018;13/04/2018;2d;500;C;14,01;14,50;241,65;3,45;1.826,30;1m3d
 - ;CESP6;27/04/2018;04/05/2018;7d;500;C;15,74;15,09;-323,20;-4,11;1.503,10;16d
 - ;CESP6;16/05/2018;18/05/2018;2d;500;C;14,64;14,08;-277,75;-3,80;1.225,35;19d
 - ;CESP6;20/08/2018;21/08/2018;1d;500;C;14,89;15,29;201,75;2,71;1.427,10;3m6d
 - ;CESP6;18/01/2019;30/01/2019;12d;500;C;19,36;19,88;260,10;2,69;1.687,20;4m31d
 - ;CESP6;08/02/2019;27/02/2019;19d;500;C;20,46;21,45;497,70;4,87;2.184,90;21d
 - ;CESP6;11/03/2019;18/03/2019;7d;500;C;21,52;22,27;372,20;3,46;2.557,10;1m1d
 - ;CESP6;01/04/2019;05/04/2019;4d;500;C;21,92;23,12;600,85;5,48;3.157,95;21d
 - ;CESP6;06/05/2019;08/05/2019;2d;500;C;23,94;23,41;-265,75;-2,22;2.892,20;1m5d
 - ;CESP6;24/06/2019;25/06/2019;1d;500;C;25,06;24,49;-285,65;-2,28;2.606,55;1m19d
 - ;CESP6;28/06/2019;01/07/2019;3d;500;C;24,49;25,22;366,25;2,99;2.972,80;4d
 - ;CESP6;23/07/2019;24/07/2019;1d;500;C;26,62;26,04;-292,25;-2,20;2.680,55;25d
 - ;CESP6;14/08/2019;15/08/2019;1d;500;C;26,33;25,54;-398,25;-3,02;2.282,30;22d
 - ;CESP6;09/09/2019;10/09/2019;1d;500;C;25,88;25,17;-356,05;-2,75;1.926,25;26d
 - ;CESP6;18/09/2019;07/10/2019;19d;500;C;26,09;27,23;570,25;4,37;2.496,50;9d
 - ;CESP6;11/11/2019;12/11/2019;1d;500;C;27,63;26,88;-376,75;-2,73;2.119,75;1m24d
 - ;CESP6;22/11/2019;29/11/2019;7d;500;C;27,26;27,76;250,35;1,84;2.370,10;11d
 - ;CESP6;09/12/2019;23/12/2019;14d;500;C;27,68;28,41;366,25;2,65;2.736,35;17d
 - ;CESP6;10/01/2020;28/01/2020;18d;500;C;29,17;30,76;797,40;5,47;3.533,75;1m2d
 - ;CESP6;02/03/2020;03/03/2020;1d;500;C;30,23;31,37;570,25;3,77;4.104,00;1m22d
 - ;CESP6;13/07/2020;15/07/2020;2d;500;C;29,22;28,74;-241,00;-1,65;3.863,00;4m13d
 - ;CESP6;16/07/2020;17/07/2020;1d;500;C;29,35;30,11;380,00;2,59;4.243,00;3d
