Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CIEL3;10/07/2009;13/07/2009;3d;500;C;5,27;5,42;73,55;2,79;73,55; - 
 - ;CIEL3;11/09/2009;14/09/2009;3d;500;C;5,03;4,95;-38,80;-1,54;34,75;2m3d
 - ;CIEL3;01/10/2009;02/10/2009;1d;500;C;5,50;5,31;-93,25;-3,39;-58,50;20d
 - ;CIEL3;29/04/2010;04/05/2010;5d;500;C;5,48;5,27;-103,25;-3,77;-161,75;6m30d
 - ;CIEL3;28/06/2010;29/06/2010;1d;500;C;5,28;5,13;-78,90;-2,99;-240,65;1m30d
 - ;CIEL3;18/04/2011;19/04/2011;1d;500;C;4,80;4,86;29,70;1,24;-210,95;9m24d
 - ;CIEL3;10/06/2011;16/06/2011;6d;500;C;5,58;5,42;-80,90;-2,90;-291,85;1m23d
 - ;CIEL3;30/06/2011;01/07/2011;1d;500;C;5,36;5,49;64,35;2,40;-227,50;20d
 - ;CIEL3;18/10/2011;24/10/2011;6d;500;C;6,40;6,62;111,00;3,47;-116,50;3m20d
 - ;CIEL3;31/10/2011;01/11/2011;1d;500;C;6,56;6,41;-72,50;-2,21;-189,00;13d
 - ;CIEL3;03/11/2011;16/11/2011;13d;500;C;6,66;6,99;162,55;4,88;-26,45;3d
 - ;CIEL3;10/01/2012;12/01/2012;2d;500;C;6,89;6,98;47,95;1,39;21,50;2m8d
 - ;CIEL3;15/02/2012;16/02/2012;1d;500;C;8,01;8,27;128,90;3,22;150,40;1m6d
 - ;CIEL3;12/03/2012;13/03/2012;1d;500;C;8,88;8,73;-74,65;-1,68;75,75;26d
 - ;CIEL3;20/04/2012;23/04/2012;3d;500;C;8,99;8,68;-154,85;-3,45;-79,10;1m9d
 - ;CIEL3;24/04/2012;27/04/2012;3d;500;C;9,12;9,85;364,80;8,00;285,70;4d
 - ;CIEL3;01/06/2012;26/06/2012;25d;500;C;9,71;10,33;310,45;6,40;596,15;1m8d
 - ;CIEL3;04/07/2012;13/07/2012;9d;500;C;10,37;10,67;149,10;2,87;745,25;1m3d
 - ;CIEL3;25/07/2012;26/07/2012;1d;500;C;10,96;10,67;-144,95;-2,64;600,30;21d
 - ;CIEL3;02/08/2012;03/08/2012;1d;500;C;10,61;10,87;129,80;2,45;730,10;8d
 - ;CIEL3;09/08/2012;13/08/2012;4d;500;C;10,91;10,60;-156,25;-2,86;573,85;7d
 - ;CIEL3;23/08/2012;29/08/2012;6d;500;C;10,34;10,67;168,35;3,26;742,20;14d
 - ;CIEL3;12/09/2012;13/09/2012;1d;500;C;10,79;10,40;-193,70;-3,59;548,50;20d
 - ;CIEL3;15/01/2013;01/02/2013;17d;500;C;9,93;10,22;145,75;2,94;694,25;4m5d
 - ;CIEL3;19/03/2013;28/03/2013;9d;500;C;10,59;10,87;140,85;2,66;835,10;2m3d
 - ;CIEL3;27/05/2013;05/06/2013;9d;500;C;11,96;12,33;185,50;3,10;1.020,60;2m9d
 - ;CIEL3;13/06/2013;19/06/2013;6d;500;C;11,69;11,38;-155,85;-2,67;864,75;17d
 - ;CIEL3;26/07/2013;29/07/2013;3d;500;C;12,22;11,99;-118,20;-1,93;746,55;1m13d
 - ;CIEL3;21/08/2013;22/08/2013;1d;500;C;12,39;12,64;127,35;2,06;873,90;26d
 - ;CIEL3;26/09/2013;27/09/2013;1d;500;C;12,92;13,26;172,25;2,67;1.046,15;1m6d
 - ;CIEL3;22/11/2013;06/12/2013;14d;500;C;14,96;14,63;-164,85;-2,20;881,30;1m27d
 - ;CIEL3;13/12/2013;07/01/2014;25d;500;C;14,75;15,24;241,60;3,28;1.122,90;21d
 - ;CIEL3;30/04/2014;02/05/2014;2d;500;C;17,60;17,95;177,75;2,02;1.300,65;4m18d
 - ;CIEL3;12/05/2014;15/05/2014;3d;500;C;17,92;17,50;-208,80;-2,33;1.091,85;12d
 - ;CIEL3;04/07/2014;10/07/2014;6d;500;C;20,42;20,90;241,50;2,37;1.333,35;1m23d
 - ;CIEL3;22/05/2015;27/05/2015;5d;500;C;23,50;22,69;-405,20;-3,45;928,15;10m22d
 - ;CIEL3;02/06/2015;10/06/2015;8d;500;C;22,92;23,56;323,35;2,82;1.251,50;11d
 - ;CIEL3;16/06/2015;17/06/2015;1d;500;C;23,65;22,89;-380,10;-3,21;871,40;14d
 - ;CIEL3;26/06/2015;30/06/2015;4d;500;C;23,73;24,20;236,15;1,99;1.107,55;10d
 - ;CIEL3;27/04/2016;28/04/2016;1d;500;C;22,45;23,19;366,70;3,27;1.474,25;10m6d
 - ;CIEL3;18/08/2016;19/08/2016;1d;500;C;24,05;23,13;-457,35;-3,80;1.016,90;3m23d
 - ;CIEL3;18/12/2017;20/12/2017;2d;500;C;20,46;19,80;-332,15;-3,25;684,75;1y4m367d
 - ;CIEL3;17/01/2018;18/01/2018;1d;500;C;21,20;22,08;441,50;4,16;1.126,25;30d
 - ;CIEL3;26/02/2018;06/03/2018;8d;500;C;21,13;20,37;-381,35;-3,61;744,90;1m10d
 - ;CIEL3;11/03/2019;15/03/2019;4d;500;C;10,61;10,16;-225,95;-4,26;518,95;1y378d
 - ;CIEL3;21/08/2019;18/09/2019;28d;500;C;7,66;8,23;287,60;7,51;806,55;5m13d
 - ;CIEL3;17/10/2019;22/10/2019;5d;500;C;7,62;7,76;69,65;1,83;876,20;1m27d
 - ;CIEL3;27/07/2020;29/07/2020;2d;500;C;5,36;5,00;-181,25;-6,76;694,95;9m14d
 - ;CIEL3;03/09/2020;04/09/2020;1d;500;C;4,73;4,49;-120,60;-5,10;574,35;1m8d
 - ;CIEL3;08/09/2020;11/09/2020;3d;500;C;4,70;4,45;-125,55;-5,34;448,80;5d
