Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CMIG4;14/02/2001;16/02/2001;2d;500;C;0,74;0,72;-11,10;-2,98;-11,10; - 
 - ;CMIG4;23/02/2001;28/02/2001;5d;500;C;0,67;0,65;-10,45;-3,11;-21,55;9d
 - ;CMIG4;12/03/2001;13/03/2001;1d;500;C;0,67;0,66;-6,15;-1,83;-27,70;17d
 - ;CMIG4;26/07/2001;31/07/2001;5d;500;C;0,59;0,56;-18,90;-6,37;-46,60;4m16d
 - ;CMIG4;29/08/2001;05/09/2001;7d;500;C;0,57;0,59;12,85;4,53;-33,75;1m4d
 - ;CMIG4;13/09/2001;14/09/2001;1d;500;C;0,57;0,51;-27,45;-9,67;-61,20;15d
 - ;CMIG4;06/02/2002;14/02/2002;8d;500;C;0,75;0,80;21,85;5,81;-39,35;4m26d
 - ;CMIG4;21/02/2002;22/02/2002;1d;500;C;0,77;0,80;12,05;3,12;-27,30;15d
 - ;CMIG4;26/03/2002;03/04/2002;8d;500;C;0,78;0,74;-17,30;-4,46;-44,60;1m3d
 - ;CMIG4;26/04/2002;09/05/2002;13d;500;C;0,84;0,79;-26,20;-6,23;-70,80;1m1d
 - ;CMIG4;13/05/2002;14/05/2002;1d;500;C;0,81;0,78;-13,10;-3,25;-83,90;17d
 - ;CMIG4;09/01/2003;10/01/2003;1d;500;C;0,68;0,70;9,20;2,70;-74,70;7m31d
 - ;CMIG4;30/01/2003;13/02/2003;14d;500;C;0,66;0,63;-17,30;-5,21;-92,00;21d
 - ;CMIG4;28/05/2003;02/06/2003;5d;500;C;0,81;0,78;-15,25;-3,75;-107,25;3m28d
 - ;CMIG4;17/12/2003;19/12/2003;2d;500;C;1,28;1,32;24,20;3,79;-83,05;6m23d
 - ;CMIG4;09/01/2004;16/01/2004;7d;500;C;1,47;1,38;-42,70;-5,82;-125,75;23d
 - ;CMIG4;09/02/2004;20/02/2004;11d;500;C;1,38;1,23;-76,60;-11,10;-202,35;1m1d
 - ;CMIG4;25/02/2004;06/05/2004;2m11d;500;C;1,37;1,20;-83,35;-12,20;-285,70;16d
 - ;CMIG4;17/08/2004;19/08/2004;2d;500;C;1,51;1,59;41,15;5,47;-244,55;5m24d
 - ;CMIG4;31/08/2004;01/09/2004;1d;500;C;1,58;1,50;-40,10;-5,09;-284,65;14d
