Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;COGN3;30/07/2007;31/07/2007;1d;500;C;3,90;4,00;52,25;2,68;52,25; - 
 - ;COGN3;28/08/2007;29/08/2007;1d;500;C;3,45;3,58;67,10;3,89;119,35;29d
 - ;COGN3;17/09/2007;18/09/2007;1d;500;C;3,79;3,71;-42,95;-2,26;76,40;20d
 - ;COGN3;19/09/2007;20/09/2007;1d;500;C;3,83;3,70;-66,95;-3,49;9,45;2d
 - ;COGN3;27/09/2007;01/10/2007;4d;500;C;3,81;3,98;81,00;4,25;90,45;8d
 - ;COGN3;11/10/2007;17/10/2007;6d;500;C;3,88;3,78;-52,65;-2,71;37,80;14d
 - ;COGN3;18/10/2007;19/10/2007;1d;500;C;3,83;3,74;-47,95;-2,50;-10,15;7d
 - ;COGN3;17/06/2009;18/06/2009;1d;500;C;1,61;1,55;-27,60;-3,44;-37,75;1y7m398d
 - ;COGN3;20/07/2009;21/07/2009;1d;500;C;1,37;1,41;18,05;2,63;-19,70;1m3d
 - ;COGN3;07/08/2009;14/08/2009;7d;500;C;1,70;1,78;41,25;4,85;21,55;18d
 - ;COGN3;30/11/2009;08/12/2009;8d;500;C;1,85;1,75;-51,70;-5,58;-30,15;3m25d
 - ;COGN3;03/11/2010;17/11/2010;14d;500;C;1,85;1,92;35,05;3,78;4,90;11m8d
 - ;COGN3;16/12/2010;23/12/2010;7d;500;C;2,04;2,14;47,95;4,70;52,85;1m13d
 - ;COGN3;11/01/2011;12/01/2011;1d;500;C;2,24;2,28;18,05;1,61;70,90;26d
 - ;COGN3;26/10/2011;27/10/2011;1d;500;C;1,94;1,98;19,05;1,96;89,95;9m18d
 - ;COGN3;16/03/2012;19/03/2012;3d;500;C;2,45;2,59;71,05;5,79;161,00;4m22d
 - ;COGN3;09/04/2012;10/04/2012;1d;500;C;2,73;2,67;-27,55;-2,02;133,45;24d
 - ;COGN3;13/06/2012;14/06/2012;1d;500;C;3,03;2,94;-46,30;-3,05;87,15;2m5d
 - ;COGN3;15/06/2012;12/07/2012;27d;500;C;3,05;2,93;-60,50;-3,97;26,65;2d
 - ;COGN3;24/07/2012;25/07/2012;1d;500;C;3,00;3,06;30,00;2,00;56,65;1m9d
 - ;COGN3;30/11/2012;03/12/2012;3d;500;C;4,40;4,25;-74,80;-3,40;-18,15;4m9d
 - ;COGN3;14/12/2012;18/12/2012;4d;500;C;4,59;4,75;80,50;3,51;62,35;14d
 - ;COGN3;07/01/2013;14/01/2013;7d;500;C;4,83;4,57;-131,00;-5,42;-68,65;24d
 - ;COGN3;17/01/2013;28/01/2013;11d;500;C;4,59;4,85;129,45;5,64;60,80;10d
 - ;COGN3;18/02/2013;19/02/2013;1d;500;C;5,42;5,27;-76,60;-2,83;-15,80;1m2d
 - ;COGN3;22/02/2013;04/03/2013;10d;500;C;5,31;5,46;75,80;2,85;60,00;4d
