Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CPFE3;08/10/2004;11/10/2004;3d;500;C;3,69;3,64;-25,30;-1,37;-25,30; - 
 - ;CPFE3;13/10/2004;14/10/2004;1d;500;C;3,68;3,61;-35,10;-1,91;-60,40;5d
 - ;CPFE3;25/10/2004;10/11/2004;16d;500;C;3,60;3,48;-58,95;-3,27;-119,35;12d
 - ;CPFE3;02/02/2005;04/02/2005;2d;500;C;3,91;3,99;43,65;2,23;-75,70;3m10d
 - ;CPFE3;21/02/2005;25/02/2005;4d;500;C;4,39;4,47;42,60;1,94;-33,10;19d
 - ;CPFE3;03/03/2005;07/03/2005;4d;500;C;4,42;4,53;53,45;2,42;20,35;10d
 - ;CPFE3;28/09/2005;29/09/2005;1d;500;C;5,41;5,51;51,90;1,92;72,25;6m29d
 - ;CPFE3;20/10/2005;31/10/2005;11d;500;C;5,44;5,20;-120,70;-4,44;-48,45;22d
 - ;CPFE3;01/11/2005;01/12/2005;30d;500;C;5,54;5,91;184,55;6,67;136,10;12d
 - ;CPFE3;04/01/2006;05/01/2006;1d;500;C;6,41;6,57;78,15;2,44;214,25;2m4d
 - ;CPFE3;31/01/2006;03/02/2006;3d;500;C;7,28;6,99;-141,35;-3,88;72,90;27d
 - ;CPFE3;28/03/2006;31/03/2006;3d;500;C;7,33;7,16;-84,55;-2,31;-11,65;1m26d
 - ;CPFE3;13/04/2006;27/04/2006;14d;500;C;7,47;7,26;-104,55;-2,80;-116,20;16d
 - ;CPFE3;13/09/2006;14/09/2006;1d;500;C;6,94;6,83;-56,05;-1,61;-172,25;5m3d
 - ;CPFE3;26/09/2006;28/09/2006;2d;500;C;6,88;7,09;104,95;3,05;-67,30;13d
 - ;CPFE3;11/06/2007;15/06/2007;4d;500;C;9,45;9,85;202,05;4,28;134,75;8m18d
 - ;CPFE3;12/07/2007;13/07/2007;1d;500;C;10,23;10,45;114,15;2,23;248,90;1m1d
 - ;CPFE3;07/08/2007;09/08/2007;2d;500;C;9,42;9,98;282,10;5,99;531,00;26d
 - ;CPFE3;06/11/2007;09/11/2007;3d;500;C;10,59;10,15;-218,15;-4,12;312,85;2m31d
 - ;CPFE3;28/11/2007;30/11/2007;2d;500;C;9,62;10,11;245,40;5,10;558,25;22d
 - ;CPFE3;05/12/2007;14/12/2007;9d;500;C;10,19;9,49;-349,70;-6,86;208,55;7d
 - ;CPFE3;16/05/2008;21/05/2008;5d;500;C;11,41;11,02;-193,15;-3,39;15,40;5m13d
 - ;CPFE3;05/06/2008;11/06/2008;6d;500;C;10,79;10,35;-219,60;-4,07;-204,20;20d
 - ;CPFE3;29/04/2009;30/04/2009;1d;500;C;10,77;10,27;-253,15;-4,70;-457,35;10m28d
 - ;CPFE3;26/06/2009;14/07/2009;18d;500;C;9,92;9,56;-177,85;-3,59;-635,20;1m28d
 - ;CPFE3;08/09/2009;17/09/2009;9d;500;C;10,38;10,50;62,65;1,21;-572,55;2m14d
 - ;CPFE3;18/09/2009;22/09/2009;4d;500;C;10,51;10,30;-107,70;-2,05;-680,25;10d
 - ;CPFE3;28/10/2009;29/10/2009;1d;500;C;10,35;10,13;-110,70;-2,14;-790,95;1m10d
 - ;CPFE3;30/11/2009;03/12/2009;3d;500;C;10,70;11,17;233,00;4,36;-557,95;1m3d
 - ;CPFE3;04/01/2010;06/01/2010;2d;500;C;11,50;11,82;157,45;2,74;-400,50;1m5d
 - ;CPFE3;11/01/2010;05/02/2010;25d;500;C;11,84;11,39;-224,70;-3,79;-625,20;7d
