Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CPLE3;20/06/2000;21/06/2000;1d;500;C;4,75;4,89;67,00;2,82;67,00; - 
 - ;CPLE3;13/07/2000;21/07/2000;8d;500;C;5,40;5,66;127,50;4,72;194,50;23d
 - ;CPLE3;04/08/2000;15/08/2000;11d;500;C;5,62;5,83;108,05;3,85;302,55;22d
 - ;CPLE3;04/09/2000;16/10/2000;1m12d;500;C;6,27;5,86;-201,85;-6,44;100,70;1m1d
 - ;CPLE3;13/06/2001;15/06/2001;2d;500;C;7,24;7,09;-76,30;-2,11;24,40;9m12d
 - ;CPLE3;21/05/2003;22/05/2003;1d;500;C;3,27;3,37;52,15;3,19;76,55;1y11m377d
 - ;CPLE3;08/12/2003;09/12/2003;1d;500;C;4,03;4,12;47,35;2,35;123,90;6m21d
 - ;CPLE3;12/12/2003;16/12/2003;4d;500;C;4,30;4,00;-149,60;-6,95;-25,70;4d
 - ;CPLE3;17/12/2003;18/12/2003;1d;500;C;4,08;4,19;56,85;2,79;31,15;5d
 - ;CPLE3;23/12/2003;05/01/2004;13d;500;C;4,11;4,23;61,65;3,00;92,80;6d
 - ;CPLE3;09/01/2004;14/01/2004;5d;500;C;4,21;4,04;-85,65;-4,07;7,15;17d
 - ;CPLE3;26/01/2004;30/01/2004;4d;500;C;4,03;3,78;-123,25;-6,12;-116,10;17d
 - ;CPLE3;16/08/2004;19/08/2004;3d;500;C;3,57;3,71;70,15;3,93;-45,95;6m23d
 - ;CPLE3;21/10/2004;25/10/2004;4d;500;C;4,11;3,93;-89,45;-4,36;-135,40;2m6d
 - ;CPLE3;29/10/2004;12/11/2004;14d;500;C;4,11;4,31;99,15;4,82;-36,25;8d
 - ;CPLE3;06/12/2004;07/12/2004;1d;500;C;5,05;4,87;-90,75;-3,59;-127,00;1m8d
 - ;CPLE3;06/04/2005;15/04/2005;9d;500;C;5,18;4,92;-127,10;-4,91;-254,10;3m31d
 - ;CPLE3;28/04/2005;05/05/2005;7d;500;C;5,30;5,59;147,45;5,57;-106,65;22d
 - ;CPLE3;12/05/2005;13/05/2005;1d;500;C;5,25;5,13;-59,95;-2,28;-166,60;14d
 - ;CPLE3;11/07/2005;12/07/2005;1d;500;C;5,29;5,53;119,95;4,54;-46,65;1m30d
 - ;CPLE3;15/08/2005;17/08/2005;2d;500;C;5,40;5,55;74,95;2,78;28,30;1m5d
 - ;CPLE3;31/08/2005;01/09/2005;1d;500;C;5,50;5,60;50,00;1,82;78,30;16d
 - ;CPLE3;01/11/2005;03/11/2005;2d;500;C;6,64;6,96;159,95;4,82;238,25;2m2d
 - ;CPLE3;19/12/2005;29/12/2005;10d;500;C;7,19;7,44;122,45;3,40;360,70;1m18d
 - ;CPLE3;19/01/2006;20/01/2006;1d;500;C;8,25;8,50;124,95;3,03;485,65;1m1d
 - ;CPLE3;02/02/2006;06/02/2006;4d;500;C;8,40;8,65;124,95;2,98;610,60;14d
 - ;CPLE3;20/03/2006;23/03/2006;3d;500;C;9,45;9,22;-111,55;-2,36;499,05;1m16d
 - ;CPLE3;24/03/2006;28/03/2006;4d;500;C;9,39;8,97;-208,70;-4,44;290,35;4d
 - ;CPLE3;20/10/2006;23/10/2006;3d;500;C;10,63;10,83;99,75;1,88;390,10;6m30d
 - ;CPLE3;26/01/2007;01/02/2007;6d;500;C;11,10;11,25;76,70;1,38;466,80;3m8d
 - ;CPLE3;15/03/2007;16/03/2007;1d;500;C;10,74;10,56;-89,90;-1,67;376,90;1m18d
 - ;CPLE3;27/03/2007;30/03/2007;3d;500;C;11,25;10,97;-141,55;-2,52;235,35;12d
 - ;CPLE3;23/05/2007;24/05/2007;1d;500;C;14,39;14,09;-150,90;-2,10;84,45;1m27d
 - ;CPLE3;26/06/2007;28/06/2007;2d;500;C;15,43;15,83;199,85;2,59;284,30;1m4d
 - ;CPLE3;03/09/2007;10/09/2007;7d;500;C;16,41;15,42;-499,00;-6,08;-214,70;2m9d
