Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CRFB3;01/08/2017;04/08/2017;3d;500;C;14,67;14,30;-185,85;-2,53;-185,85; - 
 - ;CRFB3;08/09/2017;11/09/2017;3d;500;C;15,61;16,06;225,50;2,89;39,65;1m8d
 - ;CRFB3;04/10/2017;05/10/2017;1d;500;C;14,85;15,27;206,30;2,78;245,95;26d
 - ;CRFB3;12/06/2018;13/06/2018;1d;500;C;14,95;15,72;386,05;5,16;632,00;8m11d
 - ;CRFB3;01/08/2018;08/08/2018;7d;500;C;15,14;14,50;-322,20;-4,26;309,80;1m20d
 - ;CRFB3;29/11/2018;30/11/2018;1d;500;C;15,82;16,54;357,20;4,51;667,00;3m30d
 - ;CRFB3;11/02/2019;18/02/2019;7d;500;C;18,93;19,39;230,00;2,43;897,00;2m14d
 - ;CRFB3;11/03/2019;14/03/2019;3d;500;C;18,97;19,66;342,55;3,61;1.239,55;28d
 - ;CRFB3;29/03/2019;22/04/2019;24d;500;C;19,71;20,48;386,55;3,92;1.626,10;18d
 - ;CRFB3;19/06/2019;21/06/2019;2d;500;C;22,27;21,78;-243,00;-2,18;1.383,10;2m22d
 - ;CRFB3;28/06/2019;02/07/2019;4d;500;C;21,50;20,73;-383,85;-3,57;999,25;9d
 - ;CRFB3;18/07/2019;19/07/2019;1d;500;C;22,67;22,97;152,00;1,34;1.151,25;20d
 - ;CRFB3;30/07/2019;15/08/2019;16d;500;C;22,54;21,74;-399,80;-3,55;751,45;12d
 - ;CRFB3;19/08/2019;26/08/2019;7d;500;C;22,25;21,25;-497,20;-4,47;254,25;20d
 - ;CRFB3;28/08/2019;29/08/2019;1d;500;C;21,45;22,02;281,90;2,63;536,15;9d
 - ;CRFB3;27/03/2020;01/04/2020;5d;500;C;21,48;19,76;-860,50;-8,01;-324,35;6m32d
 - ;CRFB3;17/08/2020;18/08/2020;1d;500;C;19,98;19,42;-276,60;-2,77;-600,95;4m23d
 - ;CRFB3;28/08/2020;01/09/2020;4d;500;C;19,47;20,00;265,00;2,72;-335,95;11d
