Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CSNA3;17/07/2000;10/08/2000;24d;500;C;0,51;0,55;21,25;8,33;21,25; - 
 - ;CSNA3;05/09/2000;08/09/2000;3d;500;C;0,57;0,55;-9,15;-3,23;12,10;1m20d
 - ;CSNA3;12/09/2000;14/09/2000;2d;500;C;0,57;0,54;-15,45;-5,42;-3,35;7d
 - ;CSNA3;25/09/2000;02/10/2000;7d;500;C;0,51;0,49;-14,65;-5,69;-18,00;13d
 - ;CSNA3;08/03/2001;09/03/2001;1d;500;C;0,66;0,65;-4,05;-1,23;-22,05;5m14d
 - ;CSNA3;13/07/2001;19/07/2001;6d;500;C;0,55;0,58;16,15;5,88;-5,90;4m7d
 - ;CSNA3;14/02/2002;15/02/2002;1d;500;C;0,55;0,58;14,05;5,12;8,15;7m6d
 - ;CSNA3;24/04/2002;26/04/2002;2d;500;C;0,66;0,65;-5,80;-1,75;2,35;2m9d
 - ;CSNA3;24/05/2002;03/06/2002;10d;500;C;0,73;0,69;-19,15;-5,27;-16,80;30d
 - ;CSNA3;10/06/2002;11/06/2002;1d;500;C;0,67;0,69;11,65;3,49;-5,15;17d
 - ;CSNA3;27/12/2002;30/12/2002;3d;500;C;0,73;0,76;13,20;3,61;8,05;6m20d
 - ;CSNA3;07/01/2003;09/01/2003;2d;500;C;0,77;0,80;14,55;3,78;22,60;11d
 - ;CSNA3;17/03/2003;20/03/2003;3d;500;C;0,87;0,89;12,75;2,94;35,35;2m9d
 - ;CSNA3;09/04/2003;10/04/2003;1d;500;C;0,94;0,98;19,30;4,12;54,65;23d
 - ;CSNA3;24/04/2003;28/04/2003;4d;500;C;0,97;0,99;9,85;2,04;64,50;15d
 - ;CSNA3;06/08/2003;07/08/2003;1d;500;C;1,22;1,24;9,70;1,59;74,20;3m14d
 - ;CSNA3;17/12/2003;22/12/2003;5d;500;C;2,15;2,23;38,10;3,54;112,30;4m13d
 - ;CSNA3;25/02/2004;27/02/2004;2d;500;C;2,75;2,92;85,00;6,19;197,30;2m10d
 - ;CSNA3;25/03/2004;26/03/2004;1d;500;C;2,90;3,04;66,15;4,56;263,45;29d
 - ;CSNA3;09/08/2004;24/09/2004;1m16d;500;C;3,00;2,83;-82,25;-5,49;181,20;4m17d
 - ;CSNA3;29/09/2004;06/10/2004;7d;500;C;2,94;3,17;115,15;7,84;296,35;1m21d
 - ;CSNA3;27/12/2004;29/12/2004;2d;500;C;3,35;3,40;23,40;1,40;319,75;2m29d
 - ;CSNA3;03/01/2005;04/01/2005;1d;500;C;3,41;3,13;-137,95;-8,09;181,80;7d
 - ;CSNA3;03/03/2005;04/03/2005;1d;500;C;4,49;4,65;80,00;3,57;261,80;1m29d
 - ;CSNA3;18/03/2005;23/03/2005;5d;500;C;4,47;4,24;-112,40;-5,03;149,40;15d
