Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CVCB3;20/12/2013;23/12/2013;3d;500;C;11,62;11,30;-160,60;-2,76;-160,60; - 
 - ;CVCB3;21/01/2014;27/01/2014;6d;500;C;11,56;11,17;-195,10;-3,38;-355,70;1m2d
 - ;CVCB3;05/02/2014;07/02/2014;2d;500;C;10,80;10,46;-167,25;-3,10;-522,95;15d
 - ;CVCB3;17/03/2014;27/03/2014;10d;500;C;10,94;11,34;200,40;3,66;-322,55;1m10d
 - ;CVCB3;01/04/2015;07/04/2015;6d;500;C;11,05;11,67;308,50;5,58;-14,05;1y380d
 - ;CVCB3;29/05/2015;15/06/2015;17d;500;C;15,62;14,66;-481,45;-6,16;-495,50;1m28d
 - ;CVCB3;19/06/2015;03/07/2015;14d;500;C;14,90;15,58;341,20;4,58;-154,30;21d
 - ;CVCB3;25/04/2016;26/04/2016;1d;500;C;16,10;15,55;-273,25;-3,39;-427,55;10m11d
 - ;CVCB3;27/04/2016;04/05/2016;7d;500;C;16,25;15,51;-371,45;-4,57;-799,00;2d
 - ;CVCB3;22/07/2016;25/07/2016;3d;500;C;21,85;21,27;-286,15;-2,62;-1.085,15;2m26d
 - ;CVCB3;18/08/2016;19/08/2016;1d;500;C;19,23;18,69;-270,15;-2,81;-1.355,30;27d
 - ;CVCB3;17/11/2016;18/11/2016;1d;500;C;20,31;20,72;204,15;2,01;-1.151,15;2m31d
 - ;CVCB3;01/12/2016;02/12/2016;1d;500;C;20,24;19,16;-540,20;-5,34;-1.691,35;14d
 - ;CVCB3;12/04/2017;17/04/2017;5d;500;C;24,62;25,34;359,50;2,92;-1.331,85;4m12d
 - ;CVCB3;27/04/2017;02/05/2017;5d;500;C;25,88;26,74;427,95;3,31;-903,90;15d
 - ;CVCB3;15/05/2017;18/05/2017;3d;500;C;27,53;25,39;-1.067,05;-7,75;-1.970,95;18d
 - ;CVCB3;23/06/2017;29/06/2017;6d;500;C;28,25;27,24;-507,40;-3,59;-2.478,35;1m9d
 - ;CVCB3;12/07/2017;13/07/2017;1d;500;C;29,22;29,97;374,35;2,56;-2.104,00;19d
 - ;CVCB3;19/07/2017;25/07/2017;6d;500;C;29,63;30,33;352,85;2,38;-1.751,15;7d
 - ;CVCB3;07/08/2017;16/08/2017;9d;500;C;30,50;29,48;-510,25;-3,35;-2.261,40;19d
 - ;CVCB3;13/12/2017;15/12/2017;2d;500;C;39,03;40,10;533,50;2,73;-1.727,90;4m8d
 - ;CVCB3;05/04/2018;03/05/2018;28d;500;C;50,35;48,00;-1.176,10;-4,67;-2.904,00;3m23d
 - ;CVCB3;07/12/2018;10/12/2018;3d;500;C;51,89;49,91;-989,50;-3,81;-3.893,50;8m6d
 - ;CVCB3;10/01/2019;23/01/2019;13d;500;C;52,13;53,71;788,90;3,03;-3.104,60;1m4d
 - ;CVCB3;12/02/2019;13/02/2019;1d;500;C;53,54;54,87;662,50;2,47;-2.442,10;1m3d
 - ;CVCB3;22/02/2019;26/02/2019;4d;500;C;54,12;52,17;-972,00;-3,59;-3.414,10;10d
 - ;CVCB3;10/07/2020;13/07/2020;3d;500;C;17,00;19,80;1.402,45;16,50;-2.011,65;1y4m384d
 - ;CVCB3;11/08/2020;12/08/2020;1d;500;C;19,30;19,90;300,00;3,11;-1.711,65;1m2d
 - ;CVCB3;21/08/2020;03/09/2020;13d;500;C;19,37;18,17;-597,75;-6,17;-2.309,40;10d
