Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;CYRE3;04/10/2005;13/10/2005;9d;500;C;6,36;6,07;-142,90;-4,50;-142,90; - 
 - ;CYRE3;28/11/2005;29/11/2005;1d;500;C;8,29;7,88;-204,30;-4,93;-347,20;1m25d
 - ;CYRE3;14/12/2005;20/12/2005;6d;500;C;9,30;9,81;253,65;5,45;-93,55;16d
 - ;CYRE3;09/03/2006;12/04/2006;1m4d;500;C;13,36;12,31;-522,70;-7,83;-616,25;2m25d
 - ;CYRE3;02/10/2006;03/10/2006;1d;500;C;12,61;13,22;306,60;4,86;-309,65;6m27d
 - ;CYRE3;29/11/2006;13/12/2006;14d;500;C;13,99;13,15;-420,40;-6,01;-730,05;1m28d
 - ;CYRE3;28/05/2007;30/05/2007;2d;500;C;16,05;16,87;410,75;5,12;-319,30;5m30d
 - ;CYRE3;31/05/2007;08/06/2007;8d;500;C;16,94;15,77;-581,10;-6,86;-900,40;3d
 - ;CYRE3;26/06/2007;27/06/2007;1d;500;C;16,70;15,88;-410,75;-4,92;-1.311,15;26d
 - ;CYRE3;28/11/2007;17/12/2007;19d;500;C;19,30;17,42;-939,85;-9,74;-2.251,00;5m5d
 - ;CYRE3;16/05/2008;19/05/2008;3d;500;C;18,60;19,35;376,85;4,05;-1.874,15;5m20d
 - ;CYRE3;15/05/2009;19/05/2009;4d;500;C;9,43;10,12;342,25;7,26;-1.531,90;11m34d
 - ;CYRE3;12/08/2009;13/08/2009;1d;500;C;13,50;14,03;266,20;3,94;-1.265,70;2m29d
 - ;CYRE3;22/09/2009;24/09/2009;2d;500;C;16,62;16,00;-310,45;-3,74;-1.576,15;1m11d
 - ;CYRE3;05/10/2009;13/10/2009;8d;500;C;16,30;17,74;719,05;8,82;-857,10;13d
 - ;CYRE3;23/11/2009;27/11/2009;4d;500;C;16,91;16,24;-331,50;-3,92;-1.188,60;1m19d
 - ;CYRE3;23/12/2011;03/01/2012;11d;500;C;11,13;11,56;217,50;3,91;-971,10;2y760d
 - ;CYRE3;12/01/2012;13/01/2012;1d;500;C;11,63;11,38;-124,85;-2,15;-1.095,95;20d
 - ;CYRE3;17/01/2012;18/01/2012;1d;500;C;11,42;11,11;-154,00;-2,70;-1.249,95;5d
 - ;CYRE3;13/03/2012;14/03/2012;1d;500;C;13,96;14,50;269,15;3,86;-980,80;1m26d
 - ;CYRE3;21/03/2012;22/03/2012;1d;500;C;13,47;12,77;-351,50;-5,22;-1.332,30;8d
 - ;CYRE3;12/09/2012;13/09/2012;1d;500;C;12,81;13,02;108,95;1,70;-1.223,35;5m25d
 - ;CYRE3;14/09/2012;14/11/2012;2m1d;500;C;13,20;12,50;-349,90;-5,30;-1.573,25;2d
 - ;CYRE3;04/06/2013;07/06/2013;3d;500;C;13,35;12,98;-186,20;-2,79;-1.759,45;8m23d
 - ;CYRE3;08/10/2013;11/10/2013;3d;500;C;12,92;13,29;185,40;2,87;-1.574,05;4m6d
 - ;CYRE3;01/11/2013;04/11/2013;3d;500;C;13,01;12,72;-143,40;-2,20;-1.717,45;24d
 - ;CYRE3;26/06/2014;14/07/2014;18d;500;C;11,06;11,31;123,65;2,24;-1.593,80;7m27d
 - ;CYRE3;13/04/2015;14/04/2015;1d;500;C;10,99;10,74;-129,15;-2,35;-1.722,95;9m21d
 - ;CYRE3;04/04/2016;05/04/2016;1d;500;C;8,71;8,39;-159,10;-3,65;-1.882,05;11m27d
 - ;CYRE3;05/05/2016;10/05/2016;5d;500;C;8,57;8,85;139,80;3,26;-1.742,25;1m1d
 - ;CYRE3;02/06/2016;03/06/2016;1d;500;C;8,34;8,67;165,25;3,96;-1.577,00;28d
 - ;CYRE3;02/09/2016;09/09/2016;7d;500;C;9,01;8,66;-171,85;-3,82;-1.748,85;3m2d
 - ;CYRE3;21/03/2017;22/03/2017;1d;500;C;11,45;10,95;-250,95;-4,38;-1.999,80;6m20d
 - ;CYRE3;23/03/2017;24/03/2017;1d;500;C;11,24;10,59;-326,80;-5,81;-2.326,60;2d
 - ;CYRE3;17/04/2017;19/04/2017;2d;500;C;11,18;10,90;-140,75;-2,52;-2.467,35;25d
 - ;CYRE3;02/05/2017;03/05/2017;1d;500;C;11,18;11,44;127,10;2,27;-2.340,25;15d
 - ;CYRE3;25/10/2017;30/10/2017;5d;500;C;11,56;11,18;-193,20;-3,34;-2.533,45;5m26d
 - ;CYRE3;05/03/2018;15/03/2018;10d;500;C;13,17;12,73;-220,75;-3,35;-2.754,20;4m11d
 - ;CYRE3;22/03/2018;23/03/2018;1d;500;C;12,80;13,07;136,55;2,13;-2.617,65;17d
 - ;CYRE3;11/04/2018;12/04/2018;1d;500;C;12,77;12,42;-173,45;-2,72;-2.791,10;20d
 - ;CYRE3;13/04/2018;16/04/2018;3d;500;C;12,54;11,95;-294,45;-4,70;-3.085,55;2d
 - ;CYRE3;28/12/2018;02/01/2019;5d;500;C;13,89;14,30;203,20;2,93;-2.882,35;8m19d
 - ;CYRE3;05/02/2019;06/02/2019;1d;500;C;15,84;15,25;-296,15;-3,74;-3.178,50;1m9d
 - ;CYRE3;11/02/2019;14/02/2019;3d;500;C;15,37;14,82;-272,55;-3,55;-3.451,05;6d
 - ;CYRE3;15/02/2019;28/02/2019;13d;500;C;15,46;16,19;364,75;4,72;-3.086,30;4d
 - ;CYRE3;08/03/2019;11/03/2019;3d;500;C;15,66;16,06;198,55;2,54;-2.887,75;21d
 - ;CYRE3;14/03/2019;19/03/2019;5d;500;C;15,96;16,51;277,05;3,47;-2.610,70;6d
 - ;CYRE3;29/03/2019;29/04/2019;1m1d;500;C;14,95;15,87;461,75;6,18;-2.148,95;15d
 - ;CYRE3;07/05/2019;09/05/2019;2d;500;C;15,55;16,05;249,35;3,21;-1.899,60;1m9d
 - ;CYRE3;11/10/2019;15/10/2019;4d;500;C;23,74;24,61;434,40;3,66;-1.465,20;5m7d
 - ;CYRE3;04/12/2019;06/12/2019;2d;500;C;26,01;26,73;362,80;2,79;-1.102,40;1m24d
 - ;CYRE3;17/01/2020;20/01/2020;3d;500;C;31,98;32,66;341,65;2,14;-760,75;1m14d
 - ;CYRE3;02/03/2020;03/03/2020;1d;500;C;29,54;31,72;1.089,25;7,37;328,50;1m15d
 - ;CYRE3;15/07/2020;24/07/2020;9d;500;C;26,77;25,23;-769,35;-5,75;-440,85;4m15d
 - ;CYRE3;21/08/2020;18/09/2020;28d;500;C;24,67;22,76;-953,50;-7,73;-1.394,35;1m7d
