Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;EGIE3;25/08/2000;31/08/2000;6d;500;C;1,79;1,75;-20,40;-2,28;-20,40; - 
 - ;EGIE3;04/09/2000;06/09/2000;2d;500;C;1,76;1,78;9,05;1,03;-11,35;10d
 - ;EGIE3;13/09/2000;18/10/2000;1m5d;500;C;1,71;1,57;-68,70;-8,04;-80,05;9d
 - ;EGIE3;09/11/2000;10/11/2000;1d;500;C;1,75;1,72;-17,30;-1,97;-97,35;1m27d
 - ;EGIE3;13/12/2000;02/01/2001;20d;500;C;1,85;1,69;-77,90;-8,42;-175,25;1m4d
 - ;EGIE3;07/02/2001;08/02/2001;1d;500;C;2,04;2,19;72,75;7,12;-102,50;1m26d
 - ;EGIE3;14/03/2001;20/03/2001;6d;500;C;2,12;2,24;60,65;5,72;-41,85;1m5d
 - ;EGIE3;06/04/2001;17/04/2001;11d;500;C;2,18;2,00;-90,45;-8,31;-132,30;23d
 - ;EGIE3;13/06/2001;15/06/2001;2d;500;C;2,24;2,28;18,15;1,62;-114,15;2m8d
 - ;EGIE3;12/07/2001;23/07/2001;11d;500;C;2,43;2,61;90,95;7,50;-23,20;29d
 - ;EGIE3;02/08/2001;03/08/2001;1d;500;C;2,60;2,66;27,30;2,10;4,10;21d
 - ;EGIE3;31/01/2002;01/02/2002;1d;500;C;2,18;2,29;54,60;5,00;58,70;5m32d
 - ;EGIE3;21/02/2002;20/03/2002;27d;500;C;2,41;2,57;81,85;6,80;140,55;21d
 - ;EGIE3;05/04/2002;11/04/2002;6d;500;C;2,60;2,70;54,60;4,21;195,15;1m13d
 - ;EGIE3;13/05/2002;21/05/2002;8d;500;C;2,58;2,42;-81,85;-6,34;113,30;1m8d
 - ;EGIE3;22/05/2002;23/05/2002;1d;500;C;2,50;2,34;-78,80;-6,31;34,50;9d
 - ;EGIE3;26/09/2003;03/10/2003;7d;500;C;4,61;4,25;-181,15;-7,86;-146,65;1y4m372d
