Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;EMBR3;05/05/2000;08/05/2000;3d;500;C;4,55;4,66;53,50;2,35;53,50; - 
 - ;EMBR3;16/05/2000;22/05/2000;6d;500;C;4,66;4,22;-219,35;-9,42;-165,85;11d
 - ;EMBR3;17/07/2000;18/07/2000;1d;500;C;5,72;5,99;136,20;4,76;-29,65;2m2d
 - ;EMBR3;04/10/2000;06/10/2000;2d;500;C;6,89;6,65;-117,70;-3,42;-147,35;2m19d
 - ;EMBR3;28/02/2001;01/03/2001;1d;500;C;8,40;8,65;123,60;2,94;-23,75;4m27d
 - ;EMBR3;24/04/2001;25/04/2001;1d;500;C;9,57;9,92;176,45;3,69;152,70;1m25d
 - ;EMBR3;16/05/2001;17/05/2001;1d;500;C;10,61;10,28;-161,80;-3,05;-9,10;22d
 - ;EMBR3;22/05/2001;28/05/2001;6d;500;C;10,69;10,23;-230,65;-4,31;-239,75;6d
 - ;EMBR3;29/06/2001;05/07/2001;6d;500;C;9,68;9,38;-150,10;-3,10;-389,85;1m8d
 - ;EMBR3;31/01/2002;06/02/2002;6d;500;C;6,96;7,28;158,65;4,56;-231,20;7m6d
 - ;EMBR3;13/02/2002;14/02/2002;1d;500;C;7,27;7,50;115,35;3,17;-115,85;13d
 - ;EMBR3;04/03/2002;06/03/2002;2d;500;C;7,50;7,90;201,95;5,39;86,10;19d
 - ;EMBR3;13/05/2002;14/05/2002;1d;500;C;8,60;8,36;-120,00;-2,79;-33,90;2m10d
 - ;EMBR3;20/05/2002;22/05/2002;2d;500;C;8,86;8,60;-130,55;-2,95;-164,45;7d
 - ;EMBR3;16/07/2002;17/07/2002;1d;500;C;9,30;9,61;154,95;3,33;-9,50;1m27d
 - ;EMBR3;31/07/2003;01/08/2003;1d;500;C;7,50;7,26;-122,90;-3,28;-132,40;1y380d
 - ;EMBR3;07/08/2003;12/08/2003;5d;500;C;7,40;7,64;120,95;3,27;-11,45;7d
 - ;EMBR3;27/10/2003;28/10/2003;1d;500;C;9,28;9,66;192,05;4,14;180,60;2m21d
 - ;EMBR3;11/12/2003;16/12/2003;5d;500;C;11,35;11,63;142,30;2,51;322,90;1m15d
 - ;EMBR3;16/01/2004;06/02/2004;21d;500;C;13,02;12,16;-427,60;-6,57;-104,70;1m6d
 - ;EMBR3;09/02/2004;13/02/2004;4d;500;C;12,48;11,85;-316,05;-5,07;-420,75;24d
 - ;EMBR3;18/02/2004;20/02/2004;2d;500;C;12,29;11,50;-398,10;-6,48;-818,85;9d
 - ;EMBR3;19/08/2004;20/08/2004;1d;500;C;11,74;11,54;-99,75;-1,70;-918,60;6m3d
 - ;EMBR3;08/09/2004;09/09/2004;1d;500;C;11,30;11,02;-136,15;-2,41;-1.054,75;20d
 - ;EMBR3;19/01/2005;09/02/2005;21d;500;C;11,55;12,58;519,15;8,99;-535,60;4m13d
 - ;EMBR3;24/02/2005;25/02/2005;1d;500;C;12,30;12,69;197,60;3,21;-338,00;1m6d
 - ;EMBR3;03/03/2005;04/03/2005;1d;500;C;12,82;13,41;294,45;4,59;-43,55;7d
 - ;EMBR3;22/03/2005;23/03/2005;1d;500;C;12,71;12,37;-170,50;-2,68;-214,05;19d
 - ;EMBR3;14/10/2005;14/11/2005;1m1d;500;C;12,75;12,00;-373,50;-5,86;-587,55;6m26d
 - ;EMBR3;23/11/2005;08/12/2005;15d;500;C;12,26;12,93;334,55;5,46;-253,00;1m10d
 - ;EMBR3;06/02/2006;07/02/2006;1d;500;C;17,27;16,57;-350,00;-4,05;-603,00;2m15d
 - ;EMBR3;08/02/2006;09/02/2006;1d;500;C;16,70;16,06;-321,25;-3,85;-924,25;2d
 - ;EMBR3;16/02/2006;22/02/2006;6d;500;C;15,81;16,45;317,20;4,01;-607,05;8d
 - ;EMBR3;24/02/2006;07/03/2006;11d;500;C;16,42;16,87;224,85;2,74;-382,20;8d
 - ;EMBR3;15/03/2006;17/03/2006;2d;500;C;16,99;16,62;-181,45;-2,14;-563,65;19d
 - ;EMBR3;20/03/2006;23/03/2006;3d;500;C;16,95;17,42;232,90;2,75;-330,75;5d
 - ;EMBR3;14/11/2006;17/11/2006;3d;500;C;18,24;18,78;268,75;2,95;-62,00;7m29d
 - ;EMBR3;30/11/2006;01/12/2006;1d;500;C;18,63;18,23;-197,95;-2,13;-259,95;16d
 - ;EMBR3;11/12/2006;13/12/2006;2d;500;C;18,34;18,76;211,75;2,31;-48,20;11d
 - ;EMBR3;26/03/2007;28/03/2007;2d;500;C;19,27;18,61;-331,10;-3,44;-379,30;3m15d
 - ;EMBR3;25/04/2007;26/04/2007;1d;500;C;19,81;19,51;-147,55;-1,49;-526,85;30d
 - ;EMBR3;30/04/2007;02/05/2007;2d;500;C;19,70;20,15;225,70;2,29;-301,15;5d
 - ;EMBR3;24/09/2008;26/09/2008;2d;500;C;11,86;11,14;-356,40;-6,01;-657,55;1y4m393d
 - ;EMBR3;05/06/2009;08/06/2009;3d;500;C;7,64;7,40;-124,80;-3,26;-782,35;8m14d
 - ;EMBR3;09/06/2009;12/06/2009;3d;500;C;7,45;7,26;-94,70;-2,54;-877,05;4d
 - ;EMBR3;18/06/2009;06/07/2009;18d;500;C;7,10;6,76;-166,85;-4,70;-1.043,90;9d
 - ;EMBR3;05/10/2009;28/10/2009;23d;500;C;8,69;8,27;-207,30;-4,77;-1.251,20;3m19d
 - ;EMBR3;10/03/2010;19/03/2010;9d;500;C;9,05;9,36;153,70;3,40;-1.097,50;5m6d
 - ;EMBR3;29/03/2010;05/04/2010;7d;500;C;9,41;9,11;-152,00;-3,23;-1.249,50;19d
 - ;EMBR3;08/04/2010;19/04/2010;11d;500;C;9,27;8,97;-147,45;-3,18;-1.396,95;10d
 - ;EMBR3;26/08/2010;01/09/2010;6d;500;C;9,41;9,80;191,35;4,07;-1.205,60;4m20d
 - ;EMBR3;05/10/2010;07/10/2010;2d;500;C;10,61;10,33;-137,85;-2,60;-1.343,45;1m10d
 - ;EMBR3;11/10/2010;13/10/2010;2d;500;C;10,54;10,82;138,25;2,62;-1.205,20;6d
 - ;EMBR3;19/10/2010;21/10/2010;2d;500;C;10,19;10,54;178,45;3,50;-1.026,75;8d
 - ;EMBR3;01/12/2010;14/01/2011;1m14d;500;C;11,20;11,78;289,90;5,18;-736,85;1m13d
 - ;EMBR3;28/01/2011;02/02/2011;5d;500;C;12,20;12,53;167,80;2,75;-569,05;1m28d
 - ;EMBR3;14/02/2011;15/02/2011;1d;500;C;12,56;12,95;195,00;3,10;-374,05;17d
 - ;EMBR3;21/02/2011;23/02/2011;2d;500;C;13,01;12,46;-274,10;-4,21;-648,15;7d
 - ;EMBR3;14/03/2011;15/03/2011;1d;500;C;12,38;11,94;-219,05;-3,54;-867,20;21d
 - ;EMBR3;24/03/2011;25/03/2011;1d;500;C;12,70;12,36;-169,70;-2,67;-1.036,90;10d
 - ;EMBR3;07/11/2011;23/11/2011;16d;500;C;10,74;9,90;-419,75;-7,82;-1.456,65;7m18d
