Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ENEV3;31/01/2008;01/02/2008;1d;500;C;541,62;561,93;10.155,35;3,75;10.155,35; - 
 - ;ENEV3;24/03/2008;25/04/2008;1m2d;500;C;599,17;646,56;23.695,90;7,91;33.851,25;1m23d
 - ;ENEV3;24/06/2009;15/07/2009;21d;500;C;198,92;212,74;6.909,75;6,95;40.761,00;1y3m367d
 - ;ENEV3;25/09/2009;28/09/2009;3d;500;C;272,48;281,14;4.327,30;3,18;45.088,30;3m3d
 - ;ENEV3;16/11/2009;19/11/2009;3d;500;C;328,32;301,52;-13.400,70;-8,16;31.687,60;1m22d
 - ;ENEV3;13/09/2010;30/09/2010;17d;500;C;403,42;387,23;-8.092,95;-4,01;23.594,65;9m31d
 - ;ENEV3;24/02/2011;25/02/2011;1d;500;C;464,84;485,78;10.469,30;4,50;34.063,95;5m14d
 - ;ENEV3;30/03/2011;12/04/2011;13d;500;C;555,57;543,18;-6.194,50;-2,23;27.869,45;1m4d
 - ;ENEV3;10/06/2011;13/06/2011;3d;500;C;570,79;558,22;-6.283,15;-2,20;21.586,30;2m12d
 - ;ENEV3;17/06/2011;24/06/2011;7d;500;C;567,72;591,03;11.655,80;4,11;33.242,10;7d
 - ;ENEV3;24/11/2011;25/11/2011;1d;500;C;594,00;615,80;10.902,55;3,67;44.144,65;5m10d
 - ;ENEV3;01/03/2012;07/03/2012;6d;500;C;721,82;741,82;10.000,20;2,77;54.144,85;3m8d
 - ;ENEV3;26/03/2012;27/03/2012;1d;500;C;729,34;739,72;5.188,10;1,42;59.332,95;25d
 - ;ENEV3;23/06/2015;01/07/2015;8d;500;C;17,68;19,39;855,60;9,68;60.188,55;3y2m1124d
 - ;ENEV3;17/07/2015;23/07/2015;6d;500;C;17,11;15,93;-590,35;-6,90;59.598,20;24d
 - ;ENEV3;22/04/2016;25/04/2016;3d;500;C;14,00;12,97;-516,25;-7,38;59.081,95;9m10d
 - ;ENEV3;03/05/2016;09/05/2016;6d;500;C;13,00;11,97;-515,00;-7,92;58.566,95;11d
 - ;ENEV3;15/09/2016;16/09/2016;1d;500;C;13,35;13,00;-176,30;-2,64;58.390,65;4m15d
 - ;ENEV3;20/09/2016;22/09/2016;2d;500;C;12,69;13,26;285,00;4,49;58.675,65;5d
 - ;ENEV3;31/10/2016;01/11/2016;1d;500;C;14,39;14,78;195,00;2,71;58.870,65;1m11d
 - ;ENEV3;10/04/2017;20/04/2017;10d;500;C;14,30;14,60;150,00;2,10;59.020,65;5m11d
 - ;ENEV3;24/08/2017;25/08/2017;1d;500;C;14,30;14,57;135,00;1,89;59.155,65;4m16d
 - ;ENEV3;13/09/2017;15/09/2017;2d;500;C;16,00;15,50;-249,45;-3,12;58.906,20;20d
 - ;ENEV3;26/01/2018;31/01/2018;5d;500;C;13,70;13,98;140,00;2,04;59.046,20;4m15d
 - ;ENEV3;26/09/2018;26/10/2018;30d;500;C;13,45;13,95;250,00;3,72;59.296,20;7m33d
 - ;ENEV3;26/11/2018;27/11/2018;1d;500;C;14,10;14,44;170,00;2,41;59.466,20;2m1d
 - ;ENEV3;25/03/2019;27/03/2019;2d;500;C;18,54;17,92;-312,45;-3,37;59.153,75;3m29d
 - ;ENEV3;26/04/2019;02/05/2019;6d;500;C;19,92;20,48;280,00;2,81;59.433,75;1m2d
 - ;ENEV3;07/05/2019;08/05/2019;1d;500;C;20,05;20,90;425,00;4,24;59.858,75;11d
 - ;ENEV3;21/06/2019;01/07/2019;10d;500;C;23,61;24,46;425,00;3,60;60.283,75;1m15d
 - ;ENEV3;28/08/2019;30/08/2019;2d;500;C;25,57;26,34;385,00;3,01;60.668,75;2m8d
 - ;ENEV3;04/12/2019;06/12/2019;2d;500;C;37,99;39,45;730,00;3,84;61.398,75;3m8d
 - ;ENEV3;21/01/2020;24/01/2020;3d;500;C;46,62;47,54;460,00;1,97;61.858,75;1m18d
 - ;ENEV3;04/02/2020;07/02/2020;3d;500;C;44,87;42,99;-938,85;-4,18;60.919,90;14d
 - ;ENEV3;15/07/2020;17/07/2020;2d;500;C;49,20;51,04;920,00;3,74;61.839,90;5m12d
 - ;ENEV3;18/09/2020;01/10/2020;13d;500;C;50,54;47,06;-1.739,00;-6,88;60.100,90;2m5d
