Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;FLRY3;12/03/2010;15/03/2010;3d;500;C;6,78;6,61;-88,65;-2,61;-88,65; - 
 - ;FLRY3;16/03/2010;01/04/2010;16d;500;C;6,93;6,59;-168,95;-4,88;-257,60;4d
 - ;FLRY3;14/04/2010;15/04/2010;1d;500;C;6,44;6,29;-73,95;-2,30;-331,55;29d
 - ;FLRY3;28/07/2010;30/07/2010;2d;500;C;7,29;7,12;-82,15;-2,25;-413,70;3m15d
 - ;FLRY3;10/08/2010;19/08/2010;9d;500;C;7,49;7,85;180,30;4,82;-233,40;13d
 - ;FLRY3;26/08/2010;01/12/2010;3m7d;500;C;7,85;8,35;249,80;6,36;16,40;16d
 - ;FLRY3;10/01/2011;03/02/2011;24d;500;C;9,42;8,85;-282,70;-6,00;-266,30;4m17d
 - ;FLRY3;26/10/2011;14/11/2011;19d;500;C;7,87;8,17;147,70;3,75;-118,60;9m19d
 - ;FLRY3;14/03/2012;15/03/2012;1d;500;C;8,95;9,11;82,35;1,84;-36,25;4m20d
 - ;FLRY3;22/03/2012;23/03/2012;1d;500;C;9,19;9,45;131,70;2,87;95,45;8d
 - ;FLRY3;09/05/2012;10/05/2012;1d;500;C;9,07;9,28;100,65;2,22;196,10;1m18d
 - ;FLRY3;22/05/2012;01/06/2012;10d;500;C;9,06;8,69;-186,50;-4,12;9,60;13d
 - ;FLRY3;02/01/2014;03/01/2014;1d;500;C;7,00;6,91;-42,90;-1,23;-33,30;1y7m380d
 - ;FLRY3;13/01/2014;14/01/2014;1d;500;C;7,08;7,27;91,30;2,58;58,00;11d
 - ;FLRY3;22/01/2014;24/01/2014;2d;500;C;7,21;7,08;-65,95;-1,83;-7,95;9d
 - ;FLRY3;30/01/2014;03/02/2014;4d;500;C;7,04;6,84;-99,85;-2,84;-107,80;8d
 - ;FLRY3;07/04/2014;08/04/2014;1d;500;C;7,23;7,10;-62,15;-1,72;-169,95;2m7d
 - ;FLRY3;09/12/2014;12/12/2014;3d;500;C;6,67;6,49;-88,70;-2,66;-258,65;8m6d
 - ;FLRY3;18/12/2014;19/12/2014;1d;500;C;6,47;6,34;-63,70;-1,97;-322,35;9d
 - ;FLRY3;15/01/2015;16/01/2015;1d;500;C;6,02;5,93;-44,65;-1,48;-367,00;28d
 - ;FLRY3;03/02/2015;10/03/2015;1m5d;500;C;6,12;5,49;-314,70;-10,29;-681,70;19d
 - ;FLRY3;05/05/2015;13/05/2015;8d;500;C;7,11;7,45;171,45;4,83;-510,25;2m31d
 - ;FLRY3;02/06/2015;09/06/2015;7d;500;C;7,29;7,50;105,40;2,89;-404,85;28d
 - ;FLRY3;31/07/2015;03/08/2015;3d;500;C;7,37;7,50;68,35;1,86;-336,50;1m29d
 - ;FLRY3;05/04/2016;11/04/2016;6d;500;C;9,03;9,48;224,25;4,97;-112,25;8m9d
 - ;FLRY3;01/06/2016;03/06/2016;2d;500;C;10,95;11,20;123,25;2,25;11,00;1m27d
 - ;FLRY3;22/06/2016;23/06/2016;1d;500;C;11,08;11,28;102,35;1,85;113,35;21d
 - ;FLRY3;19/09/2016;21/09/2016;2d;500;C;15,92;16,37;220,80;2,77;334,15;2m29d
 - ;FLRY3;28/11/2016;29/11/2016;1d;500;C;16,42;15,95;-234,50;-2,86;99,65;2m10d
 - ;FLRY3;23/03/2017;24/03/2017;1d;500;C;18,85;18,33;-262,70;-2,79;-163,05;3m25d
 - ;FLRY3;28/03/2017;05/04/2017;8d;500;C;18,69;19,43;369,75;3,96;206,70;5d
 - ;FLRY3;24/04/2017;25/04/2017;1d;500;C;20,21;20,62;201,65;2,00;408,35;27d
 - ;FLRY3;24/05/2017;22/06/2017;29d;500;C;26,15;24,14;-1.007,20;-7,70;-598,85;30d
 - ;FLRY3;03/07/2017;04/07/2017;1d;500;C;24,11;23,51;-298,35;-2,47;-897,20;1m10d
 - ;FLRY3;03/08/2017;21/08/2017;18d;500;C;26,66;25,74;-460,30;-3,45;-1.357,50;1m1d
 - ;FLRY3;11/09/2017;13/09/2017;2d;500;C;28,05;27,24;-403,65;-2,88;-1.761,15;1m9d
 - ;FLRY3;21/09/2017;13/10/2017;22d;500;C;26,44;27,69;626,35;4,74;-1.134,80;10d
 - ;FLRY3;23/02/2018;27/02/2018;4d;500;C;25,91;25,19;-357,25;-2,76;-1.492,05;5m5d
 - ;FLRY3;16/03/2018;19/03/2018;3d;500;C;25,38;24,84;-271,80;-2,14;-1.763,85;21d
 - ;FLRY3;22/03/2018;28/03/2018;6d;500;C;25,50;24,61;-442,75;-3,47;-2.206,60;6d
 - ;FLRY3;14/08/2018;21/08/2018;7d;500;C;25,17;24,28;-444,65;-3,53;-2.651,25;4m25d
 - ;FLRY3;27/08/2018;03/09/2018;7d;500;C;24,50;23,31;-597,05;-4,87;-3.248,30;13d
 - ;FLRY3;13/08/2019;14/08/2019;1d;500;C;23,00;23,43;214,80;1,87;-3.033,50;11m21d
 - ;FLRY3;17/10/2019;06/11/2019;20d;500;C;24,41;25,21;400,30;3,28;-2.633,20;2m5d
 - ;FLRY3;22/11/2019;18/12/2019;26d;500;C;27,37;28,82;722,40;5,28;-1.910,80;1m6d
 - ;FLRY3;07/01/2020;10/01/2020;3d;500;C;30,36;31,33;484,70;3,19;-1.426,10;1m16d
 - ;FLRY3;27/07/2020;30/07/2020;3d;500;C;24,55;25,27;360,00;2,93;-1.066,10;6m22d
 - ;FLRY3;21/10/2020; - ; - ;500;C;28,37;27,74;-315,00;-2,22;-1.381,10;2m26d
