Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;GFSA3;02/03/2006;03/03/2006;1d;500;C;74,01;78,51;2.250,45;6,08;2.250,45; - 
 - ;GFSA3;23/03/2006;24/03/2006;1d;500;C;70,08;67,34;-1.366,30;-3,90;884,15;21d
 - ;GFSA3;16/07/2007;17/07/2007;1d;500;C;93,58;88,07;-2.753,50;-5,88;-1.869,35;1y3m390d
 - ;GFSA3;20/07/2007;24/07/2007;4d;500;C;88,89;85,02;-1.935,25;-4,35;-3.804,60;4d
 - ;GFSA3;08/01/2008;14/01/2008;6d;500;C;89,01;82,94;-3.032,75;-6,81;-6.837,35;5m22d
 - ;GFSA3;25/04/2008;28/04/2008;3d;500;C;87,04;89,52;1.236,50;2,84;-5.600,85;3m18d
 - ;GFSA3;27/05/2008;28/05/2008;1d;500;C;93,86;96,99;1.567,20;3,34;-4.033,65;1m2d
 - ;GFSA3;15/05/2009;19/05/2009;4d;500;C;52,28;55,45;1.583,95;6,06;-2.449,70;11m23d
 - ;GFSA3;27/05/2009;02/06/2009;6d;500;C;54,78;49,32;-2.731,95;-9,97;-5.181,65;12d
 - ;GFSA3;05/06/2009;17/06/2009;12d;500;C;48,83;45,25;-1.785,95;-7,32;-6.967,60;9d
 - ;GFSA3;05/10/2009;13/10/2009;8d;500;C;78,47;85,13;3.327,75;8,48;-3.639,85;4m2d
 - ;GFSA3;10/12/2009;11/12/2009;1d;500;C;84,81;82,91;-946,75;-2,23;-4.586,60;2m6d
 - ;GFSA3;27/09/2012;28/09/2012;1d;500;C;28,45;27,00;-725,65;-5,10;-5.312,25;2y9m752d
 - ;GFSA3;24/01/2013;28/01/2013;4d;500;C;31,40;29,70;-849,30;-5,41;-6.161,55;3m29d
 - ;GFSA3;15/10/2013;16/10/2013;1d;500;C;22,08;20,70;-687,65;-6,23;-6.849,20;8m24d
 - ;GFSA3;22/10/2013;23/10/2013;1d;500;C;20,69;19,92;-385,90;-3,73;-7.235,10;7d
 - ;GFSA3;20/05/2014;21/05/2014;1d;500;C;23,75;23,16;-297,40;-2,50;-7.532,50;6m30d
 - ;GFSA3;22/05/2014;27/05/2014;5d;500;C;23,55;22,96;-297,15;-2,52;-7.829,65;2d
 - ;GFSA3;22/05/2015;25/05/2015;3d;500;C;17,58;16,87;-356,60;-4,06;-8.186,25;11m35d
 - ;GFSA3;28/05/2015;29/05/2015;1d;500;C;16,98;16,00;-489,75;-5,77;-8.676,00;6d
 - ;GFSA3;08/04/2016;11/04/2016;3d;500;C;16,71;17,45;369,05;4,42;-8.306,95;10m16d
 - ;GFSA3;26/04/2016;28/04/2016;2d;500;C;17,71;17,07;-323,30;-3,65;-8.630,25;18d
 - ;GFSA3;01/09/2016;05/10/2016;1m4d;500;C;16,33;17,77;717,65;8,79;-7.912,60;4m8d
 - ;GFSA3;10/03/2017;14/03/2017;4d;500;C;16,40;17,29;444,25;5,42;-7.468,35;6m10d
 - ;GFSA3;26/10/2017;10/11/2017;15d;500;C;10,84;10,44;-199,90;-3,69;-7.668,25;7m20d
 - ;GFSA3;07/02/2018;08/02/2018;1d;500;C;13,89;13,16;-365,65;-5,26;-8.033,90;3m14d
 - ;GFSA3;08/10/2018;09/10/2018;1d;500;C;9,42;9,86;219,25;4,66;-7.814,65;7m33d
 - ;GFSA3;21/01/2019;29/01/2019;8d;500;C;13,03;12,08;-478,00;-7,34;-8.292,65;3m15d
 - ;GFSA3;19/02/2020;21/02/2020;2d;500;C;7,83;7,51;-158,50;-4,05;-8.451,15;1y394d
 - ;GFSA3;08/07/2020;14/07/2020;6d;500;C;5,87;5,53;-174,05;-5,93;-8.625,20;4m20d
 - ;GFSA3;11/08/2020;12/08/2020;1d;500;C;5,35;5,16;-92,35;-3,45;-8.717,55;1m4d
