Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;GGBR4;24/07/2000;09/08/2000;16d;500;C;1,03;1,09;28,85;5,58;28,85; - 
 - ;GGBR4;25/09/2000;02/10/2000;7d;500;C;1,07;1,00;-36,95;-6,88;-8,10;2m3d
 - ;GGBR4;07/03/2002;19/03/2002;12d;500;C;1,36;1,44;42,65;6,28;34,55;1y5m378d
 - ;GGBR4;25/04/2002;03/05/2002;8d;500;C;1,58;1,51;-33,35;-4,22;1,20;1m19d
 - ;GGBR4;13/05/2002;15/05/2002;2d;500;C;1,47;1,58;55,15;7,50;56,35;18d
 - ;GGBR4;23/05/2002;24/05/2002;1d;500;C;1,60;1,57;-14,40;-1,80;41,95;10d
 - ;GGBR4;05/06/2002;06/06/2002;1d;500;C;1,55;1,47;-36,25;-4,69;5,70;13d
 - ;GGBR4;09/01/2003;10/01/2003;1d;500;C;1,74;1,72;-8,85;-1,02;-3,15;7m8d
 - ;GGBR4;30/01/2003;31/01/2003;1d;500;C;1,62;1,68;28,15;3,47;25,00;21d
 - ;GGBR4;07/02/2003;10/02/2003;3d;500;C;1,69;1,62;-35,55;-4,21;-10,55;8d
 - ;GGBR4;25/04/2003;29/04/2003;4d;500;C;1,84;1,88;23,30;2,54;12,75;2m17d
 - ;GGBR4;28/05/2003;09/06/2003;12d;500;C;2,15;2,24;45,60;4,24;58,35;1m3d
 - ;GGBR4;04/07/2003;07/07/2003;3d;500;C;2,31;2,37;28,50;2,46;86,85;1m7d
 - ;GGBR4;01/09/2003;25/09/2003;24d;500;C;3,19;2,98;-106,60;-6,68;-19,75;1m29d
 - ;GGBR4;12/11/2003;13/11/2003;1d;500;C;3,08;3,01;-36,50;-2,37;-56,25;2m12d
 - ;GGBR4;09/02/2004;01/03/2004;21d;500;C;4,33;4,74;203,50;9,40;147,25;2m29d
 - ;GGBR4;23/07/2004;27/07/2004;4d;500;C;6,15;6,35;98,10;3,19;245,35;5m15d
 - ;GGBR4;31/08/2004;09/09/2004;9d;500;C;7,37;7,14;-111,75;-3,03;133,60;1m9d
 - ;GGBR4;13/09/2004;14/09/2004;1d;500;C;7,10;6,92;-89,25;-2,51;44,35;13d
 - ;GGBR4;15/09/2004;17/09/2004;2d;500;C;7,08;7,30;109,00;3,08;153,35;2d
 - ;GGBR4;29/09/2004;19/10/2004;20d;500;C;7,20;6,57;-314,40;-8,74;-161,05;14d
 - ;GGBR4;31/03/2005;04/04/2005;4d;500;C;7,09;6,90;-93,55;-2,64;-254,60;6m3d
 - ;GGBR4;11/11/2005;28/11/2005;17d;500;C;7,93;8,27;172,85;4,36;-81,75;7m15d
 - ;GGBR4;30/11/2005;01/12/2005;1d;500;C;8,14;8,34;101,40;2,49;19,65;19d
 - ;GGBR4;16/01/2006;18/01/2006;2d;500;C;10,27;10,03;-118,95;-2,32;-99,30;1m17d
 - ;GGBR4;09/02/2006;13/02/2006;4d;500;C;11,27;10,79;-241,40;-4,28;-340,70;24d
 - ;GGBR4;15/02/2006;16/02/2006;1d;500;C;11,01;11,56;272,90;4,96;-67,80;6d
 - ;GGBR4;15/03/2006;16/03/2006;1d;500;C;12,69;13,26;282,95;4,46;215,15;28d
 - ;GGBR4;23/03/2006;27/03/2006;4d;500;C;12,73;12,30;-217,55;-3,42;-2,40;8d
 - ;GGBR4;30/03/2006;04/04/2006;5d;500;C;12,51;12,99;241,30;3,86;238,90;7d
 - ;GGBR4;02/05/2006;04/05/2006;2d;500;C;13,72;13,29;-215,60;-3,14;23,30;1m3d
 - ;GGBR4;01/06/2006;06/06/2006;5d;500;C;12,52;11,90;-309,30;-4,94;-286,00;30d
 - ;GGBR4;11/01/2007;17/01/2007;6d;500;C;13,06;12,58;-242,30;-3,71;-528,30;7m14d
 - ;GGBR4;15/03/2007;21/03/2007;6d;500;C;13,85;14,37;264,00;3,81;-264,30;2m3d
 - ;GGBR4;30/04/2007;03/05/2007;3d;500;C;16,14;16,51;185,20;2,30;-79,10;1m16d
 - ;GGBR4;31/05/2007;04/06/2007;4d;500;C;17,48;18,29;407,20;4,66;328,10;1m1d
 - ;GGBR4;18/07/2007;24/07/2007;6d;500;C;20,43;20,05;-190,00;-1,86;138,10;1m18d
 - ;GGBR4;06/11/2007;08/11/2007;2d;500;C;21,81;20,79;-512,20;-4,70;-374,10;3m21d
 - ;GGBR4;28/11/2007;29/11/2007;1d;500;C;19,30;20,26;481,50;4,99;107,40;22d
 - ;GGBR4;17/06/2008;18/06/2008;1d;500;C;32,50;33,49;492,70;3,03;600,10;6m22d
 - ;GGBR4;18/06/2009;23/06/2009;5d;500;C;16,59;15,90;-342,60;-4,13;257,50;1y366d
 - ;GGBR4;24/06/2009;29/06/2009;5d;500;C;16,68;17,47;398,15;4,77;655,65;6d
 - ;GGBR4;11/08/2009;12/08/2009;1d;500;C;18,48;18,13;-177,75;-1,92;477,90;1m18d
 - ;GGBR4;28/08/2009;01/09/2009;4d;500;C;19,33;18,37;-479,80;-4,97;-1,90;17d
 - ;GGBR4;05/10/2009;07/10/2009;2d;500;C;20,26;21,52;632,80;6,25;630,90;1m8d
 - ;GGBR4;04/11/2009;04/12/2009;30d;500;C;22,95;24,69;871,60;7,60;1.502,50;30d
 - ;GGBR4;16/12/2009;17/12/2009;1d;500;C;25,13;23,87;-634,45;-5,05;868,05;1m12d
 - ;GGBR4;06/05/2010;07/05/2010;1d;500;C;23,33;21,99;-670,15;-5,75;197,90;4m21d
 - ;GGBR4;17/02/2012;29/02/2012;12d;500;C;15,33;15,88;272,25;3,55;470,15;1y9m382d
 - ;GGBR4;30/03/2012;04/04/2012;5d;500;C;15,87;15,35;-261,85;-3,30;208,30;1m12d
 - ;GGBR4;25/04/2012;04/05/2012;9d;500;C;15,60;15,05;-274,70;-3,52;-66,40;26d
 - ;GGBR4;31/08/2012;03/09/2012;3d;500;C;16,28;15,84;-219,95;-2,70;-286,35;4m8d
 - ;GGBR4;27/09/2012;02/10/2012;5d;500;C;17,76;16,91;-425,90;-4,80;-712,25;27d
 - ;GGBR4;29/08/2013;03/09/2013;5d;500;C;15,53;15,94;202,35;2,61;-509,90;11m6d
 - ;GGBR4;07/10/2013;11/10/2013;4d;500;C;15,28;15,86;287,80;3,77;-222,10;1m9d
 - ;GGBR4;22/10/2013;23/10/2013;1d;500;C;15,26;15,55;143,90;1,89;-78,20;15d
 - ;GGBR4;01/12/2015;02/12/2015;1d;500;C;5,91;5,59;-158,80;-5,37;-237,00;2y1m740d
 - ;GGBR4;27/04/2016;04/05/2016;7d;500;C;7,31;6,59;-364,00;-9,95;-601,00;4m28d
