Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;GOAU4;17/07/2000;24/07/2000;7d;500;C;0,83;0,78;-20,65;-5,00;-20,65; - 
 - ;GOAU4;14/09/2000;15/09/2000;1d;500;C;0,86;0,84;-11,85;-2,75;-32,50;1m29d
 - ;GOAU4;29/09/2000;02/10/2000;3d;500;C;0,81;0,78;-14,60;-3,63;-47,10;15d
 - ;GOAU4;23/02/2001;01/03/2001;6d;500;C;0,69;0,72;14,55;4,20;-32,55;4m27d
 - ;GOAU4;02/04/2001;03/04/2001;1d;500;C;0,71;0,67;-23,10;-6,47;-55,65;1m8d
 - ;GOAU4;28/02/2002;05/03/2002;5d;500;C;1,10;1,07;-12,75;-2,32;-68,40;10m32d
 - ;GOAU4;07/03/2002;15/03/2002;8d;500;C;1,10;1,14;21,40;3,89;-47,00;7d
 - ;GOAU4;13/05/2002;16/05/2002;3d;500;C;1,19;1,28;45,10;7,60;-1,90;2m7d
 - ;GOAU4;27/05/2002;03/06/2002;7d;500;C;1,25;1,22;-14,80;-2,37;-16,70;14d
 - ;GOAU4;24/07/2002;25/07/2002;1d;500;C;1,22;1,18;-15,30;-2,52;-32,00;1m28d
 - ;GOAU4;11/12/2002;12/12/2002;1d;500;C;1,35;1,44;41,45;6,13;9,45;4m20d
 - ;GOAU4;23/01/2003;24/01/2003;1d;500;C;1,59;1,57;-11,75;-1,47;-2,30;1m13d
 - ;GOAU4;24/03/2003;26/03/2003;2d;500;C;1,54;1,58;16,85;2,18;14,55;1m30d
 - ;GOAU4;19/05/2003;06/06/2003;18d;500;C;2,08;2,14;28,50;2,74;43,05;1m26d
 - ;GOAU4;12/06/2003;13/06/2003;1d;500;C;2,15;2,25;49,05;4,56;92,10;24d
 - ;GOAU4;11/09/2003;12/09/2003;1d;500;C;3,04;3,12;36,25;2,38;128,35;2m31d
 - ;GOAU4;30/09/2003;01/10/2003;1d;500;C;2,80;2,91;52,25;3,73;180,60;19d
 - ;GOAU4;21/10/2003;23/10/2003;2d;500;C;3,12;3,05;-37,05;-2,37;143,55;21d
 - ;GOAU4;09/02/2004;02/03/2004;22d;500;C;4,79;5,20;205,35;8,57;348,90;3m21d
 - ;GOAU4;26/03/2004;29/03/2004;3d;500;C;5,17;5,34;85,20;3,29;434,10;1m16d
 - ;GOAU4;04/05/2004;07/05/2004;3d;500;C;5,34;4,98;-179,75;-6,73;254,35;1m9d
 - ;GOAU4;13/09/2004;14/09/2004;1d;500;C;8,41;8,59;92,00;2,19;346,35;4m12d
 - ;GOAU4;29/09/2004;19/10/2004;20d;500;C;8,61;8,01;-303,45;-7,05;42,90;16d
 - ;GOAU4;23/11/2004;25/11/2004;2d;500;C;8,53;8,82;143,55;3,37;186,45;1m25d
 - ;GOAU4;13/01/2005;20/01/2005;7d;500;C;9,13;8,60;-260,30;-5,71;-73,85;1m21d
 - ;GOAU4;03/02/2005;10/02/2005;7d;500;C;9,10;9,29;95,65;2,10;21,80;21d
 - ;GOAU4;11/11/2005;28/11/2005;17d;500;C;9,98;10,50;260,55;5,22;282,35;9m11d
 - ;GOAU4;30/11/2005;01/12/2005;1d;500;C;10,21;10,40;96,85;1,90;379,20;19d
 - ;GOAU4;15/02/2006;16/02/2006;1d;500;C;13,25;13,95;352,35;5,32;731,55;2m17d
 - ;GOAU4;15/03/2006;16/03/2006;1d;500;C;14,67;15,13;229,15;3,12;960,70;28d
 - ;GOAU4;23/03/2006;28/03/2006;5d;500;C;14,83;14,18;-322,90;-4,35;637,80;8d
 - ;GOAU4;30/03/2006;04/04/2006;5d;500;C;14,55;15,11;280,60;3,86;918,40;7d
 - ;GOAU4;15/08/2006;17/08/2006;2d;500;C;15,15;15,63;240,25;3,17;1.158,65;4m18d
 - ;GOAU4;26/12/2006;28/12/2006;2d;500;C;16,38;16,72;168,50;2,06;1.327,15;4m13d
 - ;GOAU4;11/01/2007;16/01/2007;5d;500;C;16,47;15,62;-423,65;-5,15;903,50;16d
 - ;GOAU4;15/03/2007;21/03/2007;6d;500;C;17,63;18,25;308,10;3,49;1.211,60;2m3d
 - ;GOAU4;31/05/2007;05/06/2007;5d;500;C;22,66;24,04;693,05;6,12;1.904,65;2m17d
 - ;GOAU4;21/06/2007;25/06/2007;4d;500;C;25,45;24,82;-314,95;-2,48;1.589,70;21d
 - ;GOAU4;19/07/2007;23/07/2007;4d;500;C;26,15;26,73;289,70;2,22;1.879,40;28d
 - ;GOAU4;07/08/2007;13/08/2007;6d;500;C;24,66;23,16;-751,40;-6,09;1.128,00;19d
 - ;GOAU4;28/11/2007;29/11/2007;1d;500;C;24,86;26,19;663,85;5,34;1.791,85;3m23d
 - ;GOAU4;19/12/2007;21/12/2007;2d;500;C;26,67;27,76;544,25;4,08;2.336,10;21d
 - ;GOAU4;31/03/2008;01/04/2008;1d;500;C;29,51;30,10;293,10;1,99;2.629,20;3m13d
 - ;GOAU4;17/06/2008;18/06/2008;1d;500;C;43,75;44,88;566,90;2,59;3.196,10;2m18d
 - ;GOAU4;18/06/2009;23/06/2009;5d;500;C;20,78;19,84;-470,45;-4,53;2.725,65;1y366d
 - ;GOAU4;24/06/2009;08/07/2009;14d;500;C;20,92;19,77;-574,50;-5,49;2.151,15;6d
 - ;GOAU4;20/08/2009;21/08/2009;1d;500;C;22,85;23,54;345,65;3,03;2.496,80;1m27d
 - ;GOAU4;05/10/2009;07/10/2009;2d;500;C;25,07;26,57;749,60;5,98;3.246,40;1m16d
 - ;GOAU4;04/11/2009;04/12/2009;30d;500;C;27,86;29,98;1.057,80;7,59;4.304,20;30d
 - ;GOAU4;16/12/2009;17/12/2009;1d;500;C;30,05;28,25;-899,90;-5,99;3.404,30;1m12d
 - ;GOAU4;23/04/2010;27/04/2010;4d;500;C;30,46;29,27;-597,50;-3,92;2.806,80;4m8d
