Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;GOLL4;06/07/2004;12/07/2004;6d;500;C;21,84;22,95;554,95;5,08;554,95; - 
 - ;GOLL4;19/07/2004;20/07/2004;1d;500;C;21,57;21,22;-173,75;-1,61;381,20;13d
 - ;GOLL4;23/07/2004;04/08/2004;12d;500;C;21,74;22,62;441,45;4,06;822,65;4d
 - ;GOLL4;01/09/2004;08/09/2004;7d;500;C;21,95;22,37;210,25;1,92;1.032,90;1m10d
 - ;GOLL4;04/10/2004;05/10/2004;1d;500;C;24,55;23,94;-307,45;-2,50;725,45;1m3d
 - ;GOLL4;21/12/2004;22/12/2004;1d;500;C;33,08;34,90;912,30;5,52;1.637,75;2m18d
 - ;GOLL4;12/01/2005;13/01/2005;1d;500;C;32,35;32,94;298,50;1,85;1.936,25;22d
 - ;GOLL4;26/01/2005;27/01/2005;1d;500;C;31,11;31,93;412,00;2,65;2.348,25;14d
 - ;GOLL4;15/02/2005;16/02/2005;1d;500;C;33,97;35,90;966,95;5,69;3.315,20;20d
 - ;GOLL4;01/03/2005;02/03/2005;1d;500;C;31,95;32,79;420,40;2,63;3.735,60;14d
 - ;GOLL4;09/02/2006;10/02/2006;1d;500;C;54,75;56,02;636,60;2,33;4.372,20;11m15d
 - ;GOLL4;21/03/2006;27/03/2006;6d;500;C;53,98;50,13;-1.921,70;-7,12;2.450,50;1m10d
 - ;GOLL4;09/06/2006;14/06/2006;5d;500;C;62,38;56,93;-2.725,60;-8,74;-275,10;2m20d
 - ;GOLL4;18/12/2007;21/12/2007;3d;500;C;38,57;39,76;593,10;3,08;318,00;1y6m377d
 - ;GOLL4;06/02/2009;10/02/2009;4d;500;C;8,89;9,30;208,80;4,70;526,80;1y1m386d
 - ;GOLL4;07/07/2009;08/07/2009;1d;500;C;10,02;10,58;279,85;5,58;806,65;4m31d
 - ;GOLL4;15/09/2009;24/09/2009;9d;500;C;16,53;15,78;-370,75;-4,49;435,90;2m10d
 - ;GOLL4;25/09/2009;08/10/2009;13d;500;C;16,18;15,52;-330,40;-4,08;105,50;10d
 - ;GOLL4;13/10/2009;14/10/2009;1d;500;C;15,84;16,62;386,50;4,88;492,00;18d
 - ;GOLL4;27/01/2010;04/02/2010;8d;500;C;21,76;20,22;-771,70;-7,09;-279,70;3m16d
 - ;GOLL4;08/09/2010;09/09/2010;1d;500;C;21,67;22,27;302,80;2,80;23,10;7m14d
 - ;GOLL4;02/01/2012;16/01/2012;14d;500;C;11,52;10,95;-282,20;-4,90;-259,10;1y3m391d
 - ;GOLL4;09/10/2012;10/10/2012;1d;500;C;10,81;10,26;-276,70;-5,12;-535,80;9m11d
 - ;GOLL4;18/10/2012;26/10/2012;8d;500;C;10,18;9,52;-331,35;-6,51;-867,15;9d
 - ;GOLL4;06/11/2012;14/11/2012;8d;500;C;9,85;9,17;-340,20;-6,91;-1.207,35;19d
 - ;GOLL4;26/09/2013;01/10/2013;5d;500;C;9,67;10,12;222,15;4,59;-985,20;10m24d
 - ;GOLL4;10/10/2013;14/10/2013;4d;500;C;9,49;9,80;152,75;3,22;-832,45;14d
 - ;GOLL4;29/10/2013;30/10/2013;1d;500;C;10,42;10,09;-160,80;-3,09;-993,25;19d
 - ;GOLL4;19/02/2014;20/02/2014;1d;500;C;10,14;10,64;249,95;4,93;-743,30;3m23d
 - ;GOLL4;22/05/2014;29/05/2014;7d;500;C;12,54;13,17;310,15;4,94;-433,15;3m2d
 - ;GOLL4;21/07/2014;23/07/2014;2d;500;C;12,09;12,67;291,65;4,82;-141,50;1m30d
 - ;GOLL4;01/09/2014;02/09/2014;1d;500;C;12,87;13,37;250,00;3,89;108,50;1m12d
 - ;GOLL4;11/09/2014;15/09/2014;4d;500;C;13,62;12,86;-377,20;-5,54;-268,70;10d
 - ;GOLL4;13/01/2015;14/01/2015;1d;500;C;13,33;12,62;-353,75;-5,31;-622,45;4m4d
 - ;GOLL4;15/01/2015;20/01/2015;5d;500;C;13,00;12,37;-316,40;-4,87;-938,85;2d
 - ;GOLL4;10/08/2016;11/08/2016;1d;500;C;5,18;5,39;106,45;4,11;-832,40;1y6m393d
 - ;GOLL4;26/08/2016;02/09/2016;7d;500;C;5,90;6,13;115,70;3,92;-716,70;16d
 - ;GOLL4;14/10/2016;17/10/2016;3d;500;C;6,32;6,71;194,40;6,15;-522,30;1m19d
 - ;GOLL4;16/03/2017;20/03/2017;4d;500;C;8,59;7,90;-347,80;-8,10;-870,10;5m3d
 - ;GOLL4;23/03/2017;05/04/2017;13d;500;C;7,68;8,44;379,60;9,88;-490,50;7d
 - ;GOLL4;25/10/2017;27/10/2017;2d;500;C;14,17;13,34;-410,20;-5,79;-900,70;7m6d
 - ;GOLL4;07/02/2018;09/02/2018;2d;500;C;16,43;15,39;-519,25;-6,32;-1.419,95;3m15d
 - ;GOLL4;26/03/2018;06/04/2018;11d;500;C;19,88;21,23;675,85;6,80;-744,10;1m17d
 - ;GOLL4;24/04/2018;25/04/2018;1d;500;C;19,78;18,61;-588,05;-5,94;-1.332,15;29d
