Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;GRND3;09/11/2004;16/11/2004;7d;500;C;1,64;1,62;-13,30;-1,62;-13,30; - 
 - ;GRND3;20/12/2005;21/12/2005;1d;500;C;0,99;1,07;38,55;7,80;25,25;1y1m376d
 - ;GRND3;09/01/2006;12/01/2006;3d;500;C;1,09;1,13;21,75;4,00;47,00;20d
 - ;GRND3;11/09/2006;12/09/2006;1d;500;C;0,88;0,90;7,80;1,77;54,80;8m5d
 - ;GRND3;01/03/2007;05/03/2007;4d;500;C;1,36;1,31;-27,05;-3,96;27,75;5m21d
 - ;GRND3;20/03/2007;05/04/2007;16d;500;C;1,40;1,36;-21,55;-3,07;6,20;19d
 - ;GRND3;31/07/2007;10/08/2007;10d;500;C;1,37;1,32;-25,95;-3,79;-19,75;4m13d
 - ;GRND3;24/03/2009;31/03/2009;7d;500;C;0,72;0,71;-8,40;-2,32;-28,15;1y7m392d
 - ;GRND3;29/05/2009;01/06/2009;3d;500;C;0,98;1,00;8,55;1,74;-19,60;2m6d
 - ;GRND3;19/06/2009;23/06/2009;4d;500;C;1,07;1,04;-13,95;-2,62;-33,55;21d
 - ;GRND3;20/07/2009;21/07/2009;1d;500;C;1,11;1,13;12,35;2,22;-21,20;1m1d
 - ;GRND3;17/08/2009;09/09/2009;23d;500;C;1,57;1,49;-38,15;-4,86;-59,35;28d
 - ;GRND3;05/10/2009;20/10/2009;15d;500;C;1,61;1,55;-28,80;-3,58;-88,15;1m19d
 - ;GRND3;29/10/2009;30/10/2009;1d;500;C;1,53;1,50;-19,10;-2,49;-107,25;24d
 - ;GRND3;04/11/2009;10/11/2009;6d;500;C;1,53;1,65;58,50;7,64;-48,75;6d
 - ;GRND3;17/03/2010;19/03/2010;2d;500;C;1,84;1,79;-22,55;-2,45;-71,30;4m13d
 - ;GRND3;07/12/2010;10/12/2010;3d;500;C;1,91;1,85;-31,60;-3,30;-102,90;8m25d
 - ;GRND3;16/12/2010;13/01/2011;28d;500;C;1,88;1,95;35,35;3,76;-67,55;9d
 - ;GRND3;11/02/2011;17/02/2011;6d;500;C;1,82;1,87;27,25;3,00;-40,30;1m27d
 - ;GRND3;15/12/2011;22/12/2011;7d;500;C;1,73;1,70;-15,15;-1,75;-55,45;10m7d
 - ;GRND3;05/01/2012;06/01/2012;1d;500;C;1,68;1,71;15,20;1,81;-40,25;21d
 - ;GRND3;18/01/2012;26/01/2012;8d;500;C;1,67;1,72;22,80;2,72;-17,45;13d
 - ;GRND3;14/03/2012;23/03/2012;9d;500;C;2,06;2,12;26,10;2,53;8,65;1m26d
 - ;GRND3;21/05/2012;23/05/2012;2d;500;C;2,31;2,37;29,75;2,58;38,40;2m8d
 - ;GRND3;19/06/2012;10/07/2012;21d;500;C;2,35;2,42;38,90;3,32;77,30;29d
 - ;GRND3;25/07/2012;27/07/2012;2d;500;C;2,46;2,66;104,10;8,48;181,40;1m6d
 - ;GRND3;24/09/2012;27/09/2012;3d;500;C;3,06;3,16;48,70;3,18;230,10;2m1d
 - ;GRND3;22/10/2012;24/10/2012;2d;500;C;3,22;3,27;22,05;1,37;252,15;28d
 - ;GRND3;13/11/2012;21/11/2012;8d;500;C;3,30;3,44;70,85;4,30;323,00;22d
 - ;GRND3;06/12/2012;20/12/2012;14d;500;C;3,63;3,78;72,05;3,97;395,05;23d
 - ;GRND3;24/01/2013;01/02/2013;8d;500;C;4,09;4,16;33,05;1,61;428,10;1m19d
 - ;GRND3;06/02/2013;07/02/2013;1d;500;C;4,13;4,07;-31,05;-1,50;397,05;13d
 - ;GRND3;19/03/2013;11/04/2013;23d;500;C;5,04;5,27;118,10;4,69;515,15;1m11d
 - ;GRND3;13/05/2013;16/05/2013;3d;500;C;5,47;5,25;-113,20;-4,14;401,95;1m25d
 - ;GRND3;04/06/2013;05/06/2013;1d;500;C;4,90;5,18;144,20;5,89;546,15;22d
