Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;HBOR3;10/01/2008;15/01/2008;5d;500;C;8,76;8,53;-116,35;-2,66;-116,35; - 
 - ;HBOR3;23/06/2009;24/06/2009;1d;500;C;4,74;5,02;140,10;5,91;23,75;1y5m380d
 - ;HBOR3;26/06/2009;30/06/2009;4d;500;C;4,86;5,15;144,25;5,93;168,00;3d
 - ;HBOR3;18/08/2009;16/09/2009;29d;500;C;7,75;8,24;247,25;6,38;415,25;1m23d
 - ;HBOR3;25/09/2009;28/09/2009;3d;500;C;8,57;8,74;82,40;1,92;497,65;1m8d
 - ;HBOR3;30/11/2009;22/12/2009;22d;500;C;9,72;10,08;181,35;3,73;679,00;2m6d
 - ;HBOR3;27/08/2010;01/09/2010;5d;500;C;13,73;14,32;292,60;4,26;971,60;8m30d
 - ;HBOR3;27/09/2010;29/09/2010;2d;500;C;15,23;15,68;229,05;3,01;1.200,65;1m1d
 - ;HBOR3;25/10/2010;04/11/2010;10d;500;C;16,29;17,09;402,90;4,95;1.603,55;28d
 - ;HBOR3;16/12/2010;17/12/2010;1d;500;C;16,91;16,35;-283,45;-3,35;1.320,10;1m22d
 - ;HBOR3;23/12/2010;30/12/2010;7d;500;C;16,65;17,35;347,75;4,18;1.667,85;7d
 - ;HBOR3;26/01/2011;27/01/2011;1d;500;C;17,40;16,68;-360,20;-4,14;1.307,65;1m4d
 - ;HBOR3;13/07/2011;18/07/2011;5d;500;C;18,74;17,58;-578,00;-6,17;729,65;5m18d
 - ;HBOR3;26/03/2012;27/03/2012;1d;500;C;25,28;24,30;-489,35;-3,87;240,30;8m17d
 - ;HBOR3;05/10/2012;08/10/2012;3d;500;C;30,82;31,32;248,15;1,61;488,45;6m13d
 - ;HBOR3;30/11/2012;03/12/2012;3d;500;C;32,51;31,63;-439,40;-2,70;49,05;1m26d
 - ;HBOR3;04/12/2012;13/12/2012;9d;500;C;32,81;34,74;964,95;5,88;1.014,00;4d
 - ;HBOR3;27/12/2012;18/01/2013;22d;500;C;34,68;32,67;-1.005,90;-5,80;8,10;23d
 - ;HBOR3;15/05/2013;07/06/2013;23d;500;C;37,04;35,38;-826,80;-4,46;-818,70;4m19d
 - ;HBOR3;19/05/2014;27/05/2014;8d;500;C;28,90;27,99;-453,60;-3,14;-1.272,30;1y369d
 - ;HBOR3;16/06/2014;20/06/2014;4d;500;C;27,90;26,96;-472,20;-3,38;-1.744,50;28d
 - ;HBOR3;18/11/2015;23/11/2015;5d;500;C;9,32;9,59;133,80;2,87;-1.610,70;1y5m370d
 - ;HBOR3;25/08/2016;05/09/2016;11d;500;C;10,11;11,04;466,00;9,22;-1.144,70;9m11d
 - ;HBOR3;10/03/2017;14/03/2017;4d;500;C;14,05;15,35;647,40;9,21;-497,30;6m17d
 - ;HBOR3;28/03/2017;10/05/2017;1m13d;500;C;12,13;13,57;719,40;11,86;222,10;18d
 - ;HBOR3;27/09/2017;28/09/2017;1d;500;C;12,04;11,48;-278,15;-4,62;-56,05;6m3d
 - ;HBOR3;16/10/2017;23/10/2017;7d;500;C;11,08;10,62;-229,15;-4,14;-285,20;19d
 - ;HBOR3;22/11/2018;07/12/2018;15d;500;C;6,90;7,45;275,00;7,97;-10,20;1y1m372d
 - ;HBOR3;16/07/2019;30/07/2019;14d;500;C;10,25;11,50;625,00;12,20;614,80;7m26d
 - ;HBOR3;08/08/2019;09/08/2019;1d;500;C;12,45;13,75;650,00;10,44;1.264,80;23d
 - ;HBOR3;28/08/2019;29/08/2019;1d;500;C;13,30;14,25;475,00;7,14;1.739,80;20d
 - ;HBOR3;11/09/2019;16/09/2019;5d;500;C;14,15;13,37;-391,75;-5,54;1.348,05;14d
 - ;HBOR3;26/09/2019;27/09/2019;1d;500;C;13,40;14,00;300,00;4,48;1.648,05;15d
 - ;HBOR3;01/10/2019;04/10/2019;3d;500;C;13,70;14,40;350,00;5,11;1.998,05;5d
 - ;HBOR3;31/10/2019;01/11/2019;1d;500;C;16,10;16,95;425,00;5,28;2.423,05;30d
 - ;HBOR3;06/12/2019;11/12/2019;5d;500;C;18,70;19,80;550,00;5,88;2.973,05;1m6d
 - ;HBOR3;23/01/2020;27/01/2020;4d;500;C;23,30;22,09;-602,70;-5,17;2.370,35;1m18d
 - ;HBOR3;18/02/2020;26/02/2020;8d;500;C;20,65;19,15;-749,00;-7,25;1.621,35;26d
 - ;HBOR3;15/07/2020;17/07/2020;2d;500;C;16,35;15,21;-569,05;-6,96;1.052,30;4m28d
 - ;HBOR3;21/08/2020;27/08/2020;6d;500;C;13,51;12,60;-455,80;-6,75;596,50;1m7d
