Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;HGTX3;22/02/2007;27/02/2007;5d;500;C;1,53;1,46;-38,40;-5,00;-38,40; - 
 - ;HGTX3;12/04/2007;16/05/2007;1m4d;500;C;2,04;2,14;50,15;4,91;11,75;1m19d
 - ;HGTX3;31/05/2007;05/06/2007;5d;500;C;2,46;2,60;67,85;5,51;79,60;1m19d
 - ;HGTX3;21/06/2007;26/06/2007;5d;500;C;2,40;2,42;10,45;0,87;90,05;21d
 - ;HGTX3;04/07/2007;05/07/2007;1d;500;C;2,42;2,52;47,00;3,88;137,05;13d
 - ;HGTX3;17/07/2007;18/07/2007;1d;500;C;2,61;2,50;-55,35;-4,24;81,70;13d
 - ;HGTX3;21/05/2009;22/05/2009;1d;500;C;2,22;2,18;-21,80;-1,96;59,90;1y10m374d
 - ;HGTX3;01/07/2009;15/07/2009;14d;500;C;2,65;2,76;53,30;4,02;113,20;1m11d
 - ;HGTX3;29/09/2009;06/10/2009;7d;500;C;4,52;4,60;39,95;1,77;153,15;2m30d
 - ;HGTX3;28/12/2009;11/01/2010;14d;500;C;6,55;6,88;167,25;5,11;320,40;2m30d
 - ;HGTX3;01/02/2010;02/02/2010;1d;500;C;7,03;7,40;189,60;5,40;510,00;1m5d
 - ;HGTX3;08/02/2010;12/03/2010;1m2d;500;C;7,36;7,90;267,60;7,27;777,60;7d
 - ;HGTX3;17/03/2010;22/03/2010;5d;500;C;7,75;7,50;-126,50;-3,26;651,10;1m7d
 - ;HGTX3;31/03/2010;13/04/2010;13d;500;C;7,80;8,12;160,55;4,11;811,65;14d
 - ;HGTX3;24/05/2010;08/06/2010;15d;500;C;8,74;9,69;477,40;10,93;1.289,05;1m24d
 - ;HGTX3;23/06/2010;05/07/2010;12d;500;C;10,38;10,74;179,00;3,45;1.468,05;30d
 - ;HGTX3;09/09/2010;10/09/2010;1d;500;C;14,66;15,45;395,55;5,40;1.863,60;2m18d
 - ;HGTX3;16/09/2010;17/09/2010;1d;500;C;15,22;15,62;200,05;2,63;2.063,65;7d
 - ;HGTX3;17/12/2010;03/01/2011;17d;500;C;18,21;19,28;538,90;5,92;2.602,55;3m2d
 - ;HGTX3;21/01/2011;27/01/2011;6d;500;C;19,23;18,70;-263,80;-2,74;2.338,75;1m5d
 - ;HGTX3;09/06/2011;10/06/2011;1d;500;C;24,98;25,26;138,05;1,11;2.476,80;4m19d
 - ;HGTX3;21/06/2011;11/07/2011;20d;500;C;23,93;22,45;-740,85;-6,19;1.735,95;12d
 - ;HGTX3;12/07/2011;13/07/2011;1d;500;C;23,25;24,16;453,25;3,90;2.189,20;21d
 - ;HGTX3;18/10/2011;19/10/2011;1d;500;C;22,84;24,09;623,55;5,46;2.812,75;3m8d
 - ;HGTX3;05/03/2012;08/03/2012;3d;500;C;32,79;34,55;880,25;5,37;3.693,00;4m19d
 - ;HGTX3;02/04/2012;10/04/2012;8d;500;C;33,59;32,26;-662,20;-3,94;3.030,80;28d
 - ;HGTX3;17/04/2012;02/05/2012;15d;500;C;31,92;34,13;1.103,75;6,92;4.134,55;15d
 - ;HGTX3;14/09/2012;25/09/2012;11d;500;C;31,74;32,71;483,00;3,04;4.617,55;4m30d
 - ;HGTX3;19/11/2012;20/12/2012;1m1d;500;C;33,52;31,75;-881,90;-5,26;3.735,65;2m6d
 - ;HGTX3;05/06/2013;06/06/2013;1d;500;C;27,95;27,00;-478,40;-3,42;3.257,25;6m18d
 - ;HGTX3;20/10/2015;26/10/2015;6d;500;C;12,28;11,77;-254,00;-4,14;3.003,25;2y4m747d
 - ;HGTX3;27/10/2015;05/01/2016;2m10d;500;C;12,67;11,62;-525,00;-8,29;2.478,25;7d
 - ;HGTX3;22/09/2016;23/09/2016;1d;500;C;15,95;15,49;-230,75;-2,89;2.247,50;10m31d
 - ;HGTX3;06/06/2017;09/06/2017;3d;500;C;18,75;18,24;-258,00;-2,75;1.989,50;8m17d
 - ;HGTX3;16/06/2017;21/06/2017;5d;500;C;18,39;17,69;-349,50;-3,80;1.640,00;10d
 - ;HGTX3;14/11/2017;16/11/2017;2d;500;C;25,09;24,21;-439,75;-3,51;1.200,25;4m31d
 - ;HGTX3;28/11/2018;03/12/2018;5d;500;C;24,23;24,95;359,65;2,97;1.559,90;1y379d
 - ;HGTX3;07/12/2018;27/12/2018;20d;500;C;25,50;27,19;844,00;6,62;2.403,90;9d
 - ;HGTX3;17/01/2019;28/01/2019;11d;500;C;27,23;28,61;690,50;5,07;3.094,40;1m11d
 - ;HGTX3;15/02/2019;01/03/2019;14d;500;C;30,03;28,26;-885,25;-5,90;2.209,15;29d
 - ;HGTX3;19/08/2019;20/08/2019;1d;500;C;32,84;31,93;-452,50;-2,76;1.756,65;6m5d
 - ;HGTX3;04/10/2019;07/10/2019;3d;500;C;33,10;34,04;472,80;2,86;2.229,45;1m16d
 - ;HGTX3;17/12/2019;18/12/2019;1d;500;C;33,76;32,61;-572,85;-3,39;1.656,60;2m14d
 - ;HGTX3;02/01/2020;07/01/2020;5d;500;C;34,02;32,67;-673,15;-3,96;983,45;16d
 - ;HGTX3;17/07/2020;23/07/2020;6d;500;C;15,45;14,79;-328,55;-4,25;654,90;6m17d
