Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;IGTA3;13/02/2007;14/02/2007;1d;500;C;12,34;12,39;20,50;0,33;20,50; - 
 - ;IGTA3;12/04/2007;17/04/2007;5d;500;C;11,45;11,59;74,55;1,30;95,05;1m28d
 - ;IGTA3;20/04/2007;23/04/2007;3d;500;C;11,63;11,97;167,75;2,88;262,80;8d
 - ;IGTA3;15/06/2007;18/06/2007;3d;500;C;13,34;12,93;-204,05;-3,06;58,75;1m26d
 - ;IGTA3;22/06/2007;28/06/2007;6d;500;C;12,96;13,52;278,05;4,29;336,80;7d
 - ;IGTA3;04/03/2008;06/03/2008;2d;500;C;10,65;10,96;152,15;2,86;488,95;8m16d
 - ;IGTA3;12/02/2009;16/02/2009;4d;500;C;4,86;5,02;80,30;3,31;569,25;11m15d
 - ;IGTA3;16/03/2009;17/03/2009;1d;500;C;5,22;5,42;98,40;3,77;667,65;1m2d
 - ;IGTA3;03/09/2009;16/09/2009;13d;500;C;9,65;10,03;190,35;3,95;858,00;5m21d
 - ;IGTA3;28/10/2009;29/10/2009;1d;500;C;11,17;10,65;-259,55;-4,65;598,45;1m25d
 - ;IGTA3;30/10/2009;12/11/2009;13d;500;C;11,09;11,66;289,65;5,23;888,10;2d
 - ;IGTA3;18/01/2010;20/01/2010;2d;500;C;12,74;12,41;-164,35;-2,58;723,75;2m20d
 - ;IGTA3;27/01/2010;29/01/2010;2d;500;C;12,51;12,02;-245,55;-3,93;478,20;9d
 - ;IGTA3;13/08/2010;19/08/2010;6d;500;C;13,59;14,20;304,50;4,48;782,70;6m18d
 - ;IGTA3;26/10/2010;29/10/2010;3d;500;C;16,49;16,97;238,90;2,90;1.021,60;2m14d
 - ;IGTA3;12/05/2011;13/05/2011;1d;500;C;17,59;17,95;182,90;2,08;1.204,50;6m18d
 - ;IGTA3;30/01/2012;31/01/2012;1d;500;C;15,67;16,20;265,60;3,39;1.470,10;8m23d
 - ;IGTA3;28/02/2012;08/03/2012;9d;500;C;17,95;19,17;611,75;6,82;2.081,85;29d
 - ;IGTA3;21/03/2012;23/03/2012;2d;500;C;19,04;17,99;-527,60;-5,54;1.554,25;22d
 - ;IGTA3;26/03/2012;05/04/2012;10d;500;C;18,81;17,90;-457,85;-4,87;1.096,40;5d
 - ;IGTA3;11/04/2012;12/04/2012;1d;500;C;17,78;16,76;-507,25;-5,71;589,15;16d
 - ;IGTA3;26/04/2012;30/04/2012;4d;500;C;17,57;18,30;362,65;4,13;951,80;15d
 - ;IGTA3;14/08/2012;15/08/2012;1d;500;C;20,35;21,05;349,50;3,43;1.301,30;3m20d
 - ;IGTA3;29/08/2012;05/09/2012;7d;500;C;21,29;20,57;-359,85;-3,38;941,45;15d
 - ;IGTA3;30/10/2012;16/11/2012;17d;500;C;23,39;22,04;-673,85;-5,76;267,60;2m2d
 - ;IGTA3;08/01/2013;09/01/2013;1d;500;C;23,74;23,12;-310,30;-2,61;-42,70;2m10d
 - ;IGTA3;12/03/2013;15/03/2013;3d;500;C;24,00;23,53;-236,10;-1,97;-278,80;2m3d
 - ;IGTA3;08/11/2013;11/11/2013;3d;500;C;21,72;21,06;-330,35;-3,04;-609,15;7m31d
 - ;IGTA3;28/05/2014;29/05/2014;1d;500;C;20,14;20,43;149,65;1,49;-459,50;6m21d
 - ;IGTA3;18/06/2014;20/06/2014;2d;500;C;20,36;20,74;190,70;1,87;-268,80;21d
 - ;IGTA3;07/08/2014;18/08/2014;11d;500;C;22,36;22,87;258,80;2,32;-10,00;1m20d
 - ;IGTA3;10/09/2014;12/09/2014;2d;500;C;23,78;22,98;-401,10;-3,37;-411,10;1m4d
 - ;IGTA3;16/09/2014;17/09/2014;1d;500;C;22,90;23,56;326,90;2,85;-84,20;6d
 - ;IGTA3;11/03/2015;18/03/2015;7d;500;C;23,96;24,95;494,90;4,13;410,70;5m26d
 - ;IGTA3;24/04/2015;27/04/2015;3d;500;C;27,03;26,06;-486,70;-3,60;-76,00;1m14d
 - ;IGTA3;08/05/2015;13/05/2015;5d;500;C;25,16;24,38;-388,95;-3,09;-464,95;14d
 - ;IGTA3;14/05/2015;27/05/2015;13d;500;C;25,46;24,10;-682,65;-5,36;-1.147,60;6d
 - ;IGTA3;13/04/2016;15/04/2016;2d;500;C;22,75;23,42;335,40;2,95;-812,20;11m5d
 - ;IGTA3;24/05/2016;25/05/2016;1d;500;C;25,06;24,18;-444,75;-3,55;-1.256,95;1m11d
 - ;IGTA3;14/06/2016;16/06/2016;2d;500;C;25,60;25,10;-245,65;-1,92;-1.502,60;21d
 - ;IGTA3;29/07/2016;01/08/2016;3d;500;C;28,32;28,90;293,40;2,07;-1.209,20;1m15d
 - ;IGTA3;02/09/2016;18/10/2016;1m16d;500;C;27,57;28,69;558,85;4,05;-650,35;1m5d
 - ;IGTA3;10/03/2017;13/03/2017;3d;500;C;29,44;29,86;209,55;1,42;-440,80;6m9d
 - ;IGTA3;02/05/2017;08/05/2017;6d;500;C;31,64;32,70;527,50;3,33;86,70;1m23d
 - ;IGTA3;07/06/2017;04/07/2017;27d;500;C;30,74;31,68;470,50;3,06;557,20;1m6d
 - ;IGTA3;21/08/2017;24/08/2017;3d;500;C;34,85;34,15;-351,70;-2,02;205,50;2m15d
 - ;IGTA3;06/09/2017;08/09/2017;2d;500;C;35,41;36,94;765,15;4,32;970,65;16d
 - ;IGTA3;28/09/2017;04/10/2017;6d;500;C;36,95;37,88;465,75;2,52;1.436,40;22d
 - ;IGTA3;10/10/2017;13/10/2017;3d;500;C;37,77;39,14;684,35;3,62;2.120,75;12d
 - ;IGTA3;25/10/2017;26/10/2017;1d;500;C;38,43;37,59;-417,80;-2,17;1.702,95;15d
 - ;IGTA3;03/11/2017;07/11/2017;4d;500;C;37,13;36,25;-439,85;-2,37;1.263,10;9d
 - ;IGTA3;05/03/2018;19/03/2018;14d;500;C;38,02;36,61;-706,50;-3,72;556,60;4m2d
 - ;IGTA3;23/01/2019;24/01/2019;1d;500;C;39,68;40,58;450,30;2,27;1.006,90;10m24d
 - ;IGTA3;11/02/2019;12/02/2019;1d;500;C;42,76;41,87;-444,65;-2,08;562,25;19d
 - ;IGTA3;15/02/2019;27/02/2019;12d;500;C;42,40;40,85;-772,65;-3,64;-210,40;4d
 - ;IGTA3;14/03/2019;20/03/2019;6d;500;C;40,88;39,62;-633,65;-3,10;-844,05;27d
 - ;IGTA3;17/07/2019;18/07/2019;1d;500;C;48,20;48,79;297,10;1,23;-546,95;4m5d
 - ;IGTA3;08/08/2019;14/08/2019;6d;500;C;47,94;46,23;-855,15;-3,57;-1.402,10;22d
 - ;IGTA3;21/08/2019;22/08/2019;1d;500;C;45,32;46,19;435,75;1,92;-966,35;13d
 - ;IGTA3;07/11/2019;08/11/2019;1d;500;C;48,12;47,15;-484,90;-2,02;-1.451,25;2m18d
 - ;IGTA3;20/12/2019;26/12/2019;6d;500;C;50,70;52,34;817,00;3,22;-634,25;1m13d
 - ;IGTA3;20/01/2020;23/01/2020;3d;500;C;55,09;56,15;529,80;1,92;-104,45;1m1d
 - ;IGTA3;21/08/2020;16/09/2020;26d;500;C;34,62;36,64;1.010,00;5,83;905,55;7m4d
