Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;IRBR3;25/08/2017;28/08/2017;3d;500;C;8,02;8,37;175,65;4,38;175,65; - 
 - ;IRBR3;22/09/2017;26/09/2017;4d;500;C;8,74;8,58;-82,65;-1,89;93,00;28d
 - ;IRBR3;21/11/2017;18/12/2017;27d;500;C;9,53;9,26;-135,10;-2,84;-42,10;1m30d
 - ;IRBR3;28/02/2018;08/03/2018;8d;500;C;11,00;11,25;122,10;2,22;80,00;3m9d
 - ;IRBR3;03/05/2018;04/05/2018;1d;500;C;13,94;14,26;158,95;2,28;238,95;2m4d
 - ;IRBR3;02/07/2018;04/07/2018;2d;500;C;14,10;13,64;-231,45;-3,28;7,50;1m30d
 - ;IRBR3;20/09/2018;24/09/2018;4d;500;C;18,28;18,76;239,15;2,62;246,65;2m20d
 - ;IRBR3;05/12/2018;17/12/2018;12d;500;C;22,06;22,66;301,20;2,73;547,85;2m16d
 - ;IRBR3;08/01/2019;11/01/2019;3d;500;C;24,20;23,48;-360,00;-2,98;187,85;1m4d
 - ;IRBR3;18/06/2019;24/06/2019;6d;500;C;29,37;30,66;646,75;4,40;834,60;5m11d
 - ;IRBR3;08/07/2019;10/07/2019;2d;500;C;29,29;29,98;346,75;2,37;1.181,35;20d
 - ;IRBR3;09/10/2019;15/10/2019;6d;500;C;32,45;33,37;461,30;2,84;1.642,65;3m3d
 - ;IRBR3;12/11/2019;19/12/2019;1m7d;500;C;33,11;34,92;904,55;5,46;2.547,20;1m4d
