Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ITSA4;29/01/2001;30/01/2001;1d;500;C;0,28;0,28;-1,75;-1,23;-1,75; - 
 - ;ITSA4;08/03/2001;09/03/2001;1d;500;C;0,27;0,26;-5,15;-3,82;-6,90;1m8d
 - ;ITSA4;21/06/2001;22/06/2001;1d;500;C;0,29;0,30;4,40;3,00;-2,50;3m15d
 - ;ITSA4;10/07/2001;11/07/2001;1d;500;C;0,29;0,29;-3,35;-2,29;-5,85;19d
 - ;ITSA4;12/07/2001;13/07/2001;1d;500;C;0,29;0,30;5,15;3,59;-0,70;2d
 - ;ITSA4;27/07/2001;30/07/2001;3d;500;C;0,30;0,31;3,70;2,48;3,00;15d
 - ;ITSA4;15/08/2001;17/08/2001;2d;500;C;0,31;0,30;-5,50;-3,56;-2,50;19d
 - ;ITSA4;22/08/2001;30/08/2001;8d;500;C;0,30;0,29;-4,10;-2,77;-6,60;7d
 - ;ITSA4;17/12/2001;20/12/2001;3d;500;C;0,32;0,32;-3,40;-2,10;-10,00;3m27d
 - ;ITSA4;05/02/2002;19/02/2002;14d;500;C;0,33;0,34;6,10;3,75;-3,90;1m20d
 - ;ITSA4;07/03/2002;12/03/2002;5d;500;C;0,35;0,36;4,55;2,63;0,65;30d
 - ;ITSA4;20/03/2002;21/03/2002;1d;500;C;0,36;0,36;-4,25;-2,33;-3,60;13d
 - ;ITSA4;05/04/2002;09/04/2002;4d;500;C;0,36;0,37;3,80;2,12;0,20;16d
 - ;ITSA4;16/05/2002;23/05/2002;7d;500;C;0,35;0,33;-9,10;-5,21;-8,90;1m11d
 - ;ITSA4;02/01/2003;06/01/2003;4d;500;C;0,31;0,33;5,80;3,70;-3,10;7m21d
 - ;ITSA4;22/01/2003;23/01/2003;1d;500;C;0,31;0,30;-2,85;-1,85;-5,95;20d
 - ;ITSA4;28/01/2003;29/01/2003;1d;500;C;0,30;0,29;-4,50;-2,98;-10,45;6d
 - ;ITSA4;30/01/2003;10/02/2003;11d;500;C;0,30;0,32;6,60;4,37;-3,85;2d
 - ;ITSA4;06/05/2003;07/05/2003;1d;500;C;0,39;0,41;7,75;3,97;3,90;3m6d
 - ;ITSA4;22/05/2003;30/06/2003;1m9d;500;C;0,42;0,40;-11,70;-5,58;-7,80;16d
 - ;ITSA4;02/07/2003;22/07/2003;20d;500;C;0,40;0,42;8,65;4,31;0,85;1m11d
 - ;ITSA4;19/09/2003;25/09/2003;6d;500;C;0,48;0,47;-5,85;-2,44;-5,00;2m19d
 - ;ITSA4;13/10/2003;20/10/2003;7d;500;C;0,49;0,50;4,40;1,80;-0,60;24d
 - ;ITSA4;12/11/2003;18/11/2003;6d;500;C;0,51;0,49;-7,60;-3,01;-8,20;30d
 - ;ITSA4;13/01/2004;14/01/2004;1d;500;C;0,67;0,65;-9,00;-2,69;-17,20;2m2d
 - ;ITSA4;23/01/2004;06/02/2004;14d;500;C;0,63;0,58;-22,45;-7,16;-39,65;10d
 - ;ITSA4;09/02/2004;11/02/2004;2d;500;C;0,62;0,65;17,25;5,60;-22,40;17d
 - ;ITSA4;08/03/2004;09/03/2004;1d;500;C;0,66;0,63;-12,65;-3,84;-35,05;28d
 - ;ITSA4;13/04/2004;15/04/2004;2d;500;C;0,63;0,61;-12,60;-3,97;-47,65;1m6d
 - ;ITSA4;03/08/2004;05/08/2004;2d;500;C;0,64;0,62;-9,90;-3,10;-57,55;3m22d
 - ;ITSA4;09/08/2004;17/08/2004;8d;500;C;0,64;0,67;13,70;4,29;-43,85;6d
 - ;ITSA4;31/08/2004;06/09/2004;6d;500;C;0,67;0,65;-10,90;-3,25;-54,75;22d
 - ;ITSA4;30/09/2004;01/10/2004;1d;500;C;0,71;0,72;6,45;1,82;-48,30;30d
 - ;ITSA4;02/03/2005;03/03/2005;1d;500;C;0,98;1,01;13,30;2,71;-35,00;5m3d
 - ;ITSA4;21/07/2005;25/07/2005;4d;500;C;0,99;0,93;-28,80;-5,85;-63,80;4m21d
 - ;ITSA4;25/08/2005;31/08/2005;6d;500;C;1,08;1,14;28,05;5,20;-35,75;1m5d
 - ;ITSA4;16/09/2005;21/09/2005;5d;500;C;1,21;1,25;24,20;4,02;-11,55;22d
 - ;ITSA4;28/11/2005;02/12/2005;4d;500;C;1,46;1,51;27,15;3,72;15,60;2m13d
 - ;ITSA4;18/04/2006;20/04/2006;2d;500;C;1,84;1,87;18,95;2,06;34,55;4m21d
 - ;ITSA4;13/09/2006;21/09/2006;8d;500;C;1,85;1,78;-36,40;-3,94;-1,85;4m28d
 - ;ITSA4;14/11/2006;23/11/2006;9d;500;C;1,99;2,06;36,30;3,65;34,45;2m2d
 - ;ITSA4;20/12/2006;27/12/2006;7d;500;C;2,12;2,15;17,15;1,62;51,60;1m6d
 - ;ITSA4;11/01/2007;17/01/2007;6d;500;C;2,21;2,27;30,65;2,78;82,25;22d
 - ;ITSA4;18/01/2007;26/01/2007;8d;500;C;2,28;2,37;41,90;3,67;124,15;7d
 - ;ITSA4;30/03/2007;16/04/2007;17d;500;C;2,38;2,46;42,60;3,58;166,75;2m11d
 - ;ITSA4;31/05/2007;12/06/2007;12d;500;C;2,80;2,66;-69,90;-5,00;96,85;2m2d
 - ;ITSA4;26/06/2007;03/07/2007;7d;500;C;2,77;2,82;26,45;1,91;123,30;26d
 - ;ITSA4;05/06/2008;09/06/2008;4d;500;C;2,94;2,85;-44,35;-3,01;78,95;11m15d
 - ;ITSA4;16/01/2009;23/01/2009;7d;500;C;2,07;1,87;-97,30;-9,42;-18,35;7m15d
 - ;ITSA4;26/01/2009;06/02/2009;11d;500;C;1,97;2,11;68,20;6,93;49,85;10d
 - ;ITSA4;13/02/2009;17/02/2009;4d;500;C;2,07;1,99;-35,95;-3,48;13,90;18d
 - ;ITSA4;19/02/2009;20/02/2009;1d;500;C;2,02;1,88;-66,85;-6,63;-52,95;6d
 - ;ITSA4;07/07/2009;08/07/2009;1d;500;C;2,72;2,64;-40,55;-2,98;-93,50;4m18d
 - ;ITSA4;30/11/2009;01/12/2009;1d;500;C;3,49;3,57;39,10;2,24;-54,40;4m26d
 - ;ITSA4;18/05/2010;19/05/2010;1d;500;C;3,74;3,44;-151,95;-8,12;-206,35;5m19d
 - ;ITSA4;13/08/2010;17/08/2010;4d;500;C;3,98;4,06;38,70;1,94;-167,65;2m27d
 - ;ITSA4;26/08/2010;27/08/2010;1d;500;C;3,90;3,79;-51,55;-2,65;-219,20;13d
 - ;ITSA4;23/09/2010;01/10/2010;8d;500;C;4,08;4,18;46,85;2,30;-172,35;28d
 - ;ITSA4;27/10/2010;28/10/2010;1d;500;C;4,37;4,31;-29,65;-1,36;-202,00;1m4d
 - ;ITSA4;25/11/2011;29/11/2011;4d;500;C;3,30;3,39;46,90;2,84;-155,10;1y394d
 - ;ITSA4;06/09/2012;10/09/2012;4d;500;C;3,56;3,66;53,35;3,00;-101,75;9m16d
 - ;ITSA4;27/09/2012;28/09/2012;1d;500;C;3,58;3,45;-67,20;-3,75;-168,95;21d
 - ;ITSA4;17/01/2013;22/01/2013;5d;500;C;4,05;4,13;42,85;2,12;-126,10;3m22d
 - ;ITSA4;28/03/2013;03/04/2013;6d;500;C;4,07;3,97;-50,35;-2,47;-176,45;2m10d
 - ;ITSA4;24/09/2013;27/09/2013;3d;500;C;4,00;4,06;31,00;1,55;-145,45;5m30d
 - ;ITSA4;02/10/2013;18/10/2013;16d;500;C;4,03;4,13;53,15;2,64;-92,30;8d
 - ;ITSA4;04/07/2014;10/07/2014;6d;500;C;4,39;4,47;38,00;1,73;-54,30;9m5d
 - ;ITSA4;08/09/2014;09/09/2014;1d;500;C;5,61;5,39;-112,55;-4,01;-166,85;2m6d
 - ;ITSA4;08/05/2015;19/05/2015;11d;500;C;5,57;5,44;-67,90;-2,44;-234,75;7m32d
 - ;ITSA4;05/05/2016;09/05/2016;4d;500;C;5,02;4,90;-60,30;-2,40;-295,05;11m33d
 - ;ITSA4;10/05/2016;11/05/2016;1d;500;C;5,10;5,41;155,65;6,11;-139,40;5d
 - ;ITSA4;20/05/2016;23/05/2016;3d;500;C;5,05;4,88;-83,90;-3,32;-223,30;10d
 - ;ITSA4;24/05/2016;31/05/2016;7d;500;C;5,02;4,83;-97,40;-3,88;-320,70;4d
 - ;ITSA4;02/06/2016;08/06/2016;6d;500;C;4,94;5,11;84,75;3,43;-235,95;9d
 - ;ITSA4;14/06/2016;15/06/2016;1d;500;C;4,91;4,80;-56,85;-2,32;-292,80;12d
 - ;ITSA4;17/06/2016;01/07/2016;14d;500;C;4,96;5,20;122,05;4,92;-170,75;3d
 - ;ITSA4;22/09/2016;04/10/2016;12d;500;C;5,82;5,65;-82,40;-2,83;-253,15;3m7d
 - ;ITSA4;16/03/2017;20/03/2017;4d;500;C;7,20;6,97;-117,10;-3,25;-370,25;5m25d
 - ;ITSA4;28/03/2017;06/04/2017;9d;500;C;7,04;6,84;-98,85;-2,81;-469,10;12d
 - ;ITSA4;25/10/2017;30/10/2017;5d;500;C;8,12;7,88;-119,30;-2,94;-588,40;6m31d
 - ;ITSA4;06/11/2017;07/11/2017;1d;500;C;7,72;7,53;-93,35;-2,42;-681,75;12d
 - ;ITSA4;28/11/2017;30/11/2017;2d;500;C;7,87;7,65;-111,70;-2,84;-793,45;22d
 - ;ITSA4;05/03/2018;06/03/2018;1d;500;C;10,52;10,79;136,95;2,60;-656,50;3m7d
 - ;ITSA4;05/04/2018;09/04/2018;4d;500;C;10,72;10,41;-153,95;-2,87;-810,45;1m1d
 - ;ITSA4;11/04/2018;16/04/2018;5d;500;C;10,48;10,27;-102,90;-1,96;-913,35;6d
 - ;ITSA4;24/04/2018;26/04/2018;2d;500;C;10,32;10,49;82,20;1,59;-831,15;13d
 - ;ITSA4;26/09/2018;27/09/2018;1d;500;C;8,55;8,78;114,65;2,68;-716,50;5m5d
 - ;ITSA4;26/11/2018;27/11/2018;1d;500;C;10,48;10,61;66,15;1,26;-650,35;2m1d
 - ;ITSA4;07/12/2018;10/12/2018;3d;500;C;10,92;10,45;-233,95;-4,29;-884,30;11d
 - ;ITSA4;12/12/2018;26/12/2018;14d;500;C;10,55;10,24;-154,15;-2,92;-1.038,45;5d
 - ;ITSA4;08/02/2019;12/02/2019;4d;500;C;11,52;11,84;163,50;2,84;-874,95;1m28d
 - ;ITSA4;08/03/2019;11/03/2019;3d;500;C;11,58;11,94;177,60;3,07;-697,35;28d
 - ;ITSA4;26/03/2019;27/03/2019;1d;500;C;11,28;11,00;-140,00;-2,48;-837,35;18d
 - ;ITSA4;29/03/2019;17/04/2019;19d;500;C;11,27;10,59;-340,40;-6,04;-1.177,75;3d
 - ;ITSA4;26/09/2019;27/09/2019;1d;500;C;12,69;12,90;105,95;1,67;-1.071,80;5m31d
 - ;ITSA4;04/11/2019;05/11/2019;1d;500;C;13,34;13,60;130,05;1,95;-941,75;1m9d
 - ;ITSA4;16/12/2019;18/12/2019;2d;500;C;13,22;13,43;101,35;1,53;-840,40;1m12d
 - ;ITSA4;15/07/2020;20/07/2020;5d;500;C;10,18;10,41;115,00;2,26;-725,40;6m32d
 - ;ITSA4;27/07/2020;28/07/2020;1d;500;C;10,61;11,00;195,00;3,68;-530,40;12d
