Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;ITUB4;27/07/2000;01/08/2000;5d;500;C;1,21;1,14;-35,70;-5,90;-35,70; - 
 - ;ITUB4;22/08/2000;23/08/2000;1d;500;C;1,21;1,26;21,80;3,59;-13,90;26d
 - ;ITUB4;04/10/2000;09/10/2000;5d;500;C;1,21;1,16;-23,35;-3,87;-37,25;1m13d
 - ;ITUB4;16/01/2001;18/01/2001;2d;500;C;1,39;1,42;14,85;2,13;-22,40;3m14d
 - ;ITUB4;01/02/2001;02/02/2001;1d;500;C;1,39;1,36;-14,65;-2,11;-37,05;16d
 - ;ITUB4;13/06/2001;18/06/2001;5d;500;C;1,45;1,41;-22,30;-3,07;-59,35;4m12d
 - ;ITUB4;10/07/2001;11/07/2001;1d;500;C;1,38;1,35;-14,75;-2,14;-74,10;27d
 - ;ITUB4;12/07/2001;13/07/2001;1d;500;C;1,35;1,42;33,55;4,97;-40,55;2d
 - ;ITUB4;20/07/2001;25/07/2001;5d;500;C;1,40;1,37;-16,65;-2,38;-57,20;8d
 - ;ITUB4;23/01/2002;28/01/2002;5d;500;C;1,38;1,36;-9,45;-1,37;-66,65;6m7d
 - ;ITUB4;07/03/2002;15/03/2002;8d;500;C;1,47;1,51;21,35;2,91;-45,30;1m13d
 - ;ITUB4;25/03/2002;27/03/2002;2d;500;C;1,47;1,49;9,80;1,34;-35,50;18d
 - ;ITUB4;16/01/2003;20/01/2003;4d;500;C;1,41;1,38;-15,15;-2,15;-50,65;9m27d
 - ;ITUB4;30/01/2003;25/02/2003;26d;500;C;1,30;1,23;-32,55;-5,02;-83,20;14d
 - ;ITUB4;13/06/2003;16/06/2003;3d;500;C;1,70;1,67;-16,95;-1,99;-100,15;4m14d
 - ;ITUB4;23/06/2003;27/06/2003;4d;500;C;1,68;1,64;-21,20;-2,52;-121,35;10d
 - ;ITUB4;02/07/2003;07/07/2003;5d;500;C;1,65;1,60;-26,75;-3,24;-148,10;9d
 - ;ITUB4;11/09/2003;23/09/2003;12d;500;C;2,00;1,89;-56,10;-5,61;-204,20;2m11d
 - ;ITUB4;31/10/2003;03/11/2003;3d;500;C;2,01;2,08;34,85;3,46;-169,35;1m20d
 - ;ITUB4;20/11/2003;21/11/2003;1d;500;C;1,98;2,01;15,05;1,52;-154,30;20d
 - ;ITUB4;18/12/2003;23/12/2003;5d;500;C;2,36;2,48;55,90;4,73;-98,40;28d
 - ;ITUB4;23/01/2004;20/02/2004;28d;500;C;2,56;2,37;-97,45;-7,61;-195,85;1m6d
 - ;ITUB4;27/09/2004;01/10/2004;4d;500;C;2,83;2,89;31,20;2,21;-164,65;8m8d
 - ;ITUB4;21/10/2004;22/10/2004;1d;500;C;2,94;3,06;58,00;3,94;-106,65;24d
 - ;ITUB4;28/10/2004;19/11/2004;22d;500;C;3,06;2,97;-46,10;-3,01;-152,75;7d
 - ;ITUB4;02/03/2005;03/03/2005;1d;500;C;4,12;4,23;54,20;2,63;-98,55;4m5d
 - ;ITUB4;17/03/2005;21/03/2005;4d;500;C;4,25;4,12;-64,40;-3,03;-162,95;15d
 - ;ITUB4;02/05/2005;11/05/2005;9d;500;C;4,03;3,86;-85,65;-4,25;-248,60;1m16d
 - ;ITUB4;16/09/2005;19/09/2005;3d;500;C;4,65;4,77;59,70;2,57;-188,90;4m17d
 - ;ITUB4;07/11/2005;09/11/2005;2d;500;C;4,94;5,07;65,70;2,66;-123,20;1m22d
 - ;ITUB4;23/11/2005;02/12/2005;9d;500;C;5,15;5,31;80,45;3,13;-42,75;16d
 - ;ITUB4;12/12/2005;20/12/2005;8d;500;C;5,29;5,10;-93,80;-3,55;-136,55;19d
 - ;ITUB4;03/01/2006;04/01/2006;1d;500;C;5,22;5,52;148,05;5,67;11,50;22d
 - ;ITUB4;09/02/2006;10/02/2006;1d;500;C;6,02;6,19;87,95;2,92;99,45;1m7d
 - ;ITUB4;06/03/2006;07/03/2006;1d;500;C;6,51;6,23;-136,80;-4,21;-37,35;25d
 - ;ITUB4;26/09/2006;02/10/2006;6d;500;C;6,01;6,25;117,95;3,92;80,60;6m24d
 - ;ITUB4;09/11/2006;10/11/2006;1d;500;C;6,89;6,69;-99,05;-2,88;-18,45;1m14d
 - ;ITUB4;11/12/2006;14/12/2006;3d;500;C;6,99;7,09;49,60;1,42;31,15;1m2d
 - ;ITUB4;31/01/2007;05/02/2007;5d;500;C;7,41;7,54;63,80;1,72;94,95;1m21d
 - ;ITUB4;09/02/2007;12/02/2007;3d;500;C;7,49;7,28;-104,60;-2,79;-9,65;9d
 - ;ITUB4;31/05/2007;12/07/2007;1m12d;500;C;8,32;8,67;179,20;4,31;169,55;3m21d
 - ;ITUB4;19/12/2007;02/01/2008;14d;500;C;9,07;8,58;-243,75;-5,38;-74,20;6m22d
 - ;ITUB4;25/04/2008;28/04/2008;3d;500;C;8,70;8,94;118,90;2,73;44,70;4m8d
 - ;ITUB4;13/05/2008;14/05/2008;1d;500;C;9,41;9,10;-152,15;-3,23;-107,45;18d
 - ;ITUB4;16/05/2008;19/05/2008;3d;500;C;9,30;9,54;117,90;2,53;10,45;3d
 - ;ITUB4;16/01/2009;20/01/2009;4d;500;C;6,45;5,81;-319,70;-9,91;-309,25;8m5d
