Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;JBSS3;19/04/2007;20/04/2007;1d;500;C;6,90;7,03;62,35;1,81;62,35; - 
 - ;JBSS3;04/05/2007;09/05/2007;5d;500;C;7,09;6,83;-128,80;-3,63;-66,45;15d
 - ;JBSS3;18/05/2007;21/05/2007;3d;500;C;6,68;6,41;-137,15;-4,11;-203,60;14d
 - ;JBSS3;11/06/2007;15/06/2007;4d;500;C;7,20;6,76;-222,20;-6,17;-425,80;24d
 - ;JBSS3;21/06/2007;02/07/2007;11d;500;C;6,71;7,29;285,00;8,49;-140,80;10d
 - ;JBSS3;20/07/2007;25/07/2007;5d;500;C;8,02;7,66;-178,80;-4,46;-319,60;29d
 - ;JBSS3;10/06/2008;13/06/2008;3d;500;C;7,61;7,20;-200,95;-5,28;-520,55;10m26d
 - ;JBSS3;21/01/2009;22/01/2009;1d;500;C;4,56;4,34;-112,55;-4,93;-633,10;7m15d
 - ;JBSS3;12/02/2009;18/02/2009;6d;500;C;4,23;4,02;-107,70;-5,09;-740,80;22d
 - ;JBSS3;19/05/2009;20/05/2009;1d;500;C;5,99;5,46;-266,10;-8,88;-1.006,90;3m6d
 - ;JBSS3;28/05/2009;29/05/2009;1d;500;C;5,45;5,60;71,50;2,62;-935,40;9d
 - ;JBSS3;01/06/2009;02/06/2009;1d;500;C;6,02;6,74;362,10;12,04;-573,30;4d
 - ;JBSS3;07/07/2009;10/07/2009;3d;500;C;6,43;5,98;-222,10;-6,91;-795,40;1m6d
 - ;JBSS3;18/08/2009;25/08/2009;7d;500;C;6,59;6,87;138,60;4,21;-656,80;1m12d
 - ;JBSS3;03/09/2009;16/09/2009;13d;500;C;7,01;7,32;156,45;4,46;-500,35;16d
 - ;JBSS3;12/08/2010;16/08/2010;4d;500;C;7,49;7,23;-130,20;-3,48;-630,55;11m13d
 - ;JBSS3;28/02/2012;01/03/2012;2d;500;C;6,37;6,60;112,20;3,52;-518,35;1y6m385d
 - ;JBSS3;16/03/2012;19/03/2012;3d;500;C;7,28;7,45;85,25;2,34;-433,10;17d
 - ;JBSS3;30/03/2012;11/04/2012;12d;500;C;7,00;6,45;-272,80;-7,80;-705,90;14d
 - ;JBSS3;08/05/2012;09/05/2012;1d;500;C;6,77;6,40;-183,00;-5,41;-888,90;1m9d
 - ;JBSS3;26/10/2012;01/11/2012;6d;500;C;5,95;6,13;89,70;3,02;-799,20;5m21d
 - ;JBSS3;14/11/2012;16/11/2012;2d;500;C;5,92;5,65;-137,15;-4,63;-936,35;19d
 - ;JBSS3;05/03/2013;11/03/2013;6d;500;C;6,13;6,43;152,55;4,98;-783,80;3m21d
 - ;JBSS3;16/07/2013;01/08/2013;16d;500;C;5,97;6,34;181,30;6,07;-602,50;4m13d
 - ;JBSS3;16/09/2013;17/09/2013;1d;500;C;7,02;6,79;-112,75;-3,21;-715,25;2m2d
 - ;JBSS3;27/09/2013;08/10/2013;11d;500;C;6,98;6,76;-108,15;-3,10;-823,40;11d
 - ;JBSS3;18/10/2013;21/10/2013;3d;500;C;7,52;7,33;-95,25;-2,53;-918,65;21d
 - ;JBSS3;11/11/2013;13/11/2013;2d;500;C;7,43;7,60;86,10;2,32;-832,55;24d
 - ;JBSS3;14/11/2013;26/11/2013;12d;500;C;7,60;7,28;-163,20;-4,29;-995,75;3d
 - ;JBSS3;27/11/2013;04/12/2013;7d;500;C;7,47;7,23;-117,85;-3,16;-1.113,60;13d
 - ;JBSS3;06/12/2013;19/12/2013;13d;500;C;7,28;7,62;172,25;4,73;-941,35;9d
 - ;JBSS3;07/01/2014;15/01/2014;8d;500;C;7,74;8,08;167,65;4,33;-773,70;1m2d
 - ;JBSS3;02/10/2014;06/10/2014;4d;500;C;8,61;9,46;425,70;9,89;-348,00;8m28d
 - ;JBSS3;28/11/2014;01/12/2014;3d;500;C;10,97;10,69;-137,00;-2,50;-485,00;1m27d
 - ;JBSS3;10/12/2014;11/12/2014;1d;500;C;10,32;10,70;192,25;3,73;-292,75;12d
 - ;JBSS3;09/02/2015;18/02/2015;9d;500;C;10,38;10,77;192,25;3,70;-100,50;2m1d
 - ;JBSS3;29/04/2015;04/05/2015;5d;500;C;13,88;14,35;233,45;3,36;132,95;2m19d
 - ;JBSS3;28/05/2015;29/05/2015;1d;500;C;15,36;14,31;-526,95;-6,86;-394,00;29d
 - ;JBSS3;08/06/2015;18/06/2015;10d;500;C;14,81;15,46;323,90;4,37;-70,10;11d
 - ;JBSS3;14/09/2016;05/10/2016;21d;500;C;11,56;12,18;310,05;5,36;239,95;1y3m374d
 - ;JBSS3;21/03/2017;06/04/2017;16d;500;C;10,65;9,32;-665,70;-12,50;-425,75;6m8d
 - ;JBSS3;08/09/2017;14/09/2017;6d;500;C;7,83;8,33;252,75;6,46;-173,00;5m21d
 - ;JBSS3;25/09/2017;02/10/2017;7d;500;C;8,11;8,38;136,10;3,36;-36,90;17d
 - ;JBSS3;18/01/2018;23/01/2018;5d;500;C;9,51;9,32;-94,30;-1,98;-131,20;3m25d
 - ;JBSS3;07/02/2018;09/02/2018;2d;500;C;9,71;9,27;-220,60;-4,54;-351,80;20d
 - ;JBSS3;14/02/2018;22/02/2018;8d;500;C;9,53;10,16;315,95;6,63;-35,85;7d
 - ;JBSS3;20/03/2018;21/03/2018;1d;500;C;9,55;9,30;-123,45;-2,59;-159,30;1m4d
 - ;JBSS3;03/09/2018;06/09/2018;3d;500;C;9,23;8,95;-138,25;-3,00;-297,55;5m17d
 - ;JBSS3;17/09/2018;18/09/2018;1d;500;C;9,07;9,32;127,05;2,80;-170,50;14d
 - ;JBSS3;05/02/2019;06/02/2019;1d;500;C;14,75;14,25;-247,55;-3,36;-418,05;4m21d
 - ;JBSS3;28/02/2019;01/03/2019;1d;500;C;13,45;13,72;136,80;2,03;-281,25;23d
 - ;JBSS3;11/03/2019;12/03/2019;1d;500;C;12,92;13,33;205,20;3,18;-76,05;11d
 - ;JBSS3;26/03/2019;28/03/2019;2d;500;C;14,41;15,17;376,25;5,22;300,20;15d
 - ;JBSS3;23/04/2019;03/05/2019;10d;500;C;18,93;20,16;615,70;6,50;915,90;28d
 - ;JBSS3;09/05/2019;13/05/2019;4d;500;C;19,76;19,13;-317,20;-3,21;598,70;16d
 - ;JBSS3;22/08/2019;23/08/2019;1d;500;C;28,87;27,45;-708,80;-4,91;-110,10;3m15d
 - ;JBSS3;04/10/2019;07/10/2019;3d;500;C;31,31;30,47;-419,35;-2,68;-529,45;1m13d
 - ;JBSS3;31/10/2019;01/11/2019;1d;500;C;28,30;27,53;-381,45;-2,70;-910,90;27d
 - ;JBSS3;01/07/2020;06/07/2020;5d;500;C;21,43;22,17;370,00;3,45;-540,90;8m4d
