Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;KLBN3;10/09/2013;24/09/2013;14d;500;C;1,81;1,78;-16,70;-1,84;-16,70; - 
 - ;KLBN3;01/04/2015;15/07/2015;3m15d;500;C;3,26;3,79;264,20;16,22;247,50;1y6m388d
 - ;KLBN3;27/10/2015;29/10/2015;2d;500;C;4,88;4,56;-161,15;-6,60;86,35;6m29d
 - ;KLBN3;30/10/2015;03/11/2015;4d;500;C;4,82;5,13;156,10;6,48;242,45;3d
 - ;KLBN3;02/08/2017;08/08/2017;6d;500;C;4,49;4,30;-97,05;-4,32;145,40;1y9m372d
 - ;KLBN3;07/11/2017;08/11/2017;1d;500;C;4,92;4,74;-89,45;-3,64;55,95;3m7d
 - ;KLBN3;14/11/2017;23/11/2017;9d;500;C;5,10;4,77;-168,30;-6,60;-112,35;7d
 - ;KLBN3;26/04/2018;30/04/2018;4d;500;C;6,86;7,27;205,40;5,99;93,05;5m13d
 - ;KLBN3;25/05/2018;05/06/2018;11d;500;C;7,04;7,50;229,60;6,52;322,65;29d
 - ;KLBN3;14/03/2019;15/03/2019;1d;500;C;5,30;5,09;-102,40;-3,86;220,25;9m23d
 - ;KLBN3;18/03/2019;19/03/2019;1d;500;C;5,20;5,08;-63,95;-2,46;156,30;4d
 - ;KLBN3;05/12/2019;06/12/2019;1d;500;C;4,00;4,06;29,75;1,49;186,05;8m22d
 - ;KLBN3;26/12/2019;07/01/2020;12d;500;C;4,29;4,43;69,90;3,26;255,95;21d
 - ;KLBN3;15/07/2020;20/07/2020;5d;500;C;4,20;4,37;85,00;4,05;340,95;6m22d
 - ;KLBN3;10/09/2020;11/09/2020;1d;500;C;5,32;5,15;-86,45;-3,25;254,50;1m27d
 - ;KLBN3;15/09/2020;16/09/2020;1d;500;C;5,24;5,41;85,00;3,24;339,50;5d
 - ;KLBN3;18/09/2020;21/09/2020;3d;500;C;5,35;5,14;-106,45;-3,98;233,05;3d
