Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;LAME3;19/11/2001;20/11/2001;1d;500;C;0,10;0,11;0,90;1,73;0,90; - 
 - ;LAME3;11/12/2002;17/12/2002;6d;500;C;0,34;0,35;1,95;1,14;2,85;1y387d
 - ;LAME3;10/03/2003;12/03/2003;2d;500;C;0,39;0,40;3,20;1,64;6,05;2m29d
 - ;LAME3;20/05/2004;08/06/2004;19d;500;C;1,27;1,21;-34,45;-5,41;-28,40;1y2m377d
 - ;LAME3;02/07/2004;28/07/2004;26d;500;C;1,23;1,30;32,70;5,32;4,30;1m13d
 - ;LAME3;26/04/2006;27/04/2006;1d;500;C;4,67;4,81;68,75;2,94;73,05;1y9m393d
 - ;LAME3;11/05/2007;16/05/2007;5d;500;C;6,02;6,21;91,55;3,04;164,60;1y380d
 - ;LAME3;28/11/2007;20/12/2007;22d;500;C;7,88;7,40;-241,15;-6,12;-76,55;6m21d
 - ;LAME3;27/05/2009;05/06/2009;9d;500;C;3,55;3,74;93,50;5,26;16,95;1y5m396d
 - ;LAME3;24/06/2009;25/06/2009;1d;500;C;3,57;3,83;130,90;7,33;147,85;28d
 - ;LAME3;15/09/2009;22/09/2009;7d;500;C;4,62;4,52;-47,75;-2,07;100,10;2m23d
 - ;LAME3;25/09/2009;29/09/2009;4d;500;C;4,59;4,48;-57,00;-2,48;43,10;10d
 - ;LAME3;27/10/2009;28/10/2009;1d;500;C;4,66;4,52;-66,45;-2,85;-23,35;1m2d
 - ;LAME3;30/11/2009;01/12/2009;1d;500;C;5,28;5,46;91,15;3,45;67,80;1m4d
 - ;LAME3;23/12/2009;29/12/2009;6d;500;C;5,60;5,67;32,75;1,17;100,55;23d
 - ;LAME3;04/01/2010;20/01/2010;16d;500;C;5,98;5,59;-193,95;-6,48;-93,40;12d
 - ;LAME3;26/01/2010;28/01/2010;2d;500;C;5,74;5,29;-228,65;-7,96;-322,05;22d
 - ;LAME3;11/08/2010;01/09/2010;21d;500;C;5,29;5,54;124,55;4,71;-197,50;6m17d
 - ;LAME3;10/12/2010;13/12/2010;3d;500;C;6,26;6,10;-83,00;-2,65;-280,50;3m31d
 - ;LAME3;21/06/2011;27/06/2011;6d;500;C;6,32;6,13;-97,15;-3,07;-377,65;6m13d
 - ;LAME3;28/06/2011;29/06/2011;1d;500;C;6,25;6,38;65,30;2,09;-312,35;7d
 - ;LAME3;04/07/2011;07/07/2011;3d;500;C;6,37;6,18;-94,80;-2,97;-407,15;6d
 - ;LAME3;10/11/2011;11/11/2011;1d;500;C;6,30;6,46;78,30;2,48;-328,85;4m9d
 - ;LAME3;01/03/2012;02/03/2012;1d;500;C;7,96;7,72;-119,95;-3,01;-448,80;3m22d
 - ;LAME3;23/03/2012;10/04/2012;18d;500;C;8,01;7,72;-145,05;-3,62;-593,85;22d
 - ;LAME3;29/10/2012;08/11/2012;10d;500;C;9,64;10,05;201,85;4,19;-392,00;7m10d
 - ;LAME3;17/12/2012;20/12/2012;3d;500;C;11,16;10,85;-155,55;-2,79;-547,55;1m19d
 - ;LAME3;26/12/2012;08/01/2013;13d;500;C;11,13;11,54;208,15;3,74;-339,40;9d
 - ;LAME3;16/01/2013;17/01/2013;1d;500;C;10,79;10,93;72,65;1,35;-266,75;21d
 - ;LAME3;07/02/2013;08/02/2013;1d;500;C;10,54;10,80;132,60;2,52;-134,15;22d
 - ;LAME3;26/09/2013;27/09/2013;1d;500;C;9,50;9,09;-205,15;-4,32;-339,30;7m21d
 - ;LAME3;01/10/2013;10/10/2013;9d;500;C;9,28;9,62;171,50;3,70;-167,80;5d
 - ;LAME3;25/10/2013;29/10/2013;4d;500;C;9,53;9,25;-138,65;-2,91;-306,45;24d
 - ;LAME3;03/06/2014;04/06/2014;1d;500;C;9,23;9,49;131,95;2,86;-174,50;7m11d
 - ;LAME3;17/06/2014;02/07/2014;15d;500;C;9,88;9,46;-207,80;-4,21;-382,30;14d
 - ;LAME3;04/07/2014;08/07/2014;4d;500;C;9,60;9,85;127,95;2,67;-254,35;17d
 - ;LAME3;04/08/2014;20/08/2014;16d;500;C;9,66;10,01;171,95;3,56;-82,40;1m1d
 - ;LAME3;04/09/2014;08/09/2014;4d;500;C;10,31;10,00;-156,50;-3,04;-238,90;1m1d
 - ;LAME3;13/01/2015;14/01/2015;1d;500;C;10,05;10,24;92,25;1,84;-146,65;4m11d
