Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;LLIS3;27/05/2008;28/05/2008;1d;500;C;11,24;11,75;251,85;4,48;251,85; - 
 - ;LLIS3;04/07/2008;30/09/2008;2m28d;500;C;8,81;7,29;-764,50;-17,35;-512,65;1m8d
 - ;LLIS3;21/10/2009;22/10/2009;1d;500;C;7,96;8,16;97,60;2,45;-415,05;1y3m384d
 - ;LLIS3;16/03/2010;12/04/2010;27d;500;C;13,98;13,28;-354,35;-5,07;-769,40;4m26d
 - ;LLIS3;13/04/2010;22/04/2010;9d;500;C;13,59;14,20;307,90;4,53;-461,50;28d
 - ;LLIS3;11/06/2010;14/06/2010;3d;500;C;14,25;14,75;250,85;3,52;-210,65;1m29d
 - ;LLIS3;21/06/2010;22/06/2010;1d;500;C;14,61;15,07;230,80;3,16;20,15;10d
 - ;LLIS3;16/08/2010;17/08/2010;1d;500;C;19,87;20,71;421,45;4,24;441,60;1m26d
 - ;LLIS3;20/09/2010;04/10/2010;14d;500;C;25,32;28,27;1.474,25;11,65;1.915,85;1m5d
 - ;LLIS3;18/10/2010;19/10/2010;1d;500;C;29,49;28,40;-543,95;-3,69;1.371,90;28d
 - ;LLIS3;18/01/2011;28/01/2011;10d;500;C;34,89;33,80;-541,30;-3,10;830,60;3m2d
 - ;LLIS3;28/07/2011;29/07/2011;1d;500;C;41,81;42,50;343,05;1,64;1.173,65;6m11d
 - ;LLIS3;02/01/2012;03/01/2012;1d;500;C;56,97;55,99;-485,95;-1,71;687,70;5m8d
 - ;LLIS3;05/03/2012;14/03/2012;9d;500;C;72,73;74,05;659,25;1,81;1.346,95;2m3d
 - ;LLIS3;13/04/2012;17/04/2012;4d;500;C;76,14;77,52;690,65;1,81;2.037,60;1m9d
 - ;LLIS3;30/04/2012;04/05/2012;4d;500;C;77,42;78,65;617,40;1,60;2.655,00;17d
 - ;LLIS3;12/04/2013;15/04/2013;3d;500;C;60,60;57,74;-1.431,05;-4,72;1.223,95;11m17d
 - ;LLIS3;25/04/2014;28/04/2014;3d;500;C;38,23;36,44;-898,80;-4,70;325,15;1y378d
 - ;LLIS3;29/04/2014;30/04/2014;1d;500;C;37,47;38,74;631,95;3,37;957,10;4d
 - ;LLIS3;14/07/2014;22/07/2014;8d;500;C;41,65;43,98;1.169,10;5,61;2.126,20;2m16d
 - ;LLIS3;14/10/2014;17/10/2014;3d;500;C;53,72;55,86;1.074,30;4,00;3.200,50;3m2d
 - ;LLIS3;19/11/2014;21/11/2014;2d;500;C;57,51;60,86;1.674,70;5,82;4.875,20;1m6d
 - ;LLIS3;21/05/2015;22/05/2015;1d;500;C;56,76;54,49;-1.134,90;-4,00;3.740,30;6m3d
 - ;LLIS3;25/05/2015;01/06/2015;7d;500;C;56,30;52,88;-1.714,65;-6,09;2.025,65;4d
 - ;LLIS3;14/10/2016;19/10/2016;5d;500;C;26,18;24,63;-774,30;-5,92;1.251,35;1y4m388d
 - ;LLIS3;17/03/2017;23/03/2017;6d;500;C;29,87;28,44;-714,40;-4,78;536,95;5m4d
 - ;LLIS3;25/04/2017;27/04/2017;2d;500;C;28,77;30,71;969,65;6,74;1.506,60;1m9d
 - ;LLIS3;13/10/2017;20/10/2017;7d;500;C;37,86;36,85;-507,90;-2,68;998,70;5m21d
 - ;LLIS3;04/09/2018;14/09/2018;10d;500;C;26,54;25,91;-317,80;-2,39;680,90;10m26d
 - ;LLIS3;05/10/2018;08/10/2018;3d;500;C;25,58;25,78;98,40;0,77;779,30;1m1d
