Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;LREN3;08/07/2005;11/07/2005;3d;500;C;0,89;0,90;4,65;1,05;4,65; - 
 - ;LREN3;19/09/2005;03/11/2005;1m15d;500;C;1,28;1,43;75,60;11,81;80,25;2m13d
 - ;LREN3;03/01/2006;04/01/2006;1d;500;C;1,78;1,99;105,45;11,86;185,70;3m16d
 - ;LREN3;20/03/2006;21/03/2006;1d;500;C;2,61;2,75;71,10;5,45;256,80;2m16d
 - ;LREN3;15/05/2006;19/05/2006;4d;500;C;2,96;2,77;-98,15;-6,62;158,65;1m26d
 - ;LREN3;14/08/2006;16/08/2006;2d;500;C;3,05;3,14;47,50;3,12;206,15;2m31d
 - ;LREN3;13/09/2006;14/09/2006;1d;500;C;3,13;3,24;54,25;3,46;260,40;30d
 - ;LREN3;19/09/2006;20/09/2006;1d;500;C;3,24;3,11;-63,35;-3,91;197,05;6d
 - ;LREN3;23/10/2006;26/10/2006;3d;500;C;3,26;3,16;-52,30;-3,20;144,75;1m4d
 - ;LREN3;20/12/2006;21/12/2006;1d;500;C;3,71;3,55;-83,05;-4,47;61,70;1m28d
 - ;LREN3;08/06/2007;13/06/2007;5d;500;C;3,92;3,80;-60,05;-3,07;1,65;5m20d
 - ;LREN3;26/06/2007;28/06/2007;2d;500;C;4,14;4,35;105,00;5,07;106,65;18d
 - ;LREN3;13/08/2007;14/08/2007;1d;500;C;4,32;3,99;-165,90;-7,68;-59,25;1m18d
 - ;LREN3;16/05/2008;23/05/2008;7d;500;C;4,97;4,69;-141,80;-5,70;-201,05;9m7d
 - ;LREN3;23/03/2009;24/03/2009;1d;500;C;2,01;1,90;-55,80;-5,54;-256,85;10m11d
 - ;LREN3;15/05/2009;18/05/2009;3d;500;C;2,74;2,94;100,20;7,31;-156,65;1m23d
 - ;LREN3;27/05/2009;20/07/2009;1m24d;500;C;2,89;3,12;113,15;7,83;-43,50;12d
 - ;LREN3;18/08/2009;19/08/2009;1d;500;C;3,59;3,77;88,55;4,93;45,05;2m23d
 - ;LREN3;01/09/2009;02/09/2009;1d;500;C;3,88;3,71;-80,95;-4,18;-35,90;14d
 - ;LREN3;11/09/2009;14/09/2009;3d;500;C;3,91;4,00;45,25;2,32;9,35;10d
 - ;LREN3;05/10/2009;06/10/2009;1d;500;C;4,05;4,28;113,15;5,58;122,50;24d
 - ;LREN3;01/12/2009;03/12/2009;2d;500;C;4,95;5,18;119,60;4,84;242,10;1m27d
 - ;LREN3;18/05/2010;20/05/2010;2d;500;C;5,65;5,36;-143,85;-5,09;98,25;5m18d
 - ;LREN3;27/05/2010;08/06/2010;12d;500;C;5,66;5,92;131,20;4,64;229,45;9d
 - ;LREN3;05/07/2010;14/07/2010;9d;500;C;6,44;6,62;87,90;2,73;317,35;1m9d
 - ;LREN3;23/08/2010;25/08/2010;2d;500;C;7,63;7,35;-142,35;-3,73;175,00;1m19d
 - ;LREN3;30/08/2010;31/08/2010;1d;500;C;7,30;7,54;119,20;3,27;294,20;7d
 - ;LREN3;16/09/2010;17/09/2010;1d;500;C;7,22;7,37;74,55;2,06;368,75;17d
 - ;LREN3;30/09/2010;01/10/2010;1d;500;C;7,57;7,69;57,95;1,53;426,70;14d
 - ;LREN3;01/12/2010;03/12/2010;2d;500;C;8,07;7,86;-100,40;-2,49;326,30;2m2d
 - ;LREN3;06/05/2011;10/05/2011;4d;500;C;7,94;8,25;157,05;3,96;483,35;5m6d
 - ;LREN3;13/05/2011;17/05/2011;4d;500;C;8,24;7,87;-188,35;-4,57;295,00;7d
 - ;LREN3;23/05/2011;26/05/2011;3d;500;C;7,73;7,95;111,35;2,88;406,35;10d
 - ;LREN3;21/06/2011;28/06/2011;7d;500;C;8,02;8,36;171,50;4,28;577,85;29d
 - ;LREN3;14/03/2012;15/03/2012;1d;500;C;9,29;8,96;-165,45;-3,56;412,40;8m27d
 - ;LREN3;17/04/2012;18/04/2012;1d;500;C;8,38;8,72;171,40;4,09;583,80;1m4d
 - ;LREN3;27/04/2012;30/04/2012;3d;500;C;8,43;8,66;117,55;2,79;701,35;10d
 - ;LREN3;10/05/2012;15/05/2012;5d;500;C;8,96;8,60;-179,15;-4,00;522,20;13d
 - ;LREN3;27/12/2012;15/01/2013;19d;500;C;11,48;11,21;-133,15;-2,32;389,05;7m21d
 - ;LREN3;17/01/2013;23/01/2013;6d;500;C;11,28;11,50;111,90;1,98;500,95;21d
 - ;LREN3;24/01/2013;05/02/2013;12d;500;C;11,51;11,22;-148,30;-2,58;352,65;7d
 - ;LREN3;07/02/2013;08/02/2013;1d;500;C;11,32;11,48;75,80;1,34;428,45;14d
 - ;LREN3;25/10/2013;29/10/2013;4d;500;C;10,20;9,96;-118,45;-2,32;310,00;8m20d
 - ;LREN3;04/07/2014;14/07/2014;10d;500;C;10,65;11,01;178,95;3,36;488,95;8m12d
 - ;LREN3;28/07/2014;30/07/2014;2d;500;C;10,88;10,63;-127,35;-2,34;361,60;24d
 - ;LREN3;18/08/2014;21/08/2014;3d;500;C;10,64;10,89;125,40;2,36;487,00;21d
 - ;LREN3;13/01/2015;23/01/2015;10d;500;C;11,32;10,95;-185,75;-3,28;301,25;4m28d
 - ;LREN3;22/04/2015;23/04/2015;1d;500;C;14,11;14,38;134,15;1,90;435,40;3m9d
 - ;LREN3;07/05/2015;08/05/2015;1d;500;C;16,14;17,48;670,10;8,30;1.105,50;15d
 - ;LREN3;29/05/2015;01/06/2015;3d;500;C;16,49;16,21;-139,95;-1,70;965,55;22d
 - ;LREN3;25/06/2015;26/06/2015;1d;500;C;17,20;17,64;222,70;2,59;1.188,25;27d
 - ;LREN3;13/07/2015;21/07/2015;8d;500;C;17,87;17,14;-365,50;-4,09;822,75;18d
 - ;LREN3;05/08/2015;06/08/2015;1d;500;C;16,24;15,59;-323,60;-3,99;499,15;23d
 - ;LREN3;27/04/2016;28/04/2016;1d;500;C;15,66;16,53;432,85;5,53;932,00;8m26d
 - ;LREN3;10/08/2016;11/08/2016;1d;500;C;21,41;20,98;-215,60;-2,01;716,40;3m15d
 - ;LREN3;12/08/2016;17/08/2016;5d;500;C;21,36;20,69;-333,55;-3,12;382,85;2d
 - ;LREN3;25/08/2016;29/08/2016;4d;500;C;19,84;20,38;268,20;2,70;651,05;13d
 - ;LREN3;04/10/2016;05/10/2016;1d;500;C;19,93;19,27;-328,60;-3,30;322,45;1m10d
 - ;LREN3;06/03/2017;09/03/2017;3d;500;C;20,69;19,95;-369,90;-3,58;-47,45;5m3d
 - ;LREN3;10/03/2017;15/03/2017;5d;500;C;20,73;21,58;424,15;4,09;376,70;4d
 - ;LREN3;24/03/2017;28/03/2017;4d;500;C;21,21;21,95;369,55;3,48;746,25;14d
 - ;LREN3;28/04/2017;02/05/2017;4d;500;C;23,30;24,13;411,00;3,53;1.157,25;1m5d
