Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;MGLU3;20/05/2011;23/05/2011;3d;500;C;0,46;0,45;-3,70;-1,61;-3,70; - 
 - ;MGLU3;27/05/2011;02/06/2011;6d;500;C;0,45;0,47;8,25;3,63;4,55;7d
 - ;MGLU3;11/04/2012;13/04/2012;2d;500;C;0,34;0,36;7,20;4,21;11,75;10m20d
 - ;MGLU3;01/11/2012;12/11/2012;11d;500;C;0,33;0,32;-7,20;-4,33;4,55;6m24d
 - ;MGLU3;07/11/2013;08/11/2013;1d;500;C;0,27;0,29;6,10;4,44;10,65;1y371d
 - ;MGLU3;06/12/2013;09/12/2013;3d;500;C;0,23;0,24;5,65;4,89;16,30;29d
 - ;MGLU3;01/08/2014;08/08/2014;7d;500;C;0,27;0,25;-7,15;-5,38;9,15;7m28d
 - ;MGLU3;15/04/2016;20/04/2016;5d;500;C;0,11;0,11;-1,45;-2,61;7,70;1y8m383d
 - ;MGLU3;27/04/2016;28/04/2016;1d;500;C;0,11;0,12;6,30;11,32;14,00;12d
 - ;MGLU3;17/05/2016;06/06/2016;20d;500;C;0,13;0,14;2,70;4,11;16,70;20d
 - ;MGLU3;29/08/2016;31/08/2016;2d;500;C;0,24;0,23;-4,70;-3,91;12,00;3m14d
 - ;MGLU3;19/09/2016;21/09/2016;2d;500;C;0,24;0,26;7,55;6,25;19,55;21d
 - ;MGLU3;18/11/2016;22/11/2016;4d;500;C;0,36;0,37;5,75;3,22;25,30;1m30d
 - ;MGLU3;14/12/2016;20/12/2016;6d;500;C;0,41;0,39;-7,35;-3,61;17,95;26d
 - ;MGLU3;29/12/2016;02/01/2017;4d;500;C;0,41;0,40;-4,90;-2,41;13,05;15d
 - ;MGLU3;10/03/2017;20/04/2017;1m11d;500;C;0,72;0,80;42,90;11,97;55,95;2m11d
 - ;MGLU3;07/06/2017;08/06/2017;1d;500;C;0,92;0,97;25,90;5,63;81,85;2m29d
 - ;MGLU3;14/06/2017;21/06/2017;7d;500;C;0,98;0,94;-19,65;-4,00;62,20;7d
 - ;MGLU3;26/06/2017;30/06/2017;4d;500;C;0,95;0,99;18,30;3,85;80,50;12d
 - ;MGLU3;21/08/2017;30/08/2017;9d;500;C;1,80;1,97;84,50;9,38;165,00;1m26d
 - ;MGLU3;22/09/2017;25/09/2017;3d;500;C;2,35;2,22;-64,30;-5,47;100,70;1m2d
 - ;MGLU3;16/03/2018;22/03/2018;6d;500;C;2,83;2,92;44,65;3,16;145,35;5m25d
 - ;MGLU3;29/03/2018;04/04/2018;6d;500;C;3,04;2,93;-53,90;-3,55;91,45;13d
 - ;MGLU3;10/07/2018;11/07/2018;1d;500;C;3,79;3,58;-103,35;-5,46;-11,90;3m13d
 - ;MGLU3;31/07/2018;01/08/2018;1d;500;C;4,09;4,16;38,25;1,87;26,35;21d
 - ;MGLU3;14/08/2018;16/08/2018;2d;500;C;4,38;4,22;-79,20;-3,61;-52,85;14d
 - ;MGLU3;23/08/2018;28/08/2018;5d;500;C;4,21;4,02;-94,60;-4,50;-147,45;9d
 - ;MGLU3;06/09/2018;13/09/2018;7d;500;C;3,80;3,62;-91,75;-4,83;-239,20;14d
 - ;MGLU3;08/01/2019;14/01/2019;6d;500;C;5,67;5,49;-87,85;-3,10;-327,05;4m4d
 - ;MGLU3;15/01/2019;16/01/2019;1d;500;C;5,58;5,46;-64,20;-2,30;-391,25;7d
 - ;MGLU3;08/03/2019;27/03/2019;19d;500;C;5,53;5,28;-123,00;-4,45;-514,25;1m22d
 - ;MGLU3;21/06/2019;03/07/2019;12d;500;C;6,57;6,76;92,80;2,82;-421,45;3m15d
 - ;MGLU3;17/09/2019;24/09/2019;7d;500;C;8,69;9,21;261,60;6,02;-159,85;2m28d
 - ;MGLU3;07/11/2019;08/11/2019;1d;500;C;11,30;10,83;-239,45;-4,24;-399,30;1m21d
 - ;MGLU3;02/03/2020;03/03/2020;1d;500;C;12,62;13,44;412,05;6,53;12,75;3m26d
 - ;MGLU3;30/06/2020;01/07/2020;1d;500;C;17,58;18,10;257,20;2,93;269,95;3m30d
 - ;MGLU3;06/07/2020;08/07/2020;2d;500;C;17,99;19,15;580,60;6,45;850,55;6d
 - ;MGLU3;22/09/2020;09/10/2020;17d;500;C;22,29;23,49;602,50;5,41;1.453,05;2m18d
