Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;MRFG3;30/08/2007;03/09/2007;4d;500;C;18,59;19,17;286,05;3,08;286,05; - 
 - ;MRFG3;24/09/2007;25/09/2007;1d;500;C;18,73;18,36;-185,10;-1,98;100,95;25d
 - ;MRFG3;11/10/2007;15/10/2007;4d;500;C;17,16;16,79;-187,90;-2,19;-86,95;17d
 - ;MRFG3;09/06/2008;10/06/2008;1d;500;C;21,71;20,69;-508,40;-4,68;-595,35;7m32d
 - ;MRFG3;11/06/2008;20/06/2008;9d;500;C;21,04;21,81;386,00;3,67;-209,35;2d
 - ;MRFG3;29/05/2009;01/06/2009;3d;500;C;14,18;15,34;579,00;8,16;369,65;11m22d
 - ;MRFG3;24/06/2009;26/06/2009;2d;500;C;14,16;15,03;439,05;6,20;808,70;26d
 - ;MRFG3;21/07/2009;04/08/2009;14d;500;C;15,44;16,36;458,35;5,94;1.267,05;27d
 - ;MRFG3;05/10/2009;06/10/2009;1d;500;C;16,26;17,24;492,10;6,05;1.759,15;2m16d
 - ;MRFG3;30/11/2009;08/12/2009;8d;500;C;19,19;20,24;521,10;5,43;2.280,25;1m26d
 - ;MRFG3;09/12/2011;14/12/2011;5d;500;C;8,61;9,07;230,00;5,34;2.510,25;2y739d
 - ;MRFG3;02/01/2012;03/01/2012;1d;500;C;8,54;8,94;200,00;4,68;2.710,25;24d
 - ;MRFG3;26/01/2012;31/01/2012;5d;500;C;8,13;7,83;-149,80;-3,69;2.560,45;24d
 - ;MRFG3;28/02/2012;01/03/2012;2d;500;C;10,14;11,15;505,00;9,96;3.065,45;1m3d
 - ;MRFG3;27/03/2012;03/04/2012;7d;500;C;11,24;12,05;405,00;7,21;3.470,45;28d
 - ;MRFG3;10/09/2012;13/09/2012;3d;500;C;10,78;11,40;310,00;5,75;3.780,45;5m17d
 - ;MRFG3;15/10/2012;23/10/2012;8d;500;C;11,94;10,45;-745,00;-12,48;3.035,45;1m5d
 - ;MRFG3;13/11/2012;14/11/2012;1d;500;C;10,88;10,58;-148,25;-2,73;2.887,20;29d
 - ;MRFG3;19/11/2012;23/11/2012;4d;500;C;11,20;12,20;500,00;8,93;3.387,20;6d
 - ;MRFG3;26/07/2013;02/08/2013;7d;500;C;7,39;7,05;-168,85;-4,57;3.218,35;8m9d
 - ;MRFG3;26/06/2014;27/06/2014;1d;500;C;5,60;5,74;70,00;2,50;3.288,35;11m5d
 - ;MRFG3;10/07/2014;14/07/2014;4d;500;C;5,93;6,07;70,00;2,36;3.358,35;14d
 - ;MRFG3;07/08/2014;14/08/2014;7d;500;C;6,70;6,38;-158,00;-4,72;3.200,35;28d
 - ;MRFG3;20/08/2014;21/08/2014;1d;500;C;6,31;6,64;165,00;5,23;3.365,35;13d
 - ;MRFG3;16/09/2014;18/09/2014;2d;500;C;7,20;6,79;-203,50;-5,65;3.161,85;27d
 - ;MRFG3;24/09/2014;01/10/2014;7d;500;C;6,86;6,39;-233,00;-6,79;2.928,85;8d
 - ;MRFG3;16/10/2015;21/10/2015;5d;500;C;6,48;6,19;-142,75;-4,41;2.786,10;1y387d
 - ;MRFG3;13/04/2016;26/04/2016;13d;500;C;6,54;6,20;-167,75;-5,13;2.618,35;5m30d
 - ;MRFG3;07/12/2016;19/12/2016;12d;500;C;6,69;6,12;-282,70;-8,45;2.335,65;7m28d
 - ;MRFG3;05/01/2017;06/01/2017;1d;500;C;6,63;6,37;-128,00;-3,86;2.207,65;29d
 - ;MRFG3;16/01/2017;26/01/2017;10d;500;C;6,20;6,42;110,00;3,55;2.317,65;11d
 - ;MRFG3;01/02/2017;03/02/2017;2d;500;C;6,53;6,75;110,00;3,37;2.427,65;16d
 - ;MRFG3;01/03/2017;14/03/2017;13d;500;C;6,34;5,90;-222,40;-7,02;2.205,25;28d
 - ;MRFG3;14/06/2017;16/06/2017;2d;500;C;6,51;6,75;120,00;3,69;2.325,25;3m15d
 - ;MRFG3;13/07/2017;17/07/2017;4d;500;C;6,85;6,71;-68,40;-2,00;2.256,85;29d
 - ;MRFG3;18/01/2018;22/01/2018;4d;500;C;6,85;6,68;-83,35;-2,43;2.173,50;6m9d
 - ;MRFG3;21/05/2018;23/05/2018;2d;500;C;7,93;8,47;270,00;6,81;2.443,50;4m3d
 - ;MRFG3;04/06/2018;07/06/2018;3d;500;C;8,07;7,55;-259,45;-6,43;2.184,05;14d
 - ;MRFG3;25/06/2018;04/07/2018;9d;500;C;8,17;8,60;215,00;5,26;2.399,05;21d
 - ;MRFG3;25/07/2018;30/07/2018;5d;500;C;8,07;8,29;110,00;2,73;2.509,05;30d
 - ;MRFG3;29/03/2019;05/04/2019;7d;500;C;5,98;6,26;140,00;4,68;2.649,05;8m7d
 - ;MRFG3;05/06/2019;12/06/2019;7d;500;C;6,82;6,45;-183,10;-5,37;2.465,95;2m8d
 - ;MRFG3;10/10/2019;29/10/2019;19d;500;C;11,64;11,04;-298,85;-5,13;2.167,10;4m7d
 - ;MRFG3;04/11/2019;07/11/2019;3d;500;C;10,98;11,33;175,00;3,19;2.342,10;25d
 - ;MRFG3;28/11/2019;03/12/2019;5d;500;C;11,00;11,37;185,00;3,36;2.527,10;24d
 - ;MRFG3;11/12/2019;17/12/2019;6d;500;C;11,20;10,77;-213,50;-3,81;2.313,60;13d
 - ;MRFG3;02/03/2020;03/03/2020;1d;500;C;12,28;13,13;425,00;6,92;2.738,60;2m22d
 - ;MRFG3;25/06/2020;01/07/2020;6d;500;C;12,93;12,24;-345,35;-5,34;2.393,25;3m25d
 - ;MRFG3;13/07/2020;14/07/2020;1d;500;C;13,62;12,90;-361,15;-5,30;2.032,10;18d
 - ;MRFG3;11/08/2020;13/08/2020;2d;500;C;14,27;14,97;350,00;4,91;2.382,10;29d
 - ;MRFG3;01/09/2020;02/09/2020;1d;500;C;17,87;17,41;-231,80;-2,59;2.150,30;21d
 - ;MRFG3;16/09/2020;23/09/2020;7d;500;C;17,14;15,86;-639,85;-7,47;1.510,45;15d
