Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;MRVE3;20/08/2007;01/10/2007;1m12d;500;C;5,18;5,96;392,35;15,16;392,35; - 
 - ;MRVE3;23/10/2007;25/10/2007;2d;500;C;6,14;5,81;-167,90;-5,46;224,45;2m4d
 - ;MRVE3;26/10/2007;05/11/2007;10d;500;C;6,13;6,53;201,05;6,56;425,50;3d
 - ;MRVE3;06/11/2007;14/11/2007;8d;500;C;6,58;7,18;301,10;9,15;726,60;11d
 - ;MRVE3;06/12/2007;12/12/2007;6d;500;C;7,44;6,84;-300,00;-8,06;426,60;30d
 - ;MRVE3;08/05/2008;21/05/2008;13d;500;C;6,81;6,34;-235,00;-6,90;191,60;5m4d
 - ;MRVE3;28/07/2008;04/08/2008;7d;500;C;6,28;5,97;-156,20;-4,97;35,40;2m21d
 - ;MRVE3;04/03/2009;09/03/2009;5d;500;C;1,80;1,63;-81,25;-9,05;-45,85;7m9d
 - ;MRVE3;17/06/2009;29/06/2009;12d;500;C;4,39;4,78;196,00;8,94;150,15;3m15d
 - ;MRVE3;10/07/2009;13/07/2009;3d;500;C;4,91;5,18;135,20;5,50;285,35;23d
 - ;MRVE3;12/08/2009;13/08/2009;1d;500;C;5,68;5,87;91,30;3,21;376,65;1m3d
 - ;MRVE3;15/09/2009;23/09/2009;8d;500;C;6,00;5,68;-155,70;-5,19;220,95;1m4d
 - ;MRVE3;25/09/2009;07/10/2009;12d;500;C;5,94;6,32;188,00;6,33;408,95;10d
 - ;MRVE3;23/10/2009;27/10/2009;4d;500;C;6,41;6,11;-148,20;-4,62;260,75;28d
 - ;MRVE3;30/11/2009;01/12/2009;1d;500;C;6,71;6,93;111,90;3,34;372,65;1m8d
 - ;MRVE3;23/12/2009;28/12/2009;5d;500;C;6,96;7,28;158,50;4,55;531,15;23d
 - ;MRVE3;26/02/2010;11/03/2010;13d;500;C;7,03;7,39;182,75;5,20;713,90;2m5d
 - ;MRVE3;02/08/2010;06/08/2010;4d;500;C;8,82;8,21;-303,00;-6,87;410,90;5m7d
 - ;MRVE3;01/10/2010;04/10/2010;3d;500;C;8,94;9,23;144,95;3,24;555,85;1m30d
 - ;MRVE3;30/11/2010;02/12/2010;2d;500;C;9,26;9,67;205,15;4,43;761,00;1m30d
 - ;MRVE3;20/06/2011;22/06/2011;2d;500;C;7,73;7,47;-129,60;-3,35;631,40;6m22d
 - ;MRVE3;21/03/2012;22/03/2012;1d;500;C;8,04;7,61;-213,70;-5,32;417,70;9m5d
 - ;MRVE3;27/02/2013;28/02/2013;1d;500;C;7,06;7,40;171,60;4,86;589,30;11m13d
 - ;MRVE3;07/03/2013;08/03/2013;1d;500;C;6,86;6,53;-162,35;-4,73;426,95;8d
 - ;MRVE3;12/03/2013;13/03/2013;1d;500;C;6,57;6,83;128,00;3,89;554,95;5d
 - ;MRVE3;24/09/2013;07/10/2013;13d;500;C;5,45;5,84;196,45;7,21;751,40;6m16d
 - ;MRVE3;11/08/2014;12/08/2014;1d;500;C;4,69;4,77;37,90;1,62;789,30;10m21d
