Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;NTCO3;11/06/2004;15/06/2004;4d;500;C;2,78;2,89;53,45;3,84;53,45; - 
 - ;NTCO3;21/06/2004;23/06/2004;2d;500;C;2,84;2,80;-17,25;-1,22;36,20;10d
 - ;NTCO3;24/06/2004;25/06/2004;1d;500;C;2,84;2,89;24,75;1,74;60,95;3d
 - ;NTCO3;07/07/2004;12/07/2004;5d;500;C;3,02;3,11;45,80;3,03;106,75;13d
 - ;NTCO3;27/12/2004;28/12/2004;1d;500;C;4,56;4,84;137,15;6,01;243,90;5m23d
 - ;NTCO3;06/01/2005;10/01/2005;4d;500;C;4,50;4,37;-66,75;-2,97;177,15;10d
 - ;NTCO3;28/04/2005;29/04/2005;1d;500;C;4,56;4,81;124,90;5,48;302,05;3m22d
 - ;NTCO3;05/08/2005;11/08/2005;6d;500;C;5,01;4,82;-94,35;-3,77;207,70;3m9d
 - ;NTCO3;17/10/2005;27/10/2005;10d;500;C;5,30;5,52;107,70;4,06;315,40;2m13d
 - ;NTCO3;28/11/2005;29/11/2005;1d;500;C;5,97;6,07;47,65;1,60;363,05;1m12d
 - ;NTCO3;05/01/2006;06/01/2006;1d;500;C;6,87;7,32;222,40;6,47;585,45;1m8d
 - ;NTCO3;20/01/2006;27/01/2006;7d;500;C;7,41;7,68;133,60;3,60;719,05;15d
 - ;NTCO3;17/02/2006;20/02/2006;3d;500;C;7,65;7,93;136,80;3,57;855,85;28d
 - ;NTCO3;13/03/2006;14/03/2006;1d;500;C;7,71;7,50;-106,95;-2,77;748,90;24d
 - ;NTCO3;15/03/2006;20/03/2006;5d;500;C;7,69;8,01;158,45;4,12;907,35;2d
 - ;NTCO3;11/04/2006;13/04/2006;2d;500;C;8,42;8,08;-170,50;-4,05;736,85;27d
 - ;NTCO3;04/09/2006;11/09/2006;7d;500;C;8,98;8,69;-142,40;-3,17;594,45;4m26d
