Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;OIBR3;13/03/2002;03/04/2002;21d;500;C;31,60;29,17;-1.215,15;-7,69;-1.215,15; - 
 - ;OIBR3;04/06/2003;05/06/2003;1d;500;C;42,94;44,82;940,85;4,38;-274,30;1y2m388d
 - ;OIBR3;01/07/2003;16/07/2003;15d;500;C;41,91;40,30;-803,20;-3,83;-1.077,50;27d
 - ;OIBR3;23/07/2003;28/07/2003;5d;500;C;41,06;39,45;-802,10;-3,91;-1.879,60;22d
 - ;OIBR3;30/09/2003;01/10/2003;1d;500;C;42,77;44,48;855,30;4,00;-1.024,30;2m9d
 - ;OIBR3;29/10/2003;31/10/2003;2d;500;C;44,82;45,85;513,20;2,29;-511,10;29d
 - ;OIBR3;13/11/2003;28/11/2003;15d;500;C;46,84;48,51;838,25;3,58;327,15;15d
 - ;OIBR3;15/09/2004;16/09/2004;1d;500;C;42,24;40,83;-703,95;-3,33;-376,80;10m7d
 - ;OIBR3;15/08/2005;25/08/2005;10d;500;C;57,45;63,42;2.984,50;10,39;2.607,70;10m34d
 - ;OIBR3;17/01/2007;21/03/2007;2m3d;500;C;107,54;117,50;4.978,65;9,26;7.586,35;1y5m370d
 - ;OIBR3;09/05/2008;12/05/2008;3d;500;C;202,49;197,77;-2.357,05;-2,33;5.229,30;1y3m388d
 - ;OIBR3;21/01/2009;27/02/2009;1m7d;500;C;238,14;253,79;7.825,20;6,57;13.054,50;8m17d
 - ;OIBR3;22/11/2010;23/11/2010;1d;500;C;66,70;62,18;-2.262,95;-6,78;10.791,55;1y10m370d
 - ;OIBR3;16/03/2011;25/03/2011;9d;500;C;73,62;74,99;683,70;1,86;11.475,25;3m24d
 - ;OIBR3;01/06/2011;08/06/2011;7d;500;C;78,09;74,35;-1.866,80;-4,78;9.608,45;2m17d
 - ;OIBR3;19/04/2012;23/04/2012;4d;500;C;60,26;63,23;1.487,20;4,94;11.095,65;10m23d
 - ;OIBR3;25/09/2012;28/09/2012;3d;500;C;66,35;63,47;-1.438,95;-4,34;9.656,70;5m9d
 - ;OIBR3;01/10/2013;02/10/2013;1d;500;C;34,11;35,23;559,70;3,28;10.216,40;1y371d
 - ;OIBR3;28/07/2016;11/08/2016;14d;500;C;2,22;2,40;89,55;8,08;10.305,95;2y9m761d
 - ;OIBR3;21/09/2016;05/10/2016;14d;500;C;2,63;2,93;149,25;11,33;10.455,20;1m25d
 - ;OIBR3;03/11/2016;08/11/2016;5d;500;C;2,66;2,46;-96,35;-7,25;10.358,85;1m13d
 - ;OIBR3;21/08/2017;24/08/2017;3d;500;C;3,06;3,10;22,40;1,46;10.381,25;9m21d
 - ;OIBR3;03/04/2019;12/04/2019;9d;500;C;1,55;1,70;75,00;9,68;10.456,25;1y7m380d
 - ;OIBR3;17/04/2019;23/04/2019;6d;500;C;1,67;1,76;45,00;5,39;10.501,25;14d
 - ;OIBR3;02/03/2020;06/03/2020;4d;500;C;1,01;0,94;-36,20;-7,17;10.465,05;10m20d
 - ;OIBR3;09/07/2020;10/07/2020;1d;500;C;1,22;1,19;-16,50;-2,70;10.448,55;4m9d
 - ;OIBR3;13/07/2020;20/07/2020;7d;500;C;1,19;1,30;55,00;9,24;10.503,55;4d
 - ;OIBR3;13/08/2020;20/08/2020;7d;500;C;1,62;1,51;-56,90;-7,02;10.446,65;1m1d
 - ;OIBR3;21/08/2020;24/08/2020;3d;500;C;1,61;1,72;55,00;6,83;10.501,65;8d
 - ;OIBR3;18/09/2020;21/09/2020;3d;500;C;1,84;1,72;-60,00;-6,52;10.441,65;28d
 - ;OIBR3;06/10/2020;14/10/2020;8d;500;C;1,71;1,66;-27,05;-3,16;10.414,60;18d
