Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;PETR4;02/03/2001;14/03/2001;12d;500;C;3,42;3,30;-58,30;-3,41;-58,30; - 
 - ;PETR4;24/04/2001;26/04/2001;2d;500;C;3,24;3,45;102,35;6,31;44,05;1m23d
 - ;PETR4;06/07/2001;12/07/2001;6d;500;C;3,45;3,57;61,95;3,59;106,00;2m13d
 - ;PETR4;11/04/2002;12/04/2002;1d;500;C;3,82;3,73;-45,10;-2,36;60,90;9m9d
 - ;PETR4;24/04/2002;25/04/2002;1d;500;C;3,84;3,73;-54,95;-2,86;5,95;13d
 - ;PETR4;05/06/2002;06/06/2002;1d;500;C;3,77;3,67;-48,75;-2,59;-42,80;1m12d
 - ;PETR4;19/12/2002;20/12/2002;1d;500;C;3,17;3,39;111,30;7,03;68,50;6m17d
 - ;PETR4;21/05/2003;06/06/2003;16d;500;C;3,83;3,93;52,25;2,73;120,75;5m3d
 - ;PETR4;12/06/2003;20/06/2003;8d;500;C;3,87;3,75;-56,25;-2,91;64,50;22d
 - ;PETR4;27/06/2003;30/06/2003;3d;500;C;3,64;3,68;21,65;1,19;86,15;15d
 - ;PETR4;29/07/2003;01/08/2003;3d;500;C;4,07;3,99;-39,25;-1,93;46,90;1m2d
 - ;PETR4;21/08/2003;28/08/2003;7d;500;C;4,19;4,29;46,85;2,24;93,75;23d
 - ;PETR4;11/09/2003;22/09/2003;11d;500;C;4,64;4,46;-89,90;-3,88;3,85;21d
 - ;PETR4;30/09/2003;01/10/2003;1d;500;C;4,40;4,49;46,85;2,13;50,70;19d
 - ;PETR4;21/10/2003;23/10/2003;2d;500;C;4,68;4,52;-79,30;-3,39;-28,60;21d
 - ;PETR4;27/10/2003;12/11/2003;16d;500;C;4,64;4,82;86,85;3,74;58,25;6d
 - ;PETR4;17/12/2003;18/12/2003;1d;500;C;5,50;5,63;65,95;2,40;124,20;1m21d
 - ;PETR4;19/01/2004;20/01/2004;1d;500;C;6,33;6,57;116,85;3,69;241,05;1m3d
 - ;PETR4;09/02/2004;11/02/2004;2d;500;C;6,15;6,55;199,45;6,48;440,50;21d
 - ;PETR4;18/02/2004;19/02/2004;1d;500;C;6,45;6,28;-85,15;-2,64;355,35;9d
 - ;PETR4;17/03/2004;18/03/2004;1d;500;C;6,22;6,41;93,50;3,01;448,85;28d
 - ;PETR4;26/03/2004;31/03/2004;5d;500;C;6,24;6,39;73,15;2,34;522,00;9d
 - ;PETR4;03/09/2004;14/09/2004;11d;500;C;6,38;6,53;76,00;2,38;598,00;5m11d
 - ;PETR4;21/10/2004;08/11/2004;18d;500;C;7,40;7,59;98,30;2,66;696,30;1m18d
 - ;PETR4;01/12/2004;02/12/2004;1d;500;C;7,36;7,48;59,20;1,61;755,50;1m11d
 - ;PETR4;09/12/2004;10/12/2004;1d;500;C;7,36;7,23;-62,35;-1,69;693,15;8d
 - ;PETR4;17/03/2005;23/03/2005;6d;500;C;8,40;8,03;-183,80;-4,38;509,35;3m8d
