Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;POMO3;13/03/2003;08/12/2003;8m30d;500;C;0,11;0,13;8,45;14,77;8,45; - 
 - ;POMO3;30/07/2007;02/08/2007;3d;500;C;1,06;1,00;-31,15;-5,86;-22,70;4y4m1480d
 - ;POMO3;07/08/2007;15/08/2007;8d;500;C;1,05;0,98;-34,05;-6,49;-56,75;8d
 - ;POMO3;20/08/2007;31/08/2007;11d;500;C;0,95;1,02;36,45;7,69;-20,30;13d
 - ;POMO3;19/06/2009;10/07/2009;21d;500;C;0,73;0,68;-25,95;-7,12;-46,25;1y9m399d
 - ;POMO3;13/07/2009;27/07/2009;14d;500;C;0,69;0,75;28,35;8,24;-17,90;24d
 - ;POMO3;15/10/2009;30/10/2009;15d;500;C;0,88;0,82;-29,70;-6,77;-47,60;3m4d
 - ;POMO3;09/11/2009;11/11/2009;2d;500;C;0,85;0,88;13,95;3,29;-33,65;25d
 - ;POMO3;08/03/2010;12/03/2010;4d;500;C;1,15;1,12;-17,75;-3,08;-51,40;3m29d
 - ;POMO3;21/06/2010;23/06/2010;2d;500;C;1,27;1,23;-18,95;-2,99;-70,35;3m15d
 - ;POMO3;01/07/2010;02/07/2010;1d;500;C;1,26;1,28;8,75;1,39;-61,60;10d
 - ;POMO3;13/07/2010;14/07/2010;1d;500;C;1,31;1,33;7,85;1,20;-53,75;12d
 - ;POMO3;20/07/2010;23/07/2010;3d;500;C;1,33;1,36;17,50;2,63;-36,25;7d
 - ;POMO3;26/01/2011;28/01/2011;2d;500;C;2,27;2,12;-76,55;-6,75;-112,80;6m10d
 - ;POMO3;13/05/2011;16/05/2011;3d;500;C;2,52;2,43;-49,50;-3,92;-162,30;3m17d
 - ;POMO3;20/05/2011;23/05/2011;3d;500;C;2,38;2,33;-25,20;-2,12;-187,50;7d
 - ;POMO3;25/11/2011;30/11/2011;5d;500;C;2,43;2,52;43,15;3,55;-144,35;6m9d
 - ;POMO3;01/02/2012;02/02/2012;1d;500;C;2,51;2,56;25,50;2,03;-118,85;2m8d
 - ;POMO3;20/03/2012;21/03/2012;1d;500;C;3,05;3,09;17,65;1,16;-101,20;1m18d
 - ;POMO3;24/04/2012;25/04/2012;1d;500;C;3,29;3,43;69,00;4,19;-32,20;1m5d
 - ;POMO3;18/06/2012;20/06/2012;2d;500;C;3,25;3,15;-49,30;-3,04;-81,50;1m25d
 - ;POMO3;21/09/2012;25/09/2012;4d;500;C;4,06;3,99;-32,75;-1,61;-114,25;3m5d
 - ;POMO3;11/10/2012;15/10/2012;4d;500;C;3,97;4,00;11,90;0,60;-102,35;20d
 - ;POMO3;28/01/2013;15/02/2013;18d;500;C;4,86;4,77;-48,55;-2,00;-150,90;3m19d
 - ;POMO3;21/02/2013;01/03/2013;8d;500;C;4,80;4,98;87,15;3,63;-63,75;24d
 - ;POMO3;30/04/2013;02/05/2013;2d;500;C;5,08;5,16;42,70;1,68;-21,05;2m8d
 - ;POMO3;13/04/2016;29/04/2016;16d;500;C;1,86;1,73;-68,15;-7,31;-89,20;2y11m749d
 - ;POMO3;24/08/2016;25/08/2016;1d;500;C;2,52;2,33;-92,40;-7,35;-181,60;4m13d
 - ;POMO3;29/08/2016;06/09/2016;8d;500;C;2,42;2,29;-64,45;-5,33;-246,05;5d
 - ;POMO3;02/03/2017;08/03/2017;6d;500;C;2,16;2,10;-30,40;-2,81;-276,45;6m5d
 - ;POMO3;17/03/2017;21/03/2017;4d;500;C;2,12;2,02;-48,80;-4,61;-325,25;15d
 - ;POMO3;24/03/2017;06/04/2017;13d;500;C;2,07;1,99;-39,45;-3,81;-364,70;7d
 - ;POMO3;04/10/2017;06/10/2017;2d;500;C;3,34;3,49;74,00;4,43;-290,70;6m14d
 - ;POMO3;05/03/2018;07/03/2018;2d;500;C;3,10;3,00;-45,85;-2,96;-336,55;4m32d
 - ;POMO3;29/03/2018;04/04/2018;6d;500;C;2,93;2,85;-36,30;-2,48;-372,85;24d
 - ;POMO3;07/12/2018;10/12/2018;3d;500;C;2,91;2,86;-22,30;-1,53;-395,15;8m13d
 - ;POMO3;15/01/2019;01/02/2019;17d;500;C;3,16;3,06;-52,10;-3,29;-447,25;1m9d
 - ;POMO3;05/08/2019;06/08/2019;1d;500;C;3,41;3,53;58,35;3,42;-388,90;6m22d
 - ;POMO3;14/08/2019;15/08/2019;1d;500;C;3,57;3,42;-72,35;-4,06;-461,25;9d
 - ;POMO3;13/09/2019;16/09/2019;3d;500;C;3,27;3,19;-38,05;-2,33;-499,30;30d
 - ;POMO3;05/12/2019;06/12/2019;1d;500;C;3,29;3,33;19,60;1,19;-479,70;2m23d
 - ;POMO3;31/01/2020;05/02/2020;5d;500;C;4,37;4,68;156,80;7,18;-322,90;1m27d
 - ;POMO3;20/07/2020;23/07/2020;3d;500;C;2,82;2,77;-23,45;-1,66;-346,35;5m21d
