Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;PSSA3;29/11/2004;30/11/2004;1d;500;C;3,15;3,09;-29,25;-1,86;-29,25; - 
 - ;PSSA3;15/12/2004;21/12/2004;6d;500;C;3,17;3,09;-40,75;-2,57;-70,00;16d
 - ;PSSA3;27/12/2004;28/12/2004;1d;500;C;3,16;3,24;40,95;2,60;-29,05;12d
 - ;PSSA3;14/01/2005;18/01/2005;4d;500;C;3,77;3,64;-64,30;-3,41;-93,35;18d
 - ;PSSA3;24/01/2005;26/01/2005;2d;500;C;3,57;3,62;25,60;1,44;-67,75;10d
 - ;PSSA3;02/02/2005;03/02/2005;1d;500;C;3,62;3,72;51,20;2,83;-16,55;9d
 - ;PSSA3;23/02/2005;28/02/2005;5d;500;C;4,35;4,20;-73,55;-3,38;-90,10;21d
 - ;PSSA3;18/03/2005;05/04/2005;18d;500;C;4,26;4,60;169,80;7,96;79,70;23d
 - ;PSSA3;14/12/2005;15/12/2005;1d;500;C;4,37;4,54;84,65;3,88;164,35;8m31d
 - ;PSSA3;01/03/2006;06/03/2006;5d;500;C;5,75;5,99;116,90;4,06;281,25;2m17d
 - ;PSSA3;19/05/2006;22/05/2006;3d;500;C;7,64;7,01;-314,65;-8,23;-33,40;2m19d
 - ;PSSA3;14/12/2006;21/12/2006;7d;500;C;10,77;11,13;179,45;3,33;146,05;6m29d
 - ;PSSA3;01/02/2007;02/02/2007;1d;500;C;12,83;13,16;169,10;2,64;315,15;1m19d
 - ;PSSA3;09/03/2007;16/03/2007;7d;500;C;12,55;13,01;229,70;3,66;544,85;1m6d
 - ;PSSA3;09/04/2007;10/04/2007;1d;500;C;12,57;12,74;82,70;1,32;627,55;1m1d
 - ;PSSA3;26/04/2007;27/04/2007;1d;500;C;12,96;12,73;-111,50;-1,72;516,05;17d
 - ;PSSA3;04/05/2007;07/05/2007;3d;500;C;12,86;13,09;114,85;1,79;630,90;8d
 - ;PSSA3;21/06/2007;22/06/2007;1d;500;C;14,39;14,23;-81,20;-1,13;549,70;1m18d
 - ;PSSA3;16/02/2009;20/02/2009;4d;500;C;7,68;7,26;-206,75;-5,39;342,95;1y7m396d
 - ;PSSA3;27/05/2009;29/05/2009;2d;500;C;8,17;8,46;148,20;3,63;491,15;3m10d
 - ;PSSA3;05/06/2009;12/06/2009;7d;500;C;8,66;8,93;133,70;3,09;624,85;9d
