Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;PTBL3;28/08/2003;01/09/2003;4d;500;C;0,30;0,33;15,20;10,25;15,20; - 
 - ;PTBL3;08/09/2009;16/09/2009;8d;500;C;0,91;0,94;19,05;4,21;34,25;6y2203d
 - ;PTBL3;25/09/2009;29/09/2009;4d;500;C;0,97;0,99;11,40;2,36;45,65;17d
 - ;PTBL3;05/10/2009;15/10/2009;10d;500;C;0,98;1,02;19,05;3,88;64,70;10d
 - ;PTBL3;05/03/2010;08/03/2010;3d;500;C;1,50;1,37;-62,60;-8,35;2,10;4m31d
 - ;PTBL3;12/08/2010;16/08/2010;4d;500;C;1,24;1,30;30,40;4,90;32,50;5m10d
 - ;PTBL3;23/08/2010;24/08/2010;1d;500;C;1,30;1,26;-20,60;-3,17;11,90;11d
 - ;PTBL3;21/10/2010;05/11/2010;15d;500;C;1,33;1,37;19,05;2,86;30,95;1m29d
 - ;PTBL3;19/11/2010;23/11/2010;4d;500;C;1,48;1,44;-17,05;-2,31;13,90;29d
 - ;PTBL3;24/11/2010;06/12/2010;12d;500;C;1,49;1,58;45,65;6,12;59,55;5d
 - ;PTBL3;27/12/2010;30/12/2010;3d;500;C;1,47;1,53;30,40;4,14;89,95;1m3d
 - ;PTBL3;06/01/2011;07/01/2011;1d;500;C;1,52;1,48;-20,85;-2,74;69,10;10d
 - ;PTBL3;19/01/2011;04/02/2011;16d;500;C;1,48;1,42;-28,40;-3,85;40,70;13d
 - ;PTBL3;17/01/2012;19/01/2012;2d;500;C;1,26;1,29;19,00;3,03;59,70;11m33d
 - ;PTBL3;22/02/2012;27/02/2012;5d;500;C;1,26;1,29;15,20;2,41;74,90;1m6d
 - ;PTBL3;26/03/2012;27/03/2012;1d;500;C;1,44;1,47;15,25;2,12;90,15;1m3d
 - ;PTBL3;04/06/2012;05/06/2012;1d;500;C;1,45;1,52;38,05;5,27;128,20;2m10d
 - ;PTBL3;14/09/2012;24/09/2012;10d;500;C;2,13;2,27;72,25;6,78;200,45;3m12d
 - ;PTBL3;28/09/2012;07/11/2012;1m10d;500;C;2,24;2,32;38,05;3,39;238,50;14d
 - ;PTBL3;01/02/2013;22/02/2013;21d;500;C;3,28;3,38;53,95;3,29;292,45;4m6d
 - ;PTBL3;26/03/2013;28/03/2013;2d;500;C;3,78;3,88;50,10;2,65;342,55;1m23d
 - ;PTBL3;02/05/2013;06/05/2013;4d;500;C;4,43;4,28;-74,75;-3,37;267,80;1m7d
 - ;PTBL3;15/05/2013;23/05/2013;8d;500;C;4,24;3,88;-180,10;-8,50;87,70;13d
 - ;PTBL3;07/06/2013;11/06/2013;4d;500;C;4,12;3,99;-67,30;-3,27;20,40;23d
 - ;PTBL3;25/10/2013;28/10/2013;3d;500;C;3,78;3,95;86,60;4,58;107,00;4m20d
 - ;PTBL3;07/11/2013;18/11/2013;11d;500;C;4,08;3,91;-83,60;-4,10;23,40;13d
 - ;PTBL3;25/11/2013;26/11/2013;1d;500;C;3,93;3,86;-32,40;-1,65;-9,00;18d
 - ;PTBL3;08/05/2014;13/05/2014;5d;500;C;4,17;4,27;52,70;2,53;43,70;5m14d
 - ;PTBL3;16/05/2014;19/05/2014;3d;500;C;4,22;4,37;73,00;3,46;116,70;8d
 - ;PTBL3;02/06/2014;03/06/2014;1d;500;C;4,46;4,31;-74,30;-3,33;42,40;17d
 - ;PTBL3;30/06/2014;04/07/2014;4d;500;C;4,09;4,20;52,70;2,57;95,10;28d
 - ;PTBL3;14/07/2014;22/07/2014;8d;500;C;4,13;4,26;60,85;2,94;155,95;14d
 - ;PTBL3;20/10/2014;21/10/2014;1d;500;C;4,00;3,83;-86,45;-4,32;69,50;3m8d
 - ;PTBL3;20/05/2016;27/05/2016;7d;500;C;2,27;2,12;-75,05;-6,61;-5,55;1y6m398d
 - ;PTBL3;15/09/2016;30/09/2016;15d;500;C;2,53;2,44;-43,80;-3,47;-49,35;3m28d
 - ;PTBL3;17/10/2016;20/10/2016;3d;500;C;2,45;2,41;-21,10;-1,72;-70,45;1m2d
 - ;PTBL3;01/03/2017;02/03/2017;1d;500;C;2,49;2,41;-39,20;-3,15;-109,65;4m15d
 - ;PTBL3;10/03/2017;13/03/2017;3d;500;C;2,37;2,47;49,75;4,20;-59,90;9d
 - ;PTBL3;24/03/2017;02/05/2017;1m9d;500;C;2,53;2,69;81,45;6,45;21,55;14d
 - ;PTBL3;14/07/2017;17/07/2017;3d;500;C;3,05;3,13;40,75;2,67;62,30;3m22d
 - ;PTBL3;30/08/2017;01/09/2017;2d;500;C;3,81;3,90;46,05;2,42;108,35;1m17d
 - ;PTBL3;21/09/2017;25/09/2017;4d;500;C;4,52;4,59;36,80;1,63;145,15;22d
 - ;PTBL3;13/10/2017;16/10/2017;3d;500;C;5,04;4,93;-56,80;-2,25;88,35;22d
 - ;PTBL3;03/11/2017;07/11/2017;4d;500;C;5,62;5,29;-163,10;-5,81;-74,75;21d
 - ;PTBL3;11/01/2018;19/01/2018;8d;500;C;5,29;5,08;-107,65;-4,07;-182,40;2m9d
 - ;PTBL3;22/11/2018;27/11/2018;5d;500;C;4,66;4,49;-87,00;-3,73;-269,40;10m15d
 - ;PTBL3;28/11/2018;29/11/2018;1d;500;C;4,58;4,69;57,45;2,51;-211,95;6d
 - ;PTBL3;12/12/2018;17/12/2018;5d;500;C;4,74;4,90;81,40;3,43;-130,55;14d
 - ;PTBL3;08/01/2019;15/01/2019;7d;500;C;5,27;5,45;90,95;3,45;-39,60;27d
 - ;PTBL3;21/10/2019;22/10/2019;1d;500;C;3,95;4,08;64,05;3,24;24,45;9m16d
 - ;PTBL3;30/10/2019;04/11/2019;5d;500;C;3,96;4,01;24,65;1,24;49,10;9d
 - ;PTBL3;22/11/2019;25/11/2019;3d;500;C;3,95;4,01;29,55;1,50;78,65;23d
 - ;PTBL3;02/12/2019;03/12/2019;1d;500;C;4,00;4,07;34,45;1,72;113,10;10d
 - ;PTBL3;19/12/2019;20/12/2019;1d;500;C;4,95;5,07;59,15;2,39;172,25;17d
 - ;PTBL3;29/01/2020;30/01/2020;1d;500;C;6,39;5,94;-224,30;-7,02;-52,05;1m11d
 - ;PTBL3;03/02/2020;04/02/2020;1d;500;C;5,89;6,11;108,40;3,68;56,35;5d
 - ;PTBL3;15/07/2020;23/07/2020;8d;500;C;4,72;4,37;-175,45;-7,43;-119,10;5m13d
 - ;PTBL3;27/07/2020;03/08/2020;7d;500;C;4,48;4,78;150,00;6,70;30,90;12d
 - ;PTBL3;08/09/2020;14/09/2020;6d;500;C;5,19;5,61;210,00;8,09;240,90;1m13d
