Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;RADL3;11/06/2008;13/06/2008;2d;500;C;0,87;0,85;-8,55;-1,97;-8,55; - 
 - ;RADL3;27/06/2008;01/07/2008;4d;500;C;0,87;0,85;-6,85;-1,58;-15,40;16d
 - ;RADL3;04/07/2008;15/07/2008;11d;500;C;0,86;0,80;-27,50;-6,40;-42,90;7d
 - ;RADL3;17/07/2009;28/07/2009;11d;500;C;1,12;1,16;20,90;3,74;-22,00;1y378d
 - ;RADL3;11/08/2009;13/08/2009;2d;500;C;1,17;1,21;17,90;3,06;-4,10;25d
 - ;RADL3;02/09/2009;04/09/2009;2d;500;C;1,27;1,28;7,45;1,17;3,35;22d
 - ;RADL3;08/09/2009;09/09/2009;1d;500;C;1,31;1,37;28,35;4,33;31,70;6d
 - ;RADL3;07/12/2009;08/12/2009;1d;500;C;1,52;1,56;23,40;3,08;55,10;2m30d
 - ;RADL3;09/02/2010;12/04/2010;2m2d;500;C;1,70;1,62;-41,15;-4,83;13,95;2m4d
 - ;RADL3;22/06/2010;25/06/2010;3d;500;C;2,02;2,07;25,75;2,55;39,70;4m13d
 - ;RADL3;29/07/2010;30/07/2010;1d;500;C;2,13;2,19;31,30;2,94;71,00;1m7d
 - ;RADL3;19/08/2010;23/08/2010;4d;500;C;2,24;2,27;15,15;1,36;86,15;21d
 - ;RADL3;09/02/2012;15/02/2012;6d;500;C;2,80;2,86;27,90;1,99;114,05;1y5m389d
 - ;RADL3;27/03/2012;13/04/2012;17d;500;C;3,29;3,45;80,15;4,87;194,20;1m17d
 - ;RADL3;09/05/2012;10/05/2012;1d;500;C;3,80;3,95;74,55;3,92;268,75;1m13d
 - ;RADL3;05/06/2012;08/06/2012;3d;500;C;3,51;3,67;76,45;4,35;345,20;27d
 - ;RADL3;18/06/2012;21/06/2012;3d;500;C;3,63;3,78;79,25;4,37;424,45;13d
 - ;RADL3;04/07/2012;05/07/2012;1d;500;C;3,90;4,12;111,25;5,70;535,70;16d
 - ;RADL3;09/08/2012;10/08/2012;1d;500;C;4,32;4,23;-43,60;-2,02;492,10;1m6d
 - ;RADL3;25/09/2012;07/11/2012;1m13d;500;C;4,38;4,11;-131,65;-6,02;360,45;1m17d
 - ;RADL3;09/11/2012;13/11/2012;4d;500;C;4,20;4,10;-52,00;-2,47;308,45;1m15d
 - ;RADL3;19/12/2012;02/01/2013;14d;500;C;4,36;4,44;42,20;1,94;350,65;1m10d
 - ;RADL3;13/05/2014;03/06/2014;21d;500;C;3,59;3,44;-76,10;-4,24;274,55;1y4m390d
 - ;RADL3;16/06/2014;27/06/2014;11d;500;C;3,66;3,47;-97,90;-5,34;176,65;1m4d
 - ;RADL3;01/07/2014;03/07/2014;2d;500;C;3,53;3,60;38,85;2,20;215,50;15d
 - ;RADL3;08/08/2014;11/08/2014;3d;500;C;3,83;3,95;57,80;3,02;273,30;1m8d
 - ;RADL3;04/09/2014;15/09/2014;11d;500;C;4,10;3,90;-100,65;-4,91;172,65;27d
 - ;RADL3;16/09/2014;22/09/2014;6d;500;C;4,01;3,86;-75,00;-3,74;97,65;12d
 - ;RADL3;27/10/2014;07/11/2014;11d;500;C;4,27;4,51;122,60;5,75;220,25;1m11d
 - ;RADL3;24/11/2014;09/12/2014;15d;500;C;4,71;4,45;-129,20;-5,49;91,05;28d
 - ;RADL3;19/01/2015;22/01/2015;3d;500;C;5,14;4,94;-98,65;-3,84;-7,60;1m26d
 - ;RADL3;26/01/2015;27/01/2015;1d;500;C;4,95;4,84;-58,50;-2,36;-66,10;7d
 - ;RADL3;05/03/2015;06/03/2015;1d;500;C;5,37;5,22;-75,35;-2,81;-141,45;1m8d
 - ;RADL3;12/03/2015;13/03/2015;1d;500;C;5,18;5,08;-47,45;-1,83;-188,90;7d
 - ;RADL3;14/04/2015;15/04/2015;1d;500;C;5,99;6,14;74,75;2,50;-114,15;1m3d
 - ;RADL3;22/04/2015;27/04/2015;5d;500;C;6,03;6,29;131,35;4,36;17,20;8d
 - ;RADL3;15/05/2015;18/05/2015;3d;500;C;7,12;7,32;99,70;2,80;116,90;23d
 - ;RADL3;21/05/2015;29/05/2015;8d;500;C;7,17;6,91;-132,35;-3,69;-15,45;6d
 - ;RADL3;12/06/2015;15/06/2015;3d;500;C;6,98;7,17;94,90;2,72;79,45;22d
 - ;RADL3;30/07/2015;19/08/2015;20d;500;C;8,07;7,64;-215,20;-5,34;-135,75;1m18d
 - ;RADL3;11/09/2015;15/09/2015;4d;500;C;7,67;8,04;183,55;4,79;47,80;1m13d
 - ;RADL3;02/12/2015;14/12/2015;12d;500;C;7,82;7,44;-192,40;-4,92;-144,60;2m22d
 - ;RADL3;10/05/2016;12/05/2016;2d;500;C;10,61;10,88;135,60;2,56;-9,00;5m10d
 - ;RADL3;16/06/2016;21/06/2016;5d;500;C;11,69;12,02;167,55;2,87;158,55;1m7d
 - ;RADL3;04/08/2016;05/08/2016;1d;500;C;12,73;12,99;130,05;2,04;288,60;1m19d
 - ;RADL3;18/08/2016;24/08/2016;6d;500;C;11,91;11,30;-306,25;-5,14;-17,65;14d
 - ;RADL3;07/11/2016;09/11/2016;2d;500;C;13,20;12,88;-162,00;-2,45;-179,65;2m21d
 - ;RADL3;10/11/2016;11/11/2016;1d;500;C;13,16;12,55;-306,45;-4,66;-486,10;3d
 - ;RADL3;16/11/2016;01/12/2016;15d;500;C;12,85;12,25;-303,15;-4,72;-789,25;6d
 - ;RADL3;19/06/2017;28/06/2017;9d;500;C;14,06;13,70;-180,30;-2,56;-969,55;7m5d
 - ;RADL3;21/07/2017;24/07/2017;3d;500;C;13,75;13,94;94,90;1,38;-874,65;1m2d
 - ;RADL3;10/08/2017;11/08/2017;1d;500;C;13,66;13,49;-85,40;-1,25;-960,05;20d
 - ;RADL3;16/10/2017;17/10/2017;1d;500;C;15,52;15,13;-191,45;-2,47;-1.151,50;2m7d
 - ;RADL3;17/11/2017;21/11/2017;4d;500;C;15,99;16,99;499,90;6,25;-651,60;1m2d
 - ;RADL3;07/12/2017;14/12/2017;7d;500;C;17,25;16,76;-242,50;-2,81;-894,10;20d
 - ;RADL3;15/12/2017;20/12/2017;5d;500;C;17,14;17,53;197,00;2,30;-697,10;8d
 - ;RADL3;05/01/2018;10/01/2018;5d;500;C;17,51;17,13;-190,30;-2,17;-887,40;21d
 - ;RADL3;01/08/2018;02/08/2018;1d;500;C;14,76;15,39;314,30;4,26;-573,10;6m28d
 - ;RADL3;09/08/2018;22/08/2018;13d;500;C;15,04;15,37;168,45;2,24;-404,65;8d
 - ;RADL3;13/09/2018;14/09/2018;1d;500;C;14,65;15,01;175,40;2,39;-229,25;1m5d
 - ;RADL3;11/03/2019;10/06/2019;2m31d;500;C;13,28;14,24;481,80;7,26;252,55;5m29d
 - ;RADL3;25/06/2019;26/06/2019;1d;500;C;14,95;14,57;-189,80;-2,54;62,75;3m16d
 - ;RADL3;27/06/2019;28/06/2019;1d;500;C;14,60;15,12;259,15;3,55;321,90;2d
 - ;RADL3;25/07/2019;26/07/2019;1d;500;C;15,87;16,36;245,40;3,09;567,30;28d
 - ;RADL3;10/09/2019;11/09/2019;1d;500;C;18,14;18,41;131,10;1,45;698,40;1m17d
 - ;RADL3;17/09/2019;24/09/2019;7d;500;C;18,47;18,85;186,75;2,02;885,15;7d
 - ;RADL3;02/10/2019;03/10/2019;1d;500;C;19,14;18,60;-271,05;-2,83;614,10;15d
 - ;RADL3;04/10/2019;07/10/2019;3d;500;C;19,14;20,32;591,90;6,19;1.206,00;2d
 - ;RADL3;13/12/2019;16/12/2019;3d;500;C;20,67;21,31;319,70;3,09;1.525,70;2m10d
 - ;RADL3;20/12/2019;26/12/2019;6d;500;C;21,10;21,66;276,90;2,62;1.802,60;7d
 - ;RADL3;17/02/2020;19/02/2020;2d;500;C;24,48;23,62;-431,00;-3,52;1.371,60;1m29d
 - ;RADL3;20/02/2020;21/02/2020;1d;500;C;24,00;23,45;-276,40;-2,30;1.095,20;3d
 - ;RADL3;02/03/2020;05/03/2020;3d;500;C;23,89;25,84;976,15;8,17;2.071,35;11d
 - ;RADL3;15/07/2020;20/07/2020;5d;500;C;22,33;22,86;265,70;2,38;2.337,05;4m15d
