Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;RAIL3;19/04/2005;25/04/2005;6d;500;C;24,14;23,74;-196,20;-1,63;-196,20; - 
 - ;RAIL3;27/04/2005;09/05/2005;12d;500;C;24,14;23,58;-279,25;-2,31;-475,45;8d
 - ;RAIL3;25/05/2005;27/05/2005;2d;500;C;23,30;22,15;-577,10;-4,95;-1.052,55;28d
 - ;RAIL3;07/06/2005;15/07/2005;1m8d;500;C;23,64;22,25;-693,70;-5,87;-1.746,25;13d
 - ;RAIL3;21/02/2006;22/02/2006;1d;500;C;40,89;42,12;616,45;3,02;-1.129,80;8m19d
 - ;RAIL3;09/03/2006;23/03/2006;14d;500;C;43,18;46,70;1.762,75;8,16;632,95;16d
 - ;RAIL3;06/04/2006;20/04/2006;14d;500;C;44,35;43,24;-556,00;-2,51;76,95;28d
 - ;RAIL3;03/05/2006;04/05/2006;1d;500;C;44,68;50,02;2.667,50;11,94;2.744,45;27d
 - ;RAIL3;14/06/2006;16/06/2006;2d;500;C;46,68;44,60;-1.039,55;-4,45;1.704,90;1m12d
 - ;RAIL3;08/09/2006;11/09/2006;3d;500;C;59,59;57,21;-1.188,70;-3,99;516,20;2m26d
 - ;RAIL3;01/12/2006;04/12/2006;3d;500;C;64,69;62,53;-1.078,65;-3,33;-562,45;2m24d
 - ;RAIL3;28/06/2007;29/06/2007;1d;500;C;83,46;88,13;2.336,90;5,60;1.774,45;6m29d
 - ;RAIL3;13/06/2008;24/06/2008;11d;500;C;76,05;69,90;-3.071,85;-8,08;-1.297,40;11m21d
 - ;RAIL3;24/06/2009;25/06/2009;1d;500;C;40,06;41,30;624,30;3,12;-673,10;1y376d
 - ;RAIL3;15/10/2009;20/10/2009;5d;500;C;45,66;44,67;-494,70;-2,17;-1.167,80;3m23d
 - ;RAIL3;30/11/2009;03/12/2009;3d;500;C;53,79;51,40;-1.194,85;-4,44;-2.362,65;1m16d
 - ;RAIL3;20/01/2010;21/01/2010;1d;500;C;55,85;52,54;-1.651,85;-5,92;-4.014,50;1m21d
 - ;RAIL3;08/02/2010;09/02/2010;1d;500;C;52,95;50,52;-1.210,65;-4,57;-5.225,15;19d
 - ;RAIL3;17/08/2010;18/08/2010;1d;500;C;53,12;55,11;995,60;3,75;-4.229,55;6m10d
 - ;RAIL3;01/09/2010;03/09/2010;2d;500;C;55,35;57,54;1.096,85;3,96;-3.132,70;15d
 - ;RAIL3;08/10/2010;14/10/2010;6d;500;C;61,73;59,96;-885,10;-2,87;-4.017,80;1m7d
