Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;RENT3;02/06/2005;23/06/2005;21d;500;C;0,82;0,85;18,10;4,43;18,10; - 
 - ;RENT3;20/09/2005;21/09/2005;1d;500;C;1,17;1,20;12,60;2,15;30,70;3m20d
 - ;RENT3;23/02/2006;02/03/2006;7d;500;C;2,66;2,77;57,75;4,35;88,45;5m6d
 - ;RENT3;18/04/2006;19/04/2006;1d;500;C;2,76;3,03;135,15;9,79;223,60;1m24d
 - ;RENT3;18/05/2006;22/05/2006;4d;500;C;3,14;2,95;-94,65;-6,03;128,95;30d
 - ;RENT3;27/09/2006;02/10/2006;5d;500;C;3,34;3,52;91,65;5,49;220,60;4m12d
 - ;RENT3;18/10/2006;19/10/2006;1d;500;C;3,64;3,78;69,90;3,84;290,50;21d
 - ;RENT3;28/11/2006;29/11/2006;1d;500;C;4,12;4,29;87,90;4,27;378,40;1m11d
 - ;RENT3;04/12/2006;05/12/2006;1d;500;C;4,14;4,26;59,20;2,86;437,60;6d
 - ;RENT3;08/12/2006;11/12/2006;3d;500;C;4,29;4,45;80,90;3,78;518,50;4d
 - ;RENT3;02/02/2007;05/02/2007;3d;500;C;4,75;4,69;-33,15;-1,39;485,35;1m26d
 - ;RENT3;07/02/2007;08/02/2007;1d;500;C;4,61;4,78;86,25;3,74;571,60;5d
 - ;RENT3;30/04/2007;07/05/2007;7d;500;C;4,85;5,09;120,70;4,97;692,30;2m22d
 - ;RENT3;16/05/2007;17/05/2007;1d;500;C;5,16;5,39;113,75;4,41;806,05;16d
 - ;RENT3;21/05/2007;25/05/2007;4d;500;C;5,30;4,86;-216,20;-8,16;589,85;5d
 - ;RENT3;31/05/2007;06/06/2007;6d;500;C;5,14;4,90;-122,25;-4,75;467,60;10d
 - ;RENT3;26/06/2007;29/06/2007;3d;500;C;5,02;5,16;70,80;2,82;538,40;26d
 - ;RENT3;09/04/2008;14/04/2008;5d;500;C;4,29;3,98;-156,70;-7,30;381,70;9m18d
 - ;RENT3;18/04/2008;30/04/2008;12d;500;C;4,23;4,47;117,50;5,55;499,20;9d
 - ;RENT3;26/02/2009;27/02/2009;1d;500;C;1,97;1,86;-56,00;-5,69;443,20;10m14d
 - ;RENT3;05/06/2009;17/06/2009;12d;500;C;3,00;2,76;-121,30;-8,08;321,90;3m9d
 - ;RENT3;18/06/2009;01/07/2009;13d;500;C;2,82;2,96;68,55;4,86;390,45;13d
 - ;RENT3;13/07/2009;21/07/2009;8d;500;C;2,90;3,13;119,55;8,26;510,00;25d
 - ;RENT3;06/08/2009;07/08/2009;1d;500;C;3,63;3,74;55,50;3,06;565,50;24d
 - ;RENT3;04/09/2009;08/09/2009;4d;500;C;3,98;4,15;84,55;4,24;650,05;29d
 - ;RENT3;15/09/2009;16/09/2009;1d;500;C;4,15;4,37;111,05;5,35;761,10;11d
 - ;RENT3;01/10/2009;02/10/2009;1d;500;C;4,33;4,42;49,50;2,29;810,60;16d
 - ;RENT3;05/10/2009;02/12/2009;1m28d;500;C;4,53;4,90;185,20;8,17;995,80;4d
 - ;RENT3;05/08/2010;13/08/2010;8d;500;C;5,97;5,69;-142,45;-4,77;853,35;9m34d
 - ;RENT3;30/08/2010;01/09/2010;2d;500;C;5,88;6,15;134,10;4,56;987,45;25d
 - ;RENT3;08/09/2010;13/09/2010;5d;500;C;5,97;6,21;120,70;4,04;1.108,15;9d
 - ;RENT3;22/10/2010;25/10/2010;3d;500;C;7,28;6,85;-211,40;-5,81;896,75;1m14d
 - ;RENT3;09/11/2010;10/11/2010;1d;500;C;7,14;6,63;-258,95;-7,25;637,80;18d
 - ;RENT3;12/11/2010;23/11/2010;11d;500;C;6,71;6,40;-155,80;-4,64;482,00;3d
 - ;RENT3;09/12/2010;10/12/2010;1d;500;C;6,69;6,49;-102,20;-3,05;379,80;27d
 - ;RENT3;13/05/2011;18/05/2011;5d;500;C;6,82;6,65;-82,40;-2,42;297,40;5m5d
 - ;RENT3;13/06/2011;15/06/2011;2d;500;C;6,82;7,02;100,05;2,94;397,45;1m1d
 - ;RENT3;21/06/2011;28/06/2011;7d;500;C;6,67;6,84;83,95;2,52;481,40;8d
 - ;RENT3;13/07/2011;15/07/2011;2d;500;C;6,62;6,41;-104,55;-3,16;376,85;22d
 - ;RENT3;09/01/2012;13/01/2012;4d;500;C;6,62;6,38;-121,20;-3,66;255,65;5m30d
 - ;RENT3;10/02/2012;13/02/2012;3d;500;C;7,53;7,34;-97,55;-2,59;158,10;1m2d
 - ;RENT3;27/03/2012;02/04/2012;6d;500;C;8,35;8,70;177,10;4,24;335,20;1m16d
 - ;RENT3;17/04/2012;18/04/2012;1d;500;C;8,06;8,42;179,55;4,46;514,75;21d
 - ;RENT3;03/05/2012;04/05/2012;1d;500;C;8,26;7,93;-163,95;-3,97;350,80;16d
 - ;RENT3;10/09/2012;17/09/2012;7d;500;C;8,96;9,28;156,90;3,50;507,70;4m10d
 - ;RENT3;21/09/2012;17/10/2012;26d;500;C;8,97;8,68;-148,95;-3,32;358,75;11d
 - ;RENT3;29/10/2012;31/10/2012;2d;500;C;8,72;8,92;101,90;2,34;460,65;1m8d
 - ;RENT3;29/11/2012;14/12/2012;15d;500;C;9,16;9,43;138,35;3,02;599,00;1m1d
 - ;RENT3;25/02/2013;27/02/2013;2d;500;C;9,32;9,60;137,40;2,95;736,40;2m28d
 - ;RENT3;11/03/2013;25/03/2013;14d;500;C;9,38;9,10;-139,95;-2,98;596,45;14d
 - ;RENT3;27/09/2013;30/09/2013;3d;500;C;9,05;8,79;-129,40;-2,86;467,05;6m20d
 - ;RENT3;02/10/2013;07/10/2013;5d;500;C;8,93;8,68;-126,85;-2,84;340,20;5d
 - ;RENT3;08/10/2013;09/10/2013;1d;500;C;8,96;9,26;149,35;3,34;489,55;6d
 - ;RENT3;30/10/2013;01/11/2013;2d;500;C;9,69;9,85;84,00;1,73;573,55;22d
 - ;RENT3;14/11/2013;18/11/2013;4d;500;C;9,14;9,29;74,40;1,63;647,95;15d
 - ;RENT3;25/11/2013;03/12/2013;8d;500;C;9,39;9,07;-157,50;-3,36;490,45;11d
 - ;RENT3;09/05/2014;12/05/2014;3d;500;C;9,63;9,88;123,95;2,57;614,40;5m15d
 - ;RENT3;22/05/2014;26/05/2014;4d;500;C;10,26;9,93;-164,20;-3,20;450,20;13d
 - ;RENT3;25/06/2014;26/06/2014;1d;500;C;10,45;10,29;-79,75;-1,53;370,45;1m4d
 - ;RENT3;11/08/2014;13/08/2014;2d;500;C;10,27;10,56;145,10;2,83;515,55;1m17d
 - ;RENT3;02/09/2014;08/09/2014;6d;500;C;11,30;10,86;-217,30;-3,85;298,25;22d
 - ;RENT3;11/09/2014;12/09/2014;1d;500;C;10,63;10,22;-206,75;-3,89;91,50;9d
 - ;RENT3;16/06/2016;17/06/2016;1d;500;C;9,52;9,93;201,55;4,23;293,05;1y9m374d
 - ;RENT3;07/07/2016;08/07/2016;1d;500;C;9,69;9,91;111,30;2,30;404,35;21d
 - ;RENT3;19/09/2016;20/09/2016;1d;500;C;11,60;11,90;153,25;2,64;557,60;2m14d
 - ;RENT3;22/09/2016;27/09/2016;5d;500;C;12,08;11,42;-329,50;-5,46;228,10;3d
 - ;RENT3;14/10/2016;17/10/2016;3d;500;C;12,21;11,75;-229,45;-3,76;-1,35;22d
 - ;RENT3;19/10/2016;20/10/2016;1d;500;C;11,90;12,15;127,65;2,15;126,30;5d
 - ;RENT3;28/03/2017;31/03/2017;3d;500;C;12,36;12,15;-104,55;-1,69;21,75;5m10d
 - ;RENT3;12/04/2017;17/04/2017;5d;500;C;12,71;13,10;199,20;3,14;220,95;15d
 - ;RENT3;24/04/2017;26/04/2017;2d;500;C;12,99;12,67;-160,90;-2,48;60,05;12d
