Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;RAPT3;30/07/2007;16/08/2007;17d;500;C;6,26;5,40;-428,35;-13,69;-428,35; - 
 - ;RAPT3;11/12/2009;22/12/2009;11d;500;C;5,33;5,13;-103,05;-3,86;-531,40;2y4m745d
 - ;RAPT3;17/03/2010;23/03/2010;6d;500;C;5,30;5,13;-86,60;-3,27;-618,00;3m6d
 - ;RAPT3;07/04/2010;09/04/2010;2d;500;C;5,34;5,13;-103,05;-3,86;-721,05;21d
 - ;RAPT3;20/10/2010;26/10/2010;6d;500;C;6,40;6,60;100,60;3,14;-620,45;6m16d
 - ;RAPT3;02/04/2013;08/04/2013;6d;500;C;6,80;6,39;-202,35;-5,95;-822,80;2y5m745d
 - ;RAPT3;09/04/2013;10/04/2013;1d;500;C;6,82;7,34;259,40;7,61;-563,40;7d
 - ;RAPT3;08/05/2013;09/05/2013;1d;500;C;6,91;6,94;13,65;0,40;-549,75;29d
 - ;RAPT3;11/08/2014;25/08/2014;14d;500;C;4,96;5,18;108,10;4,36;-441,65;1y3m370d
 - ;RAPT3;19/04/2016;25/04/2016;6d;500;C;1,92;1,81;-53,25;-5,55;-494,90;1y8m377d
 - ;RAPT3;10/05/2016;04/07/2016;1m25d;500;C;2,02;2,20;88,05;8,72;-406,85;21d
 - ;RAPT3;11/08/2016;25/08/2016;14d;500;C;3,22;3,00;-105,75;-6,58;-512,60;3m3d
 - ;RAPT3;29/08/2016;14/09/2016;16d;500;C;2,96;2,82;-68,45;-4,63;-581,05;18d
 - ;RAPT3;29/09/2016;30/09/2016;1d;500;C;2,83;3,01;92,70;6,56;-488,35;1m1d
 - ;RAPT3;28/03/2017;29/03/2017;1d;500;C;2,91;2,95;18,55;1,27;-469,80;5m30d
 - ;RAPT3;30/03/2017;12/05/2017;1m13d;500;C;3,00;3,34;166,85;11,11;-302,95;2d
 - ;RAPT3;04/10/2017;05/10/2017;1d;500;C;5,34;5,51;84,35;3,16;-218,60;6m8d
 - ;RAPT3;22/11/2017;23/11/2017;1d;500;C;4,97;5,02;23,45;0,94;-195,15;1m19d
 - ;RAPT3;28/02/2018;07/03/2018;7d;500;C;6,55;6,37;-92,40;-2,82;-287,55;3m8d
 - ;RAPT3;27/03/2018;29/03/2018;2d;500;C;6,19;6,47;140,65;4,55;-146,90;27d
 - ;RAPT3;19/04/2018;27/04/2018;8d;500;C;5,95;6,13;93,75;3,15;-53,15;23d
 - ;RAPT3;27/12/2018;11/01/2019;15d;500;C;6,25;6,67;210,25;6,73;157,10;8m12d
 - ;RAPT3;17/04/2019;18/04/2019;1d;500;C;7,12;6,88;-118,50;-3,33;38,60;3m21d
 - ;RAPT3;02/12/2019;05/12/2019;3d;500;C;8,78;9,05;136,85;3,12;175,45;7m19d
 - ;RAPT3;28/01/2020;29/01/2020;1d;500;C;11,65;11,01;-316,10;-5,43;-140,65;1m27d
 - ;RAPT3;04/02/2020;26/02/2020;22d;500;C;11,25;10,40;-424,35;-7,54;-565,00;7d
 - ;RAPT3;01/07/2020;02/07/2020;1d;500;C;8,18;8,47;148,70;3,64;-416,30;4m28d
 - ;RAPT3;20/07/2020;12/08/2020;23d;500;C;9,32;8,71;-303,30;-6,51;-719,60;19d
 - ;RAPT3;20/08/2020;15/09/2020;26d;500;C;9,21;9,92;355,00;7,71;-364,60;1m1d
 - ;RAPT3;01/10/2020;05/10/2020;4d;500;C;9,55;9,95;200,00;4,19;-164,60;1m12d
