Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;SANB3;11/04/2007;26/04/2007;15d;500;C;1,99;2,13;73,55;7,41;73,55; - 
 - ;SANB3;16/05/2007;22/05/2007;6d;500;C;2,01;1,96;-26,95;-2,68;46,60;1m5d
 - ;SANB3;28/05/2007;22/06/2007;25d;500;C;2,08;2,22;67,45;6,47;114,05;12d
 - ;SANB3;12/08/2009;18/08/2009;6d;500;C;3,18;3,04;-73,00;-4,59;41,05;2y2m747d
 - ;SANB3;29/09/2009;07/10/2009;8d;500;C;3,32;3,18;-73,15;-4,40;-32,10;1m18d
 - ;SANB3;15/10/2009;20/10/2009;5d;500;C;3,04;2,90;-72,85;-4,79;-104,95;16d
 - ;SANB3;06/11/2009;18/11/2009;12d;500;C;2,77;3,04;138,40;10,00;33,45;22d
 - ;SANB3;13/01/2010;18/01/2010;5d;500;C;3,47;3,32;-76,50;-4,41;-43,05;2m8d
 - ;SANB3;12/02/2010;28/04/2010;2m15d;500;C;3,18;2,89;-148,30;-9,32;-191,35;30d
 - ;SANB3;06/05/2010;07/05/2010;1d;500;C;3,04;2,88;-79,55;-5,24;-270,90;2m23d
 - ;SANB3;11/08/2010;12/08/2010;1d;500;C;3,81;3,64;-83,85;-4,41;-354,75;3m7d
 - ;SANB3;13/08/2010;15/09/2010;1m3d;500;C;3,81;3,48;-162,90;-8,56;-517,65;2d
 - ;SANB3;29/09/2010;30/09/2010;1d;500;C;3,81;3,98;82,90;4,35;-434,75;1m17d
 - ;SANB3;26/10/2010;22/11/2010;27d;500;C;4,64;4,13;-253,85;-10,94;-688,60;27d
 - ;SANB3;07/11/2011;16/11/2011;9d;500;C;3,34;3,11;-115,25;-6,90;-803,85;1y377d
 - ;SANB3;20/12/2011;22/12/2011;2d;500;C;3,12;3,34;111,35;7,14;-692,50;1m13d
 - ;SANB3;12/01/2012;13/01/2012;1d;500;C;3,58;3,82;119,25;6,66;-573,25;23d
 - ;SANB3;17/01/2012;18/01/2012;1d;500;C;3,58;3,82;119,25;6,66;-454,00;5d
 - ;SANB3;26/01/2012;13/02/2012;18d;500;C;3,82;4,06;119,30;6,25;-334,70;9d
 - ;SANB3;29/02/2012;02/03/2012;2d;500;C;4,29;4,53;119,30;5,56;-215,40;1m4d
 - ;SANB3;29/03/2012;30/03/2012;1d;500;C;4,06;4,29;119,30;5,88;-96,10;29d
 - ;SANB3;20/08/2012;05/09/2012;16d;500;C;4,64;4,08;-278,10;-11,99;-374,20;4m24d
 - ;SANB3;14/09/2012;25/09/2012;11d;500;C;4,91;4,36;-278,45;-11,33;-652,65;25d
 - ;SANB3;27/09/2012;28/09/2012;1d;500;C;4,37;4,64;136,50;6,25;-516,15;13d
 - ;SANB3;11/10/2012;19/10/2012;8d;500;C;4,37;4,07;-150,70;-6,90;-666,85;14d
 - ;SANB3;04/02/2013;28/05/2013;3m23d;500;C;4,70;5,33;313,55;13,33;-353,30;3m26d
 - ;SANB3;03/06/2013;20/06/2013;17d;500;C;5,04;4,69;-173,90;-6,90;-527,20;3m29d
 - ;SANB3;24/09/2013;27/09/2013;3d;500;C;4,76;5,10;170,05;7,14;-357,15;3m23d
 - ;SANB3;10/10/2013;22/11/2013;1m13d;500;C;5,14;4,79;-177,45;-6,90;-534,60;16d
 - ;SANB3;28/11/2013;03/01/2014;1m6d;500;C;5,14;4,45;-348,50;-13,55;-883,10;1m19d
 - ;SANB3;13/01/2014;16/01/2014;3d;500;C;4,88;4,52;-180,10;-7,37;-1.063,20;1m16d
 - ;SANB3;01/07/2014;27/08/2014;1m27d;500;C;5,78;6,06;139,40;4,83;-923,80;5m19d
 - ;SANB3;04/09/2014;17/09/2014;13d;500;C;5,95;6,10;75,35;2,53;-848,45;2m5d
 - ;SANB3;30/06/2015;13/07/2015;13d;500;C;7,13;7,36;114,95;3,23;-733,50;9m29d
 - ;SANB3;15/12/2015;17/12/2015;2d;500;C;6,78;7,08;153,25;4,52;-580,25;5m18d
 - ;SANB3;28/12/2015;29/12/2015;1d;500;C;6,86;7,19;169,40;4,94;-410,85;13d
 - ;SANB3;19/04/2016;22/04/2016;3d;500;C;7,98;7,71;-135,70;-3,40;-546,55;3m23d
 - ;SANB3;23/08/2016;24/08/2016;1d;500;C;10,91;11,06;76,05;1,39;-470,50;4m6d
 - ;SANB3;22/12/2016;26/12/2016;4d;500;C;14,78;15,21;211,20;2,86;-259,30;3m31d
 - ;SANB3;01/02/2017;02/02/2017;1d;500;C;17,60;18,15;273,60;3,11;14,30;1m11d
 - ;SANB3;21/02/2017;22/02/2017;1d;500;C;18,81;19,28;238,90;2,54;253,20;20d
 - ;SANB3;01/03/2017;03/03/2017;2d;500;C;18,59;18,94;173,70;1,87;426,90;8d
 - ;SANB3;14/03/2017;15/03/2017;1d;500;C;17,37;16,73;-320,65;-3,69;106,25;13d
 - ;SANB3;16/03/2017;17/03/2017;1d;500;C;17,50;16,56;-472,45;-5,40;-366,20;2d
 - ;SANB3;30/08/2017;01/09/2017;2d;500;C;14,96;14,44;-258,60;-3,46;-624,80;5m17d
 - ;SANB3;08/01/2018;10/01/2018;2d;500;C;16,32;16,67;175,55;2,15;-449,25;4m11d
 - ;SANB3;07/02/2018;09/02/2018;2d;500;C;18,70;17,89;-407,30;-4,36;-856,55;30d
 - ;SANB3;15/03/2018;16/03/2018;1d;500;C;19,02;19,80;389,40;4,10;-467,15;1m6d
 - ;SANB3;06/09/2018;10/09/2018;4d;500;C;16,97;17,50;269,20;3,17;-197,95;5m25d
 - ;SANB3;14/09/2018;17/09/2018;3d;500;C;16,99;17,56;282,95;3,33;85,00;8d
 - ;SANB3;26/09/2018;27/09/2018;1d;500;C;17,43;17,97;269,20;3,09;354,20;12d
 - ;SANB3;17/10/2018;18/10/2018;1d;500;C;19,77;19,08;-344,30;-3,48;9,90;21d
 - ;SANB3;15/02/2019;21/02/2019;6d;500;C;23,76;22,61;-576,30;-4,85;-566,40;3m31d
 - ;SANB3;12/11/2019;13/11/2019;1d;500;C;24,43;23,74;-348,00;-2,85;-914,40;8m30d
 - ;SANB3;19/11/2019;27/11/2019;8d;500;C;24,32;23,23;-546,85;-4,50;-1.461,25;7d
 - ;SANB3;17/12/2019;19/12/2019;2d;500;C;24,02;25,24;608,00;5,06;-853,25;28d
 - ;SANB3;13/07/2020;14/07/2020;1d;500;C;14,37;13,96;-201,45;-2,80;-1.054,70;6m29d
 - ;SANB3;15/07/2020;17/07/2020;2d;500;C;14,09;14,48;198,85;2,82;-855,85;2d
 - ;SANB3;27/07/2020;28/07/2020;1d;500;C;14,32;14,72;203,80;2,85;-652,05;12d
