Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;SMLS3;22/05/2013;23/05/2013;1d;500;C;12,96;13,43;237,75;3,67;237,75; - 
 - ;SMLS3;08/07/2013;22/07/2013;14d;500;C;13,08;14,01;464,70;7,11;702,45;1m17d
 - ;SMLS3;06/09/2013;10/09/2013;4d;500;C;15,02;15,89;435,05;5,79;1.137,50;1m30d
 - ;SMLS3;18/09/2013;25/09/2013;7d;500;C;15,24;15,76;259,90;3,41;1.397,40;12d
 - ;SMLS3;27/11/2013;02/12/2013;5d;500;C;18,12;17,64;-241,00;-2,66;1.156,40;2m10d
 - ;SMLS3;10/03/2014;12/03/2014;2d;500;C;20,37;21,13;383,00;3,76;1.539,40;3m13d
 - ;SMLS3;24/03/2014;25/03/2014;1d;500;C;20,88;20,39;-244,40;-2,34;1.295,00;14d
 - ;SMLS3;26/03/2014;27/03/2014;1d;500;C;20,43;20,00;-216,55;-2,12;1.078,45;2d
 - ;SMLS3;01/04/2014;02/04/2014;1d;500;C;19,86;21,39;766,05;7,71;1.844,50;6d
 - ;SMLS3;23/05/2014;06/06/2014;14d;500;C;22,96;23,85;446,10;3,89;2.290,60;1m22d
 - ;SMLS3;11/07/2014;16/07/2014;5d;500;C;25,88;24,90;-487,35;-3,77;1.803,25;1m19d
 - ;SMLS3;12/11/2014;30/01/2015;2m19d;500;C;32,15;30,16;-998,05;-6,21;805,20;4m4d
 - ;SMLS3;05/03/2015;11/03/2015;6d;500;C;32,57;33,64;534,20;3,28;1.339,40;3m23d
 - ;SMLS3;22/04/2015;30/04/2015;8d;500;C;38,00;36,69;-653,65;-3,44;685,75;1m18d
 - ;SMLS3;05/05/2015;21/05/2015;16d;500;C;37,69;36,22;-735,30;-3,90;-49,55;13d
 - ;SMLS3;17/06/2015;01/07/2015;14d;500;C;36,86;37,77;454,00;2,46;404,45;1m13d
 - ;SMLS3;01/06/2016;06/06/2016;5d;500;C;31,35;33,16;906,10;5,78;1.310,55;11m20d
 - ;SMLS3;14/06/2016;16/06/2016;2d;500;C;35,27;33,48;-898,00;-5,09;412,55;13d
 - ;SMLS3;01/08/2016;22/08/2016;21d;500;C;40,49;38,35;-1.066,00;-5,27;-653,45;1m18d
 - ;SMLS3;21/10/2016;24/10/2016;3d;500;C;44,62;45,40;390,35;1,75;-263,10;2m21d
 - ;SMLS3;12/04/2017;13/04/2017;1d;500;C;53,95;52,48;-737,60;-2,73;-1.000,70;5m23d
 - ;SMLS3;28/04/2017;03/05/2017;5d;500;C;56,34;58,50;1.078,25;3,83;77,55;16d
 - ;SMLS3;06/06/2017;07/06/2017;1d;500;C;52,31;54,98;1.335,30;5,11;1.412,85;1m9d
 - ;SMLS3;22/02/2019;06/03/2019;12d;500;C;44,05;40,55;-1.753,25;-7,96;-340,40;1y8m386d
 - ;SMLS3;08/03/2019;11/03/2019;3d;500;C;40,98;41,90;456,30;2,23;115,90;14d
 - ;SMLS3;29/03/2019;16/04/2019;18d;500;C;41,64;43,72;1.039,95;4,99;1.155,85;21d
 - ;SMLS3;18/06/2019;19/06/2019;1d;500;C;43,54;41,49;-1.027,95;-4,72;127,90;2m21d
 - ;SMLS3;10/07/2020;13/07/2020;3d;500;C;14,20;14,56;179,40;2,53;307,30;1y388d
 - ;SMLS3;05/08/2020;07/08/2020;2d;500;C;14,65;15,55;450,00;6,14;757,30;26d
