Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;SQIA3;11/02/2014;12/02/2014;1d;500;C;2,28;2,26;-7,40;-0,65;-7,40; - 
 - ;SQIA3;18/02/2014;19/02/2014;1d;500;C;2,17;2,13;-19,85;-1,83;-27,25;7d
 - ;SQIA3;19/03/2014;21/03/2014;2d;500;C;1,73;1,75;9,15;1,06;-18,10;29d
 - ;SQIA3;16/04/2014;14/05/2014;28d;500;C;1,86;1,95;48,05;5,17;29,95;28d
 - ;SQIA3;06/08/2014;14/08/2014;8d;500;C;2,17;2,26;44,35;4,09;74,30;3m22d
 - ;SQIA3;25/08/2014;26/08/2014;1d;500;C;2,17;2,20;14,00;1,29;88,30;19d
 - ;SQIA3;10/09/2014;11/09/2014;1d;500;C;2,13;2,09;-17,80;-1,67;70,50;16d
 - ;SQIA3;17/09/2014;18/09/2014;1d;500;C;2,15;2,04;-58,55;-5,44;11,95;7d
 - ;SQIA3;05/03/2015;16/03/2015;11d;500;C;2,57;2,37;-96,30;-7,51;-84,35;5m19d
 - ;SQIA3;17/06/2015;22/07/2015;1m5d;500;C;2,66;2,52;-72,25;-5,43;-156,60;3m14d
 - ;SQIA3;06/05/2016;09/05/2016;3d;500;C;2,23;2,18;-27,30;-2,44;-183,90;10m24d
 - ;SQIA3;09/06/2016;14/06/2016;5d;500;C;2,48;2,33;-74,10;-5,98;-258,00;1m4d
 - ;SQIA3;19/09/2016;21/09/2016;2d;500;C;3,27;3,21;-29,95;-1,83;-287,95;3m12d
 - ;SQIA3;06/10/2016;07/10/2016;1d;500;C;3,23;3,28;25,95;1,61;-262,00;17d
 - ;SQIA3;26/01/2017;27/01/2017;1d;500;C;3,73;3,81;42,00;2,25;-220,00;3m22d
 - ;SQIA3;23/03/2017;02/05/2017;1m10d;500;C;4,12;4,41;143,30;6,95;-76,70;1m26d
 - ;SQIA3;08/06/2017;19/06/2017;11d;500;C;4,26;4,41;72,00;3,38;-4,70;2m17d
 - ;SQIA3;04/09/2017;15/09/2017;11d;500;C;6,28;6,67;192,40;6,13;187,70;2m28d
 - ;SQIA3;08/11/2017;09/11/2017;1d;500;C;6,74;6,98;119,15;3,54;306,85;2m5d
 - ;SQIA3;20/03/2018;27/03/2018;7d;500;C;7,11;6,73;-191,90;-5,40;114,95;4m12d
 - ;SQIA3;29/03/2018;02/04/2018;4d;500;C;6,99;6,67;-160,60;-4,60;-45,65;9d
 - ;SQIA3;23/04/2018;26/04/2018;3d;500;C;6,96;6,78;-92,15;-2,65;-137,80;25d
 - ;SQIA3;30/04/2018;04/05/2018;4d;500;C;7,11;6,72;-195,65;-5,50;-333,45;7d
 - ;SQIA3;03/12/2018;04/12/2018;1d;500;C;6,44;6,25;-93,95;-2,92;-427,40;7m7d
 - ;SQIA3;07/12/2018;10/12/2018;3d;500;C;6,24;6,08;-78,75;-2,52;-506,15;4d
 - ;SQIA3;19/12/2018;20/12/2018;1d;500;C;6,44;6,19;-123,80;-3,85;-629,95;12d
 - ;SQIA3;06/05/2019;08/05/2019;2d;500;C;9,56;9,95;193,75;4,05;-436,20;4m18d
 - ;SQIA3;11/09/2019;18/09/2019;7d;500;C;18,13;16,23;-945,35;-10,43;-1.381,55;4m8d
 - ;SQIA3;15/06/2020;01/07/2020;16d;500;C;19,12;20,44;660,00;6,90;-721,55;9m8d
 - ;SQIA3;13/07/2020;14/07/2020;1d;500;C;24,07;23,19;-439,05;-3,65;-1.160,60;28d
 - ;SQIA3;15/07/2020;23/07/2020;8d;500;C;24,19;25,88;845,00;6,99;-315,60;2d
 - ;SQIA3;12/08/2020;14/08/2020;2d;500;C;25,84;23,68;-1.079,70;-8,36;-1.395,30;28d
